Zip Code,County,State,Entitlement
30002,DeKalb County,Georgia,
30003,Gwinnett County,Georgia,
30004,Fulton County,Georgia,
30005,Fulton County,Georgia,
30006,Cobb County,Georgia,
30007,Cobb County,Georgia,
30008,Cobb County,Georgia,
30009,Fulton County,Georgia,
30010,Gwinnett County,Georgia,
30011,Barrow County,Georgia,
30012,Rockdale County,Georgia,
30013,Rockdale County,Georgia,
30014,Newton County,Georgia,
30015,Newton County,Georgia,
30016,Newton County,Georgia,
30017,Gwinnett County,Georgia,
30018,Walton County,Georgia,
30019,Gwinnett County,Georgia,
30021,DeKalb County,Georgia,
30022,Fulton County,Georgia,
30023,Fulton County,Georgia,
30024,Gwinnett County,Georgia,
30025,Walton County,Georgia,
30026,Gwinnett County,Georgia,
30028,Forsyth County,Georgia,
30029,Gwinnett County,Georgia,
30030,DeKalb County,Georgia,
30031,Dekalb County,Georgia,
30032,DeKalb County,Georgia,
30033,DeKalb County,Georgia,
30034,DeKalb County,Georgia,
30035,DeKalb County,Georgia,
30036,Dekalb County,Georgia,
30037,Dekalb County,Georgia,
30038,DeKalb County,Georgia,
30039,Gwinnett County,Georgia,
30040,Forsyth County,Georgia,
30041,Forsyth County,Georgia,
30042,Gwinnett County,Georgia,
30043,Gwinnett County,Georgia,
30044,Gwinnett County,Georgia,
30045,Gwinnett County,Georgia,
30046,Gwinnett County,Georgia,
30047,Gwinnett County,Georgia,
30048,Gwinnett County,Georgia,
30049,Gwinnett County,Georgia,
30052,Walton County,Georgia,
30054,Newton County,Georgia,
30055,Jasper County,Georgia,
30056,Jasper County,Georgia,
30058,DeKalb County,Georgia,
30060,Cobb County,Georgia,
30061,Cobb County,Georgia,
30062,Cobb County,Georgia,
30063,Cobb County,Georgia,
30064,Cobb County,Georgia,
30065,Cobb County,Georgia,
30066,Cobb County,Georgia,
30067,Cobb County,Georgia,
30068,Cobb County,Georgia,
30069,Cobb County,Georgia,
30070,Newton County,Georgia,
30071,Gwinnett County,Georgia,
30072,DeKalb County,Georgia,
30073,Dekalb County,Georgia,
30074,Dekalb County,Georgia,
30075,Fulton County,Georgia,
30076,Fulton County,Georgia,
30077,Fulton County,Georgia,
30078,Gwinnett County,Georgia,
30079,DeKalb County,Georgia,
30080,Cobb County,Georgia,
30081,Cobb County,Georgia,
30082,Cobb County,Georgia,
30083,DeKalb County,Georgia,
30084,DeKalb County,Georgia,
30085,Dekalb County,Georgia,
30086,Dekalb County,Georgia,
30087,DeKalb County,Georgia,
30088,DeKalb County,Georgia,
30090,Cobb County,Georgia,
30091,Gwinnett County,Georgia,
30092,Gwinnett County,Georgia,
30093,Gwinnett County,Georgia,
30094,Rockdale County,Georgia,
30095,Gwinnett County,Georgia,
30096,Gwinnett County,Georgia,
30097,Fulton County,Georgia,
30098,Gwinnett County,Georgia,
30099,Gwinnett County,Georgia,
30101,Cobb County,Georgia,
30102,Cherokee County,Georgia,
30103,Bartow County,Georgia,
30104,Polk County,Georgia,
30105,Floyd County,Georgia,
