Zip Code,County,State,Entitlement
96701,Honolulu County,Hawaii,
96703,Kauai County,Hawaii,
96704,Hawaii County,Hawaii,
96705,Kauai County,Hawaii,
96706,Honolulu County,Hawaii,
96707,Honolulu County,Hawaii,
96708,Maui County,Hawaii,
96709,Honolulu County,Hawaii,
96710,Hawaii County,Hawaii,
96712,Honolulu County,Hawaii,
96713,Maui County,Hawaii,
96714,Kauai County,Hawaii,
96715,Kauai County,Hawaii,
96716,Kauai County,Hawaii,
96717,Honolulu County,Hawaii,
96718,Hawaii County,Hawaii,
96719,Hawaii County,Hawaii,
96720,Hawaii County,Hawaii,
96721,Hawaii County,Hawaii,
96722,Kauai County,Hawaii,
96725,Hawaii County,Hawaii,
96726,Hawaii County,Hawaii,
96727,Hawaii County,Hawaii,
96728,Hawaii County,Hawaii,
96729,Maui County,Hawaii,
96730,Honolulu County,Hawaii,
96731,Honolulu County,Hawaii,
96732,Maui County,Hawaii,
96733,Maui County,Hawaii,
96734,Honolulu County,Hawaii,
96737,Hawaii County,Hawaii,
96738,Hawaii County,Hawaii,
96739,Hawaii County,Hawaii,
96740,Hawaii County,Hawaii,
96741,Kauai County,Hawaii,
96742,Kalawao County,Hawaii,
96743,Hawaii County,Hawaii,
96744,Honolulu County,Hawaii,
96745,Hawaii County,Hawaii,
96746,Kauai County,Hawaii,
96747,Kauai County,Hawaii,
96748,Maui County,Hawaii,
96749,Hawaii County,Hawaii,
96750,Hawaii County,Hawaii,
96751,Kauai County,Hawaii,
96752,Kauai County,Hawaii,
96753,Maui County,Hawaii,
96754,Kauai County,Hawaii,
96755,Hawaii County,Hawaii,
96756,Kauai County,Hawaii,
96757,Maui County,Hawaii,
96759,Honolulu County,Hawaii,
96760,Hawaii County,Hawaii,
96761,Maui County,Hawaii,
96762,Honolulu County,Hawaii,
96763,Maui County,Hawaii,
96764,Hawaii County,Hawaii,
96765,Kauai County,Hawaii,
96766,Kauai County,Hawaii,
96767,Maui County,Hawaii,
96768,Maui County,Hawaii,
96769,Kauai County,Hawaii,
96770,Maui County,Hawaii,
96771,Hawaii County,Hawaii,
96772,Hawaii County,Hawaii,
96773,Hawaii County,Hawaii,
96774,Hawaii County,Hawaii,
96776,Hawaii County,Hawaii,
96777,Hawaii County,Hawaii,
96778,Hawaii County,Hawaii,
96779,Maui County,Hawaii,
96780,Hawaii County,Hawaii,
96781,Hawaii County,Hawaii,
96782,Honolulu County,Hawaii,
96783,Hawaii County,Hawaii,
96784,Maui County,Hawaii,
96785,Hawaii County,Hawaii,
96786,Honolulu County,Hawaii,
96788,Maui County,Hawaii,
96789,Honolulu County,Hawaii,
96790,Maui County,Hawaii,
96791,Honolulu County,Hawaii,
96792,Honolulu County,Hawaii,
96793,Maui County,Hawaii,
96795,Honolulu County,Hawaii,
96796,Kauai County,Hawaii,
96797,Honolulu County,Hawaii,
96801,Honolulu County,Hawaii,
96802,Honolulu County,Hawaii,
96803,Honolulu County,Hawaii,
96804,Honolulu County,Hawaii,
96805,Honolulu County,Hawaii,
96806,Honolulu County,Hawaii,
96807,Honolulu County,Hawaii,
96808,Honolulu County,Hawaii,
96809,Honolulu County,Hawaii,
96810,Honolulu County,Hawaii,
96811,Honolulu County,Hawaii,
96812,Honolulu County,Hawaii,
96813,Honolulu County,Hawaii,
96814,Honolulu County,Hawaii,
96815,Honolulu County,Hawaii,
96816,Honolulu County,Hawaii,
96817,Honolulu County,Hawaii,
96818,Honolulu County,Hawaii,
96819,Honolulu County,Hawaii,
96820,Honolulu County,Hawaii,
96821,Honolulu County,Hawaii,
96822,Honolulu County,Hawaii,
96823,Honolulu County,Hawaii,
96824,Honolulu County,Hawaii,
96825,Honolulu County,Hawaii,
96826,Honolulu County,Hawaii,
96827,Honolulu County,Hawaii,
96828,Honolulu County,Hawaii,
96830,Honolulu County,Hawaii,
96835,Honolulu County,Hawaii,
96836,Honolulu County,Hawaii,
96837,Honolulu County,Hawaii,
96838,Honolulu County,Hawaii,
96839,Honolulu County,Hawaii,
96840,Honolulu County,Hawaii,
96841,Honolulu County,Hawaii,
96843,Honolulu County,Hawaii,
96844,Honolulu County,Hawaii,
96846,Honolulu County,Hawaii,
96847,Honolulu County,Hawaii,
96848,Honolulu County,Hawaii,
96849,Honolulu County,Hawaii,
96850,Honolulu County,Hawaii,
96853,Honolulu County,Hawaii,
96854,Honolulu County,Hawaii,
96857,Honolulu County,Hawaii,
96858,Honolulu County,Hawaii,
96859,Honolulu County,Hawaii,
96860,Honolulu County,Hawaii,
96861,Honolulu County,Hawaii,
96863,Honolulu County,Hawaii,
96898,Honolulu County,Hawaii,
