Zip Code,County,State,Entitlement
83201,Bannock County,Idaho,
83202,Bannock County,Idaho,
83203,Bannock County,Idaho,
83204,Bannock County,Idaho,
83205,Bannock County,Idaho,
83206,Bannock County,Idaho,
83209,Bannock County,Idaho,
83210,Bingham County,Idaho,
83211,Power County,Idaho,
83212,Power County,Idaho,
83213,Butte County,Idaho,
83214,Bannock County,Idaho,
83215,Bingham County,Idaho,
83217,Caribou County,Idaho,
83218,Bingham County,Idaho,
83220,Bear Lake County,Idaho,
83221,Bingham County,Idaho,
83223,Bear Lake County,Idaho,
83226,Custer County,Idaho,
83227,Custer County,Idaho,
83228,Franklin County,Idaho,
83229,Lemhi County,Idaho,
83230,Caribou County,Idaho,
83232,Franklin County,Idaho,
83233,Bear Lake County,Idaho,
83234,Bannock County,Idaho,
83235,Custer County,Idaho,
83236,Bingham County,Idaho,
83237,Franklin County,Idaho,
83238,Bear Lake County,Idaho,
83239,Bear Lake County,Idaho,
83241,Caribou County,Idaho,
83243,Oneida County,Idaho,
83244,Butte County,Idaho,
83245,Bannock County,Idaho,
83246,Bannock County,Idaho,
83250,Bannock County,Idaho,
83251,Custer County,Idaho,
83252,Oneida County,Idaho,
83253,Lemhi County,Idaho,
83254,Bear Lake County,Idaho,
83255,Butte County,Idaho,
83256,Bingham County,Idaho,
83261,Bear Lake County,Idaho,
83262,Bingham County,Idaho,
83263,Franklin County,Idaho,
83271,Power County,Idaho,
83272,Bear Lake County,Idaho,
83274,Bingham County,Idaho,
83276,Caribou County,Idaho,
83277,Bingham County,Idaho,
83278,Custer County,Idaho,
83281,Bannock County,Idaho,
83283,Franklin County,Idaho,
83285,Bonneville County,Idaho,
83286,Franklin County,Idaho,
83287,Bear Lake County,Idaho,
83301,Twin Falls County,Idaho,
83302,Twin Falls County,Idaho,
83303,Twin Falls County,Idaho,
83311,Cassia County,Idaho,
83312,Cassia County,Idaho,
83313,Blaine County,Idaho,
83314,Gooding County,Idaho,
83316,Twin Falls County,Idaho,
83318,Cassia County,Idaho,
83320,Blaine County,Idaho,
83321,Twin Falls County,Idaho,
83322,Camas County,Idaho,
83323,Cassia County,Idaho,
83324,Lincoln County,Idaho,
83325,Jerome County,Idaho,
83327,Camas County,Idaho,
83328,Twin Falls County,Idaho,
83330,Gooding County,Idaho,
83332,Gooding County,Idaho,
83333,Blaine County,Idaho,
83334,Twin Falls County,Idaho,
83335,Jerome County,Idaho,
83336,Minidoka County,Idaho,
83337,Camas County,Idaho,
83338,Jerome County,Idaho,
83340,Blaine County,Idaho,
83341,Twin Falls County,Idaho,
83342,Cassia County,Idaho,
83343,Minidoka County,Idaho,
83344,Twin Falls County,Idaho,
83346,Cassia County,Idaho,
83347,Minidoka County,Idaho,
83348,Blaine County,Idaho,
83349,Lincoln County,Idaho,
83350,Minidoka County,Idaho,
83352,Lincoln County,Idaho,
83353,Blaine County,Idaho,
83354,Blaine County,Idaho,
83355,Gooding County,Idaho,
83401,Bonneville County,Idaho,
83402,Bonneville County,Idaho,
83403,Bonneville County,Idaho,
83404,Bonneville County,Idaho,
83405,Bonneville County,Idaho,
83406,Bonneville County,Idaho,
83415,Bonneville County,Idaho,
83420,Fremont County,Idaho,
83421,Fremont County,Idaho,
83422,Teton County,Idaho,
83423,Clark County,Idaho,
83424,Teton County,Idaho,
83425,Jefferson County,Idaho,
83427,Bonneville County,Idaho,
83428,Bonneville County,Idaho,
83429,Fremont County,Idaho,
83431,Jefferson County,Idaho,
83433,Fremont County,Idaho,
83434,Jefferson County,Idaho,
83435,Jefferson County,Idaho,
83436,Fremont County,Idaho,
83438,Fremont County,Idaho,
83440,Madison County,Idaho,
83441,Madison County,Idaho,
83442,Jefferson County,Idaho,
83443,Jefferson County,Idaho,
83444,Jefferson County,Idaho,
83445,Fremont County,Idaho,
83446,Clark County,Idaho,
83448,Madison County,Idaho,
83449,Bonneville County,Idaho,
83450,Jefferson County,Idaho,
83451,Fremont County,Idaho,
83452,Teton County,Idaho,
83454,Bonneville County,Idaho,
83455,Teton County,Idaho,
83460,Madison County,Idaho,
83462,Lemhi County,Idaho,
83463,Lemhi County,Idaho,
83464,Lemhi County,Idaho,
83465,Lemhi County,Idaho,
83466,Lemhi County,Idaho,
83467,Lemhi County,Idaho,
83468,Lemhi County,Idaho,
83469,Lemhi County,Idaho,
83501,Nez Perce County,Idaho,
83520,Clearwater County,Idaho,
83522,Idaho County,Idaho,
83523,Lewis County,Idaho,
83524,Nez Perce County,Idaho,
83525,Idaho County,Idaho,
83526,Idaho County,Idaho,
83530,Idaho County,Idaho,
83531,Idaho County,Idaho,
83533,Idaho County,Idaho,
83535,Latah County,Idaho,
83536,Idaho County,Idaho,
83537,Latah County,Idaho,
83539,Idaho County,Idaho,
83540,Nez Perce County,Idaho,
83541,Clearwater County,Idaho,
83542,Idaho County,Idaho,
83543,Lewis County,Idaho,
83544,Clearwater County,Idaho,
83545,Nez Perce County,Idaho,
83546,Clearwater County,Idaho,
83547,Idaho County,Idaho,
83548,Lewis County,Idaho,
83549,Idaho County,Idaho,
83552,Idaho County,Idaho,
83553,Clearwater County,Idaho,
83554,Idaho County,Idaho,
83555,Nez Perce County,Idaho,
83601,Elmore County,Idaho,
83602,Boise County,Idaho,
83604,Owyhee County,Idaho,
83605,Canyon County,Idaho,
83606,Canyon County,Idaho,
83607,Canyon County,Idaho,
83610,Washington County,Idaho,
83611,Valley County,Idaho,
83612,Adams County,Idaho,
83615,Valley County,Idaho,
83616,Ada County,Idaho,
83617,Gem County,Idaho,
83619,Payette County,Idaho,
83622,Boise County,Idaho,
83623,Elmore County,Idaho,
83624,Owyhee County,Idaho,
83626,Canyon County,Idaho,
83627,Elmore County,Idaho,
83628,Owyhee County,Idaho,
83629,Boise County,Idaho,
83630,Canyon County,Idaho,
83631,Boise County,Idaho,
83632,Adams County,Idaho,
83633,Elmore County,Idaho,
83634,Ada County,Idaho,
83635,Valley County,Idaho,
83636,Gem County,Idaho,
83637,Boise County,Idaho,
83638,Valley County,Idaho,
83639,Owyhee County,Idaho,
83641,Canyon County,Idaho,
83642,Ada County,Idaho,
83643,Adams County,Idaho,
83644,Canyon County,Idaho,
83645,Washington County,Idaho,
83646,Ada County,Idaho,
83647,Elmore County,Idaho,
83648,Elmore County,Idaho,
83650,Owyhee County,Idaho,
83651,Canyon County,Idaho,
83652,Canyon County,Idaho,
83653,Canyon County,Idaho,
83654,Adams County,Idaho,
