Zip Code,County,State,Entitlement
60001,McHenry County,Illinois,
60002,Lake County,Illinois,
60004,Cook County,Illinois,
60005,Cook County,Illinois,
60006,Cook County,Illinois,
60007,Cook County,Illinois,
60008,Cook County,Illinois,
60009,Cook County,Illinois,
60010,Lake County,Illinois,
60011,Cook County,Illinois,
60012,McHenry County,Illinois,
60013,McHenry County,Illinois,
60014,McHenry County,Illinois,
60015,Lake County,Illinois,
60016,Cook County,Illinois,
60017,Cook County,Illinois,
60018,Cook County,Illinois,
60019,Cook County,Illinois,
60020,Lake County,Illinois,
60021,McHenry County,Illinois,
60022,Cook County,Illinois,
60025,Cook County,Illinois,
60026,Cook County,Illinois,
60029,Cook County,Illinois,
60030,Lake County,Illinois,
60031,Lake County,Illinois,
60033,McHenry County,Illinois,
60034,McHenry County,Illinois,
60035,Lake County,Illinois,
60037,Lake County,Illinois,
60038,Cook County,Illinois,
60039,Mchenry County,Illinois,
60040,Lake County,Illinois,
60041,Lake County,Illinois,
60042,McHenry County,Illinois,
60043,Cook County,Illinois,
60044,Lake County,Illinois,
60045,Lake County,Illinois,
60046,Lake County,Illinois,
60047,Lake County,Illinois,
60048,Lake County,Illinois,
60049,Lake County,Illinois,
60050,McHenry County,Illinois,
60051,McHenry County,Illinois,
60053,Cook County,Illinois,
60055,Cook County,Illinois,
60056,Cook County,Illinois,
60060,Lake County,Illinois,
60061,Lake County,Illinois,
60062,Cook County,Illinois,
60064,Lake County,Illinois,
60065,Cook County,Illinois,
60067,Cook County,Illinois,
60068,Cook County,Illinois,
60069,Lake County,Illinois,
60070,Cook County,Illinois,
60071,McHenry County,Illinois,
60072,McHenry County,Illinois,
60073,Lake County,Illinois,
60074,Cook County,Illinois,
60075,Lake County,Illinois,
60076,Cook County,Illinois,
60077,Cook County,Illinois,
60078,Cook County,Illinois,
60079,Lake County,Illinois,
60081,McHenry County,Illinois,
60082,Cook County,Illinois,
60083,Lake County,Illinois,
60084,Lake County,Illinois,
60085,Lake County,Illinois,
60086,Lake County,Illinois,
60087,Lake County,Illinois,
60088,Lake County,Illinois,
60089,Lake County,Illinois,
60090,Cook County,Illinois,
60091,Cook County,Illinois,
60092,Lake County,Illinois,
60093,Cook County,Illinois,
60094,Cook County,Illinois,
60095,Cook County,Illinois,
