Zip Code,County,State,Entitlement
46001,Madison County,Indiana,
46011,Madison County,Indiana,
46012,Madison County,Indiana,
46013,Madison County,Indiana,
46014,Madison County,Indiana,
46015,Madison County,Indiana,
46016,Madison County,Indiana,
46017,Madison County,Indiana,
46018,Madison County,Indiana,
46030,Hamilton County,Indiana,
46031,Hamilton County,Indiana,
46032,Hamilton County,Indiana,
46033,Hamilton County,Indiana,
46034,Hamilton County,Indiana,
46035,Clinton County,Indiana,
46036,Madison County,Indiana,
46037,Hamilton County,Indiana,
46038,Hamilton County,Indiana,
46039,Clinton County,Indiana,
46040,Hancock County,Indiana,
46041,Clinton County,Indiana,
46044,Madison County,Indiana,
46045,Tipton County,Indiana,
46047,Tipton County,Indiana,
46048,Madison County,Indiana,
46049,Tipton County,Indiana,
46050,Clinton County,Indiana,
46051,Madison County,Indiana,
46052,Boone County,Indiana,
46055,Hancock County,Indiana,
46056,Madison County,Indiana,
46057,Clinton County,Indiana,
46058,Clinton County,Indiana,
46060,Hamilton County,Indiana,
46061,Hamilton County,Indiana,
46062,Hamilton County,Indiana,
46063,Madison County,Indiana,
46064,Madison County,Indiana,
46065,Clinton County,Indiana,
46067,Clinton County,Indiana,
46068,Tipton County,Indiana,
46069,Hamilton County,Indiana,
46070,Madison County,Indiana,
46071,Boone County,Indiana,
46072,Tipton County,Indiana,
46074,Hamilton County,Indiana,
46075,Boone County,Indiana,
46076,Tipton County,Indiana,
46077,Boone County,Indiana,
46082,Hamilton County,Indiana,
46085,Hamilton County,Indiana,
46102,Boone County,Indiana,
46103,Hendricks County,Indiana,
46104,Rush County,Indiana,
46105,Putnam County,Indiana,
46106,Johnson County,Indiana,
46107,Marion County,Indiana,
46110,Shelby County,Indiana,
46111,Morgan County,Indiana,
46112,Hendricks County,Indiana,
46113,Marion County,Indiana,
46115,Rush County,Indiana,
46117,Hancock County,Indiana,
46118,Hendricks County,Indiana,
46120,Putnam County,Indiana,
46121,Putnam County,Indiana,
46122,Hendricks County,Indiana,
46123,Hendricks County,Indiana,
46124,Johnson County,Indiana,
46125,Morgan County,Indiana,
46126,Shelby County,Indiana,
46127,Rush County,Indiana,
46128,Putnam County,Indiana,
46129,Hancock County,Indiana,
46130,Shelby County,Indiana,
46131,Johnson County,Indiana,
46133,Fayette County,Indiana,
46135,Putnam County,Indiana,
46140,Hancock County,Indiana,
46142,Johnson County,Indiana,
46143,Johnson County,Indiana,
46144,Shelby County,Indiana,
46146,Rush County,Indiana,
46147,Boone County,Indiana,
46148,Henry County,Indiana,
46149,Hendricks County,Indiana,
46150,Rush County,Indiana,
46151,Morgan County,Indiana,
46154,Hancock County,Indiana,
46155,Rush County,Indiana,
46156,Rush County,Indiana,
46157,Morgan County,Indiana,
46158,Morgan County,Indiana,
46160,Brown County,Indiana,
46161,Shelby County,Indiana,
46162,Johnson County,Indiana,
46163,Hancock County,Indiana,
46164,Johnson County,Indiana,
46165,Hendricks County,Indiana,
46166,Morgan County,Indiana,
46167,Hendricks County,Indiana,
46168,Hendricks County,Indiana,
46170,Putnam County,Indiana,
46171,Putnam County,Indiana,
46172,Putnam County,Indiana,
46173,Rush County,Indiana,
46175,Putnam County,Indiana,
46176,Shelby County,Indiana,
46180,Hendricks County,Indiana,
46181,Johnson County,Indiana,
46182,Shelby County,Indiana,
46183,Marion County,Indiana,
46184,Johnson County,Indiana,
46186,Hancock County,Indiana,
46197,,Indiana,
46201,Marion County,Indiana,
46202,Marion County,Indiana,
46203,Marion County,Indiana,
46204,Marion County,Indiana,
46205,Marion County,Indiana,
46206,Marion County,Indiana,
46207,Marion County,Indiana,
46208,Marion County,Indiana,
46209,Marion County,Indiana,
46210,,Indiana,
46211,Marion County,Indiana,
46213,,Indiana,
