Zip Code,County,State,Entitlement
50001,Warren County,Iowa,
50002,Adair County,Iowa,
50003,Dallas County,Iowa,
50005,Marshall County,Iowa,
50006,Hardin County,Iowa,
50007,Polk County,Iowa,
50008,Wayne County,Iowa,
50009,Polk County,Iowa,
50010,Story County,Iowa,
50011,Story County,Iowa,
50012,Story County,Iowa,
50013,Story County,Iowa,
50014,Story County,Iowa,
50020,Cass County,Iowa,
50021,Polk County,Iowa,
50022,Cass County,Iowa,
50023,Polk County,Iowa,
50025,Audubon County,Iowa,
50026,Guthrie County,Iowa,
50027,Mahaska County,Iowa,
50028,Jasper County,Iowa,
50029,Guthrie County,Iowa,
50031,Boone County,Iowa,
50032,Polk County,Iowa,
50033,Madison County,Iowa,
50034,Hamilton County,Iowa,
50035,Polk County,Iowa,
50036,Boone County,Iowa,
50037,Boone County,Iowa,
50038,Dallas County,Iowa,
50039,Dallas County,Iowa,
50040,Boone County,Iowa,
50041,Franklin County,Iowa,
50042,Audubon County,Iowa,
50043,Hardin County,Iowa,
50044,Marion County,Iowa,
50046,Story County,Iowa,
50047,Warren County,Iowa,
50048,Guthrie County,Iowa,
50049,Lucas County,Iowa,
50050,Greene County,Iowa,
50051,Marshall County,Iowa,
50052,Wayne County,Iowa,
50054,Jasper County,Iowa,
50055,Story County,Iowa,
50056,Story County,Iowa,
50057,Marion County,Iowa,
50058,Carroll County,Iowa,
50059,Greene County,Iowa,
50060,Wayne County,Iowa,
50061,Warren County,Iowa,
50062,Marion County,Iowa,
50063,Dallas County,Iowa,
50064,Greene County,Iowa,
50065,Decatur County,Iowa,
50066,Dallas County,Iowa,
50067,Decatur County,Iowa,
50068,Lucas County,Iowa,
50069,Dallas County,Iowa,
50070,Dallas County,Iowa,
50071,Wright County,Iowa,
50072,Madison County,Iowa,
50073,Polk County,Iowa,
50074,Ringgold County,Iowa,
50075,Hamilton County,Iowa,
50076,Audubon County,Iowa,
50078,Marshall County,Iowa,
50099,Boone County,Iowa,
50101,Wright County,Iowa,
50102,Hardin County,Iowa,
50103,Decatur County,Iowa,
50104,Keokuk County,Iowa,
50105,Story County,Iowa,
50106,Marshall County,Iowa,
50107,Greene County,Iowa,
50108,Decatur County,Iowa,
50109,Dallas County,Iowa,
50110,Audubon County,Iowa,
50111,Polk County,Iowa,
50112,Poweshiek County,Iowa,
50115,Guthrie County,Iowa,
50116,Marion County,Iowa,
50117,Audubon County,Iowa,
50118,Warren County,Iowa,
50119,Marion County,Iowa,
50120,Marshall County,Iowa,
50122,Hardin County,Iowa,
50123,Wayne County,Iowa,
50124,Story County,Iowa,
50125,Warren County,Iowa,
50126,Hardin County,Iowa,
50127,Jasper County,Iowa,
50128,Guthrie County,Iowa,
50129,Greene County,Iowa,
50130,Hamilton County,Iowa,
50131,Polk County,Iowa,
50132,Hamilton County,Iowa,
50133,Ringgold County,Iowa,
50134,Story County,Iowa,
50135,Jasper County,Iowa,
50136,Keokuk County,Iowa,
50137,Jasper County,Iowa,
50138,Marion County,Iowa,
50139,Warren County,Iowa,
50140,Decatur County,Iowa,
50141,Marshall County,Iowa,
50142,Marshall County,Iowa,
50143,Mahaska County,Iowa,
50144,Decatur County,Iowa,
50145,Warren County,Iowa,
50146,Dallas County,Iowa,
50147,Wayne County,Iowa,
50148,Marshall County,Iowa,
50149,Union County,Iowa,
50150,Monroe County,Iowa,
50151,Lucas County,Iowa,
50152,Boone County,Iowa,
50153,Jasper County,Iowa,
50154,Story County,Iowa,
50155,Madison County,Iowa,
50156,Boone County,Iowa,
50157,Poweshiek County,Iowa,
50158,Marshall County,Iowa,
50160,Warren County,Iowa,
50161,Story County,Iowa,
50162,Marshall County,Iowa,
50163,Marion County,Iowa,
50164,Guthrie County,Iowa,
50165,Wayne County,Iowa,
50166,Warren County,Iowa,
50167,Dallas County,Iowa,
50168,Jasper County,Iowa,
50169,Polk County,Iowa,
50170,Jasper County,Iowa,
50171,Poweshiek County,Iowa,
50173,Tama County,Iowa,
50174,Clarke County,Iowa,
50201,Story County,Iowa,
50206,Hardin County,Iowa,
50207,Mahaska County,Iowa,
50208,Jasper County,Iowa,
50210,Warren County,Iowa,
50211,Warren County,Iowa,
50212,Boone County,Iowa,
50213,Clarke County,Iowa,
50214,Marion County,Iowa,
50216,Guthrie County,Iowa,
50217,Greene County,Iowa,
50218,Madison County,Iowa,
50219,Marion County,Iowa,
50220,Dallas County,Iowa,
50222,Madison County,Iowa,
50223,Boone County,Iowa,
50225,Marion County,Iowa,
50226,Polk County,Iowa,
50227,Franklin County,Iowa,
50228,Jasper County,Iowa,
50229,Warren County,Iowa,
50230,Hardin County,Iowa,
50231,Hamilton County,Iowa,
50232,Jasper County,Iowa,
50233,Dallas County,Iowa,
50234,Marshall County,Iowa,
50235,Greene County,Iowa,
50236,Story County,Iowa,
50237,Polk County,Iowa,
50238,Lucas County,Iowa,
50239,Marshall County,Iowa,
50240,Madison County,Iowa,
50241,Warren County,Iowa,
50242,Poweshiek County,Iowa,
50243,Story County,Iowa,
50244,Story County,Iowa,
50246,Hamilton County,Iowa,
50247,Marshall County,Iowa,
50248,Story County,Iowa,
50249,Hamilton County,Iowa,
50250,Guthrie County,Iowa,
50251,Jasper County,Iowa,
50252,Marion County,Iowa,
50254,Union County,Iowa,
50255,Keokuk County,Iowa,
50256,Marion County,Iowa,
50257,Madison County,Iowa,
50258,Hardin County,Iowa,
50259,Hardin County,Iowa,
50261,Dallas County,Iowa,
50262,Decatur County,Iowa,
50263,Dallas County,Iowa,
50264,Decatur County,Iowa,
50265,Polk County,Iowa,
50266,Polk County,Iowa,
50268,Keokuk County,Iowa,
50269,Hardin County,Iowa,
50271,Hamilton County,Iowa,
50272,Lucas County,Iowa,
50273,Madison County,Iowa,
50274,Cass County,Iowa,
50275,Clarke County,Iowa,
50276,Dallas County,Iowa,
50277,Guthrie County,Iowa,
50278,Story County,Iowa,
50301,Polk County,Iowa,
50302,Polk County,Iowa,
50303,Polk County,Iowa,
50304,Polk County,Iowa,
50305,Polk County,Iowa,
50306,Polk County,Iowa,
50307,Polk County,Iowa,
50308,Polk County,Iowa,
50309,Polk County,Iowa,
50310,Polk County,Iowa,
50311,Polk County,Iowa,
50312,Polk County,Iowa,
50313,Polk County,Iowa,
50314,Polk County,Iowa,
50315,Polk County,Iowa,
50316,Polk County,Iowa,
50317,Polk County,Iowa,
50318,Polk County,Iowa,
50319,Polk County,Iowa,
50320,Polk County,Iowa,
50321,Polk County,Iowa,
50322,Polk County,Iowa,
50323,Dallas County,Iowa,
50324,Polk County,Iowa,
50325,Polk County,Iowa,
50327,Polk County,Iowa,
50328,Polk County,Iowa,
50329,Polk County,Iowa,
50330,Polk County,Iowa,
50331,Polk County,Iowa,
50332,Polk County,Iowa,
50333,Polk County,Iowa,
50334,Polk County,Iowa,
50335,Polk County,Iowa,
50336,Polk County,Iowa,
50339,Polk County,Iowa,
50340,Polk County,Iowa,
50347,Polk County,Iowa,
50359,Polk County,Iowa,
50360,Polk County,Iowa,
50361,Polk County,Iowa,
50362,Polk County,Iowa,
50363,Polk County,Iowa,
50364,Polk County,Iowa,
50367,Polk County,Iowa,
50368,Polk County,Iowa,
50369,Polk County,Iowa,
50380,Polk County,Iowa,
50381,Polk County,Iowa,
50391,Polk County,Iowa,
50392,Polk County,Iowa,
50393,Polk County,Iowa,
50394,Polk County,Iowa,
50395,Polk County,Iowa,
50396,Polk County,Iowa,
50397,Polk County,Iowa,
50398,Polk County,Iowa,
50401,Cerro Gordo County,Iowa,
50402,Cerro Gordo County,Iowa,
50420,Franklin County,Iowa,
50421,Wright County,Iowa,
50423,Hancock County,Iowa,
50424,Winnebago County,Iowa,
50426,Mitchell County,Iowa,
50427,Franklin County,Iowa,
50428,Cerro Gordo County,Iowa,
50430,Hancock County,Iowa,
50431,Franklin County,Iowa,
50432,Hancock County,Iowa,
50433,Cerro Gordo County,Iowa,
50434,Worth County,Iowa,
50435,Floyd County,Iowa,
50436,Winnebago County,Iowa,
50438,Hancock County,Iowa,
50439,Hancock County,Iowa,
50440,Worth County,Iowa,
50441,Franklin County,Iowa,
50444,Worth County,Iowa,
50446,Worth County,Iowa,
50447,Hancock County,Iowa,
50448,Worth County,Iowa,
50449,Hancock County,Iowa,
50450,Winnebago County,Iowa,
50451,Kossuth County,Iowa,
50452,Franklin County,Iowa,
50453,Winnebago County,Iowa,
50454,Mitchell County,Iowa,
50455,Mitchell County,Iowa,
50456,Worth County,Iowa,
50457,Cerro Gordo County,Iowa,
50458,Floyd County,Iowa,
50459,Worth County,Iowa,
50460,Mitchell County,Iowa,
50461,Mitchell County,Iowa,
50464,Cerro Gordo County,Iowa,
50465,Winnebago County,Iowa,
50466,Mitchell County,Iowa,
50467,Cerro Gordo County,Iowa,
50468,Floyd County,Iowa,
50469,Cerro Gordo County,Iowa,
50470,Wright County,Iowa,
50471,Floyd County,Iowa,
50472,Mitchell County,Iowa,
50473,Winnebago County,Iowa,
50475,Franklin County,Iowa,
50476,Mitchell County,Iowa,
50477,Cerro Gordo County,Iowa,
50478,Winnebago County,Iowa,
50479,Cerro Gordo County,Iowa,
50480,Kossuth County,Iowa,
50481,Mitchell County,Iowa,
50482,Cerro Gordo County,Iowa,
50483,Kossuth County,Iowa,
50484,Hancock County,Iowa,
50501,Webster County,Iowa,
50510,Buena Vista County,Iowa,
50511,Kossuth County,Iowa,
50514,Emmet County,Iowa,
50515,Palo Alto County,Iowa,
50516,Webster County,Iowa,
50517,Kossuth County,Iowa,
50518,Webster County,Iowa,
50519,Humboldt County,Iowa,
50520,Humboldt County,Iowa,
50521,Webster County,Iowa,
50522,Kossuth County,Iowa,
50523,Webster County,Iowa,
50524,Webster County,Iowa,
50525,Wright County,Iowa,
50526,Wright County,Iowa,
50527,Palo Alto County,Iowa,
50528,Palo Alto County,Iowa,
50529,Humboldt County,Iowa,
50530,Webster County,Iowa,
50531,Emmet County,Iowa,
50532,Webster County,Iowa,
50533,Wright County,Iowa,
50535,Sac County,Iowa,
50536,Palo Alto County,Iowa,
50538,Calhoun County,Iowa,
50539,Kossuth County,Iowa,
50540,Pocahontas County,Iowa,
50541,Humboldt County,Iowa,
50542,Wright County,Iowa,
50543,Webster County,Iowa,
50544,Webster County,Iowa,
50545,Humboldt County,Iowa,
50546,Pocahontas County,Iowa,
50548,Humboldt County,Iowa,
50551,Calhoun County,Iowa,
50552,Calhoun County,Iowa,
50554,Pocahontas County,Iowa,
50556,Kossuth County,Iowa,
50557,Webster County,Iowa,
50558,Humboldt County,Iowa,
50559,Kossuth County,Iowa,
50560,Kossuth County,Iowa,
50561,Sac County,Iowa,
50562,Palo Alto County,Iowa,
50563,Calhoun County,Iowa,
50565,Buena Vista County,Iowa,
50566,Webster County,Iowa,
50567,Sac County,Iowa,
50568,Buena Vista County,Iowa,
50569,Webster County,Iowa,
50570,Humboldt County,Iowa,
50571,Pocahontas County,Iowa,
50573,Pocahontas County,Iowa,
50574,Pocahontas County,Iowa,
50575,Calhoun County,Iowa,
50576,Buena Vista County,Iowa,
50577,Humboldt County,Iowa,
50578,Emmet County,Iowa,
50579,Calhoun County,Iowa,
50581,Pocahontas County,Iowa,
50582,Humboldt County,Iowa,
50583,Sac County,Iowa,
50585,Buena Vista County,Iowa,
50586,Calhoun County,Iowa,
50588,Buena Vista County,Iowa,
50590,Kossuth County,Iowa,
50591,Humboldt County,Iowa,
50592,Buena Vista County,Iowa,
