Zip Code,County,State,Entitlement
66002,Atchison County,Kansas,
66006,Douglas County,Kansas,
66007,Leavenworth County,Kansas,
66008,Doniphan County,Kansas,
66010,Linn County,Kansas,
66012,Wyandotte County,Kansas,
66013,Miami County,Kansas,
66014,Linn County,Kansas,
66015,Anderson County,Kansas,
66016,Atchison County,Kansas,
66017,Doniphan County,Kansas,
66018,Johnson County,Kansas,
66019,Johnson County,Kansas,
66020,Leavenworth County,Kansas,
66021,Johnson County,Kansas,
66023,Atchison County,Kansas,
66024,Doniphan County,Kansas,
66025,Douglas County,Kansas,
66026,Miami County,Kansas,
66027,Leavenworth County,Kansas,
66030,Johnson County,Kansas,
66031,Johnson County,Kansas,
66032,Anderson County,Kansas,
66033,Anderson County,Kansas,
66035,Doniphan County,Kansas,
66036,Miami County,Kansas,
66039,Anderson County,Kansas,
66040,Linn County,Kansas,
66041,Atchison County,Kansas,
66042,Franklin County,Kansas,
66043,Leavenworth County,Kansas,
66044,Douglas County,Kansas,
66045,Douglas County,Kansas,
66046,Douglas County,Kansas,
66047,Douglas County,Kansas,
66048,Leavenworth County,Kansas,
66049,Douglas County,Kansas,
66050,Douglas County,Kansas,
66051,Johnson County,Kansas,
66052,Leavenworth County,Kansas,
66053,Miami County,Kansas,
66054,Jefferson County,Kansas,
66056,Linn County,Kansas,
66058,Atchison County,Kansas,
66060,Jefferson County,Kansas,
66061,Johnson County,Kansas,
66062,Johnson County,Kansas,
66063,Johnson County,Kansas,
66064,Miami County,Kansas,
66066,Jefferson County,Kansas,
66067,Franklin County,Kansas,
66070,Jefferson County,Kansas,
66071,Miami County,Kansas,
66072,Linn County,Kansas,
66073,Jefferson County,Kansas,
66075,Linn County,Kansas,
66076,Franklin County,Kansas,
66077,Atchison County,Kansas,
66078,Franklin County,Kansas,
66079,Franklin County,Kansas,
66080,Franklin County,Kansas,
66083,Johnson County,Kansas,
66085,Johnson County,Kansas,
66086,Leavenworth County,Kansas,
66087,Doniphan County,Kansas,
66088,Jefferson County,Kansas,
66090,Doniphan County,Kansas,
66091,Anderson County,Kansas,
66092,Franklin County,Kansas,
66093,Anderson County,Kansas,
66094,Doniphan County,Kansas,
66095,Franklin County,Kansas,
66097,Jefferson County,Kansas,
66101,Wyandotte County,Kansas,
66102,Wyandotte County,Kansas,
66103,Wyandotte County,Kansas,
66104,Wyandotte County,Kansas,
66105,Wyandotte County,Kansas,
66106,Wyandotte County,Kansas,
66109,Wyandotte County,Kansas,
66110,Wyandotte County,Kansas,
66111,Wyandotte County,Kansas,
66112,Wyandotte County,Kansas,
66113,Wyandotte County,Kansas,
66115,Wyandotte County,Kansas,
66117,Wyandotte County,Kansas,
66118,Wyandotte County,Kansas,
66119,Wyandotte County,Kansas,
66160,Wyandotte County,Kansas,
66201,Johnson County,Kansas,
66202,Johnson County,Kansas,
66203,Johnson County,Kansas,
66204,Johnson County,Kansas,
66205,Johnson County,Kansas,
66206,Johnson County,Kansas,
66207,Johnson County,Kansas,
66208,Johnson County,Kansas,
66209,Johnson County,Kansas,
66210,Johnson County,Kansas,
66211,Johnson County,Kansas,
66212,Johnson County,Kansas,
66213,Johnson County,Kansas,
66214,Johnson County,Kansas,
66215,Johnson County,Kansas,
66216,Johnson County,Kansas,
66217,Johnson County,Kansas,
66218,Johnson County,Kansas,
66219,Johnson County,Kansas,
66220,Johnson County,Kansas,
66221,Johnson County,Kansas,
66222,Johnson County,Kansas,
66223,Johnson County,Kansas,
66224,Johnson County,Kansas,
66225,Johnson County,Kansas,
66226,Johnson County,Kansas,
66227,Johnson County,Kansas,
66250,Johnson County,Kansas,
66251,Johnson County,Kansas,
66276,Johnson County,Kansas,
66279,Johnson County,Kansas,
66282,Johnson County,Kansas,
66283,Johnson County,Kansas,
66285,Johnson County,Kansas,
66286,Johnson County,Kansas,
66401,Wabaunsee County,Kansas,
66402,Shawnee County,Kansas,
66403,Marshall County,Kansas,
66404,Nemaha County,Kansas,
66406,Marshall County,Kansas,
66407,Pottawatomie County,Kansas,
66408,Nemaha County,Kansas,
66409,Shawnee County,Kansas,
66411,Marshall County,Kansas,
66412,Marshall County,Kansas,
66413,Osage County,Kansas,
66414,Osage County,Kansas,
66415,Nemaha County,Kansas,
66416,Jackson County,Kansas,
66417,Nemaha County,Kansas,
66418,Jackson County,Kansas,
66419,Jackson County,Kansas,
66420,Shawnee County,Kansas,
66422,Pottawatomie County,Kansas,
66423,Wabaunsee County,Kansas,
66424,Brown County,Kansas,
66425,Brown County,Kansas,
66426,Pottawatomie County,Kansas,
66427,Marshall County,Kansas,
66428,Nemaha County,Kansas,
66429,Jefferson County,Kansas,
66431,Wabaunsee County,Kansas,
66432,Pottawatomie County,Kansas,
66434,Brown County,Kansas,
66436,Jackson County,Kansas,
66438,Marshall County,Kansas,
66439,Atchison County,Kansas,
66440,Jackson County,Kansas,
66441,Geary County,Kansas,
66442,Riley County,Kansas,
66449,Riley County,Kansas,
66451,Osage County,Kansas,
66501,Wabaunsee County,Kansas,
66502,Riley County,Kansas,
66503,Riley County,Kansas,
66505,Riley County,Kansas,
66506,Riley County,Kansas,
66507,Wabaunsee County,Kansas,
66508,Marshall County,Kansas,
66509,Jackson County,Kansas,
66510,Osage County,Kansas,
66512,Jefferson County,Kansas,
66514,Geary County,Kansas,
66515,Brown County,Kansas,
66516,Jackson County,Kansas,
66517,Riley County,Kansas,
66518,Marshall County,Kansas,
66520,Pottawatomie County,Kansas,
66521,Pottawatomie County,Kansas,
66522,Nemaha County,Kansas,
66523,Osage County,Kansas,
66524,Osage County,Kansas,
66526,Wabaunsee County,Kansas,
66527,Brown County,Kansas,
66528,Osage County,Kansas,
66531,Riley County,Kansas,
66532,Brown County,Kansas,
66533,Shawnee County,Kansas,
66534,Nemaha County,Kansas,
66535,Pottawatomie County,Kansas,
66536,Pottawatomie County,Kansas,
66537,Osage County,Kansas,
66538,Nemaha County,Kansas,
66539,Shawnee County,Kansas,
66540,Jackson County,Kansas,
66541,Marshall County,Kansas,
66542,Shawnee County,Kansas,
66543,Osage County,Kansas,
66544,Marshall County,Kansas,
66546,Shawnee County,Kansas,
66547,Pottawatomie County,Kansas,
66548,Marshall County,Kansas,
66549,Pottawatomie County,Kansas,
66550,Nemaha County,Kansas,
66552,Jackson County,Kansas,
66554,Riley County,Kansas,
66601,Shawnee County,Kansas,
66603,Shawnee County,Kansas,
66604,Shawnee County,Kansas,
66605,Shawnee County,Kansas,
66606,Shawnee County,Kansas,
66607,Shawnee County,Kansas,
66608,Shawnee County,Kansas,
66609,Shawnee County,Kansas,
66610,Shawnee County,Kansas,
66611,Shawnee County,Kansas,
66612,Shawnee County,Kansas,
66614,Shawnee County,Kansas,
66615,Shawnee County,Kansas,
66616,Shawnee County,Kansas,
66617,Shawnee County,Kansas,
66618,Shawnee County,Kansas,
66619,Shawnee County,Kansas,
66620,Shawnee County,Kansas,
66621,Shawnee County,Kansas,
66622,Shawnee County,Kansas,
66624,Shawnee County,Kansas,
66625,Shawnee County,Kansas,
66626,Shawnee County,Kansas,
66628,Shawnee County,Kansas,
66629,Shawnee County,Kansas,
66630,,Kansas,
66636,Shawnee County,Kansas,
66637,Shawnee County,Kansas,
66642,Shawnee County,Kansas,
66647,Shawnee County,Kansas,
66652,Shawnee County,Kansas,
66653,Shawnee County,Kansas,
66667,Shawnee County,Kansas,
66675,Shawnee County,Kansas,
66683,Shawnee County,Kansas,
66692,Shawnee County,Kansas,
66699,Shawnee County,Kansas,
66701,Bourbon County,Kansas,
66710,Wilson County,Kansas,
