Zip Code,County,State,Entitlement
40003,Shelby County,Kentucky,
40004,Nelson County,Kentucky,
40006,Trimble County,Kentucky,
40007,Henry County,Kentucky,
40008,Nelson County,Kentucky,
40009,Marion County,Kentucky,
40010,Oldham County,Kentucky,
40011,Henry County,Kentucky,
40012,Nelson County,Kentucky,
40013,Nelson County,Kentucky,
40014,Oldham County,Kentucky,
40018,Jefferson County,Kentucky,
40019,Henry County,Kentucky,
40020,Nelson County,Kentucky,
40022,Shelby County,Kentucky,
40023,Jefferson County,Kentucky,
40025,Jefferson County,Kentucky,
40026,Oldham County,Kentucky,
40027,Jefferson County,Kentucky,
40031,Oldham County,Kentucky,
40032,Oldham County,Kentucky,
40033,Marion County,Kentucky,
40036,Henry County,Kentucky,
40037,Marion County,Kentucky,
40040,Washington County,Kentucky,
40041,Jefferson County,Kentucky,
40045,Trimble County,Kentucky,
40046,Spencer County,Kentucky,
40047,Bullitt County,Kentucky,
40048,Nelson County,Kentucky,
40049,Marion County,Kentucky,
40050,Henry County,Kentucky,
40051,Nelson County,Kentucky,
40052,Nelson County,Kentucky,
40055,Henry County,Kentucky,
40056,Oldham County,Kentucky,
40057,Henry County,Kentucky,
40058,Henry County,Kentucky,
40059,Jefferson County,Kentucky,
40060,Marion County,Kentucky,
40061,Washington County,Kentucky,
40062,Marion County,Kentucky,
40063,Marion County,Kentucky,
40065,Shelby County,Kentucky,
40066,Shelby County,Kentucky,
40067,Shelby County,Kentucky,
40068,Henry County,Kentucky,
40069,Washington County,Kentucky,
40070,Henry County,Kentucky,
40071,Spencer County,Kentucky,
40075,Henry County,Kentucky,
40076,Shelby County,Kentucky,
40077,Oldham County,Kentucky,
40078,Washington County,Kentucky,
40104,Meade County,Kentucky,
40107,Nelson County,Kentucky,
40108,Meade County,Kentucky,
40109,Bullitt County,Kentucky,
40110,Bullitt County,Kentucky,
40111,Breckinridge County,Kentucky,
40115,Breckinridge County,Kentucky,
40117,Meade County,Kentucky,
40118,Jefferson County,Kentucky,
40119,Grayson County,Kentucky,
40121,Hardin County,Kentucky,
40122,Hardin County,Kentucky,
40129,Bullitt County,Kentucky,
40140,Breckinridge County,Kentucky,
40142,Meade County,Kentucky,
40143,Breckinridge County,Kentucky,
40144,Breckinridge County,Kentucky,
40145,Breckinridge County,Kentucky,
40146,Breckinridge County,Kentucky,
40150,Bullitt County,Kentucky,
40152,Breckinridge County,Kentucky,
40153,Breckinridge County,Kentucky,
40155,Meade County,Kentucky,
40157,Meade County,Kentucky,
40159,Hardin County,Kentucky,
40160,Hardin County,Kentucky,
40161,Meade County,Kentucky,
40162,Hardin County,Kentucky,
40165,Bullitt County,Kentucky,
40166,,Kentucky,
40170,Breckinridge County,Kentucky,
40171,Breckinridge County,Kentucky,
40175,Hardin County,Kentucky,
40176,Breckinridge County,Kentucky,
40177,Hardin County,Kentucky,
40178,Breckinridge County,Kentucky,
40201,Jefferson County,Kentucky,
40202,Jefferson County,Kentucky,
40203,Jefferson County,Kentucky,
40204,Jefferson County,Kentucky,
40205,Jefferson County,Kentucky,
40206,Jefferson County,Kentucky,
40207,Jefferson County,Kentucky,
40208,Jefferson County,Kentucky,
40209,Jefferson County,Kentucky,
40210,Jefferson County,Kentucky,
40211,Jefferson County,Kentucky,
40212,Jefferson County,Kentucky,
