Zip Code,County,State,Entitlement
70001,Jefferson Parish,Louisiana,
70002,Jefferson Parish,Louisiana,
70003,Jefferson Parish,Louisiana,
70004,Jefferson Parish,Louisiana,
70005,Jefferson Parish,Louisiana,
70006,Jefferson Parish,Louisiana,
70009,Jefferson Parish,Louisiana,
70010,Jefferson Parish,Louisiana,
70011,Jefferson Parish,Louisiana,
70030,St. Charles Parish,Louisiana,
70031,St. Charles Parish,Louisiana,
70032,St. Bernard Parish,Louisiana,
70033,Jefferson Parish,Louisiana,
70036,Jefferson Parish,Louisiana,
70037,Plaquemines Parish,Louisiana,
70038,Plaquemines Parish,Louisiana,
70039,St. Charles Parish,Louisiana,
70040,Plaquemines Parish,Louisiana,
70041,Plaquemines Parish,Louisiana,
70043,St. Bernard Parish,Louisiana,
70044,St Bernard Parish,Louisiana,
70047,St. Charles Parish,Louisiana,
70049,St. John the Baptist Parish,Louisiana,
70050,Plaquemines Parish,Louisiana,
70051,St. John the Baptist Parish,Louisiana,
70052,St. James Parish,Louisiana,
70053,Jefferson Parish,Louisiana,
70054,Jefferson Parish,Louisiana,
70055,Jefferson Parish,Louisiana,
70056,Jefferson Parish,Louisiana,
70057,St. Charles Parish,Louisiana,
70058,Jefferson Parish,Louisiana,
70059,Jefferson Parish,Louisiana,
70060,Jefferson Parish,Louisiana,
70062,Jefferson Parish,Louisiana,
70063,Jefferson Parish,Louisiana,
70064,Jefferson Parish,Louisiana,
70065,Jefferson Parish,Louisiana,
70067,Jefferson Parish,Louisiana,
70068,St. John the Baptist Parish,Louisiana,
70069,St. John the Baptist Parish,Louisiana,
70070,St. Charles Parish,Louisiana,
70071,St. James Parish,Louisiana,
70072,Jefferson Parish,Louisiana,
70073,Jefferson Parish,Louisiana,
70075,St. Bernard Parish,Louisiana,
70076,St. John the Baptist Parish,Louisiana,
70078,St. Charles Parish,Louisiana,
70079,St. Charles Parish,Louisiana,
70080,St. Charles Parish,Louisiana,
70081,Plaquemines Parish,Louisiana,
70082,Plaquemines Parish,Louisiana,
70083,Plaquemines Parish,Louisiana,
70084,St. John the Baptist Parish,Louisiana,
70085,St. Bernard Parish,Louisiana,
70086,St. James Parish,Louisiana,
70087,St. Charles Parish,Louisiana,
70090,St. James Parish,Louisiana,
70091,Plaquemines Parish,Louisiana,
70092,St. Bernard Parish,Louisiana,
70093,Plaquemines Parish,Louisiana,
70094,Jefferson Parish,Louisiana,
70096,Jefferson Parish,Louisiana,
70097,Jefferson Parish,Louisiana,
70112,Orleans Parish,Louisiana,
70113,Orleans Parish,Louisiana,
70114,Orleans Parish,Louisiana,
70115,Orleans Parish,Louisiana,
70116,Orleans Parish,Louisiana,
70117,Orleans Parish,Louisiana,
70118,Orleans Parish,Louisiana,
70119,Orleans Parish,Louisiana,
70121,Jefferson Parish,Louisiana,
70122,Orleans Parish,Louisiana,
70123,Jefferson Parish,Louisiana,
70124,Orleans Parish,Louisiana,
70125,Orleans Parish,Louisiana,
70126,Orleans Parish,Louisiana,
70127,Orleans Parish,Louisiana,
70128,Orleans Parish,Louisiana,
70129,Orleans Parish,Louisiana,
70130,Orleans Parish,Louisiana,
70131,Orleans Parish,Louisiana,
70139,Orleans Parish,Louisiana,
70140,Orleans Parish,Louisiana,
70141,Orleans Parish,Louisiana,
70142,Orleans Parish,Louisiana,
70143,Orleans Parish,Louisiana,
70145,Orleans Parish,Louisiana,
70146,Orleans Parish,Louisiana,
70148,Orleans Parish,Louisiana,
70149,Orleans Parish,Louisiana,
70150,Orleans Parish,Louisiana,
70151,Orleans Parish,Louisiana,
70152,Orleans Parish,Louisiana,
70153,Orleans Parish,Louisiana,
70154,Orleans Parish,Louisiana,
70156,Orleans Parish,Louisiana,
70157,Orleans Parish,Louisiana,
70158,Orleans Parish,Louisiana,
70159,Orleans Parish,Louisiana,
70160,Orleans Parish,Louisiana,
70161,Orleans Parish,Louisiana,
70162,Orleans Parish,Louisiana,
70163,Orleans Parish,Louisiana,
70164,Orleans Parish,Louisiana,
70165,Orleans Parish,Louisiana,
70166,Orleans Parish,Louisiana,
70167,Orleans Parish,Louisiana,
70170,Orleans Parish,Louisiana,
70172,Orleans Parish,Louisiana,
70174,Orleans Parish,Louisiana,
70175,Orleans Parish,Louisiana,
70176,Orleans Parish,Louisiana,
70177,Orleans Parish,Louisiana,
70178,Orleans Parish,Louisiana,
70179,Orleans Parish,Louisiana,
70181,Orleans Parish,Louisiana,
70182,Orleans Parish,Louisiana,
70183,Orleans Parish,Louisiana,
70184,Orleans Parish,Louisiana,
70185,Orleans Parish,Louisiana,
70186,Orleans Parish,Louisiana,
70187,Orleans Parish,Louisiana,
70189,Orleans Parish,Louisiana,
70190,Orleans Parish,Louisiana,
70195,Orleans Parish,Louisiana,
70301,Lafourche Parish,Louisiana,
70302,Lafourche Parish,Louisiana,
70310,Lafourche Parish,Louisiana,
70339,Assumption Parish,Louisiana,
70340,St Mary Parish,Louisiana,
70341,Assumption Parish,Louisiana,
70342,St. Mary Parish,Louisiana,
70343,Terrebonne Parish,Louisiana,
70344,Terrebonne Parish,Louisiana,
70345,Lafourche Parish,Louisiana,
70346,Ascension Parish,Louisiana,
70352,Terrebonne Parish,Louisiana,
70353,Terrebonne Parish,Louisiana,
70354,Lafourche Parish,Louisiana,
70355,Lafourche Parish,Louisiana,
70356,Terrebonne Parish,Louisiana,
70357,Lafourche Parish,Louisiana,
70358,Jefferson Parish,Louisiana,
70359,Terrebonne Parish,Louisiana,
70360,Terrebonne Parish,Louisiana,
70361,Terrebonne Parish,Louisiana,
70363,Terrebonne Parish,Louisiana,
70364,Terrebonne Parish,Louisiana,
70371,Lafourche Parish,Louisiana,
