Zip Code,County,State,Entitlement
03901,York County,Maine,
03902,York County,Maine,
03903,York County,Maine,
03904,York County,Maine,
03905,York County,Maine,
03906,York County,Maine,
03907,York County,Maine,
03908,York County,Maine,
03909,York County,Maine,
03910,York County,Maine,
03911,York County,Maine,
04001,York County,Maine,
04002,York County,Maine,
04003,Cumberland County,Maine,
04004,York County,Maine,
04005,York County,Maine,
04006,York County,Maine,
04007,York County,Maine,
04008,Sagadahoc County,Maine,
04009,Cumberland County,Maine,
04010,Oxford County,Maine,
04011,Cumberland County,Maine,
04013,Cumberland County,Maine,
04014,York County,Maine,
04015,Cumberland County,Maine,
04016,Oxford County,Maine,
04017,Cumberland County,Maine,
04019,Cumberland County,Maine,
04020,York County,Maine,
04021,Cumberland County,Maine,
04022,Oxford County,Maine,
04024,Cumberland County,Maine,
04027,York County,Maine,
04028,York County,Maine,
04029,Cumberland County,Maine,
04030,York County,Maine,
04032,Cumberland County,Maine,
04033,Cumberland County,Maine,
04034,Cumberland County,Maine,
04037,Oxford County,Maine,
04038,Cumberland County,Maine,
04039,Cumberland County,Maine,
04040,Cumberland County,Maine,
04041,Oxford County,Maine,
04042,York County,Maine,
04043,York County,Maine,
04046,York County,Maine,
04047,York County,Maine,
04048,York County,Maine,
04049,York County,Maine,
04050,Cumberland County,Maine,
04051,Oxford County,Maine,
04054,York County,Maine,
04055,Cumberland County,Maine,
04056,York County,Maine,
04057,Cumberland County,Maine,
04061,York County,Maine,
04062,Cumberland County,Maine,
04063,York County,Maine,
04064,York County,Maine,
04066,Cumberland County,Maine,
04068,Oxford County,Maine,
04069,Cumberland County,Maine,
04070,Cumberland County,Maine,
04071,Cumberland County,Maine,
04072,York County,Maine,
04073,York County,Maine,
04074,Cumberland County,Maine,
04075,Cumberland County,Maine,
04076,York County,Maine,
04077,Cumberland County,Maine,
04078,Cumberland County,Maine,
04079,Cumberland County,Maine,
04082,Cumberland County,Maine,
04083,York County,Maine,
04084,Cumberland County,Maine,
04085,Cumberland County,Maine,
04086,Sagadahoc County,Maine,
04087,York County,Maine,
04088,Oxford County,Maine,
04090,York County,Maine,
04091,Cumberland County,Maine,
04092,Cumberland County,Maine,
04093,York County,Maine,
04094,York County,Maine,
04095,York County,Maine,
04096,Cumberland County,Maine,
04097,Cumberland County,Maine,
04098,Cumberland County,Maine,
04101,Cumberland County,Maine,
04102,Cumberland County,Maine,
04103,Cumberland County,Maine,
04104,Cumberland County,Maine,
04105,Cumberland County,Maine,
04106,Cumberland County,Maine,
04107,Cumberland County,Maine,
04108,Cumberland County,Maine,
04109,Cumberland County,Maine,
04110,Cumberland County,Maine,
04112,Cumberland County,Maine,
04116,Cumberland County,Maine,
04122,Cumberland County,Maine,
04123,Cumberland County,Maine,
04124,Cumberland County,Maine,
04210,Androscoggin County,Maine,
04211,Androscoggin County,Maine,
04212,Androscoggin County,Maine,
04216,Oxford County,Maine,
04217,Oxford County,Maine,
04219,Oxford County,Maine,
04220,Oxford County,Maine,
04221,Oxford County,Maine,
04222,Androscoggin County,Maine,
04223,Androscoggin County,Maine,
04224,Oxford County,Maine,
04225,Franklin County,Maine,
04226,Oxford County,Maine,
04227,Oxford County,Maine,
04228,Androscoggin County,Maine,
04230,Androscoggin County,Maine,
04231,Oxford County,Maine,
04234,Franklin County,Maine,
04236,Androscoggin County,Maine,
04237,Oxford County,Maine,
04238,Oxford County,Maine,
04239,Franklin County,Maine,
04240,Androscoggin County,Maine,
04241,Androscoggin County,Maine,
04243,Androscoggin County,Maine,
04250,Androscoggin County,Maine,
04252,Androscoggin County,Maine,
04253,Androscoggin County,Maine,
04254,Androscoggin County,Maine,
04255,Oxford County,Maine,
04256,Androscoggin County,Maine,
04257,Oxford County,Maine,
04258,Androscoggin County,Maine,
04259,Kennebec County,Maine,
04260,Cumberland County,Maine,
04261,Oxford County,Maine,
04262,Franklin County,Maine,
04263,Androscoggin County,Maine,
04265,Kennebec County,Maine,
04266,Androscoggin County,Maine,
04267,Oxford County,Maine,
04268,Oxford County,Maine,
04270,Oxford County,Maine,
04271,Oxford County,Maine,
04274,Androscoggin County,Maine,
04275,Oxford County,Maine,
04276,Oxford County,Maine,
04280,Androscoggin County,Maine,
04281,Oxford County,Maine,
04282,Androscoggin County,Maine,
04284,Kennebec County,Maine,
04285,Franklin County,Maine,
04286,Oxford County,Maine,
04287,Sagadahoc County,Maine,
04288,Androscoggin County,Maine,
04289,Oxford County,Maine,
04290,Oxford County,Maine,
04291,Androscoggin County,Maine,
04292,Oxford County,Maine,
04294,Franklin County,Maine,
04330,Kennebec County,Maine,
04332,Kennebec County,Maine,
04333,Kennebec County,Maine,
04336,Kennebec County,Maine,
04338,Kennebec County,Maine,
04341,Lincoln County,Maine,
04342,Lincoln County,Maine,
04343,Kennebec County,Maine,
04344,Kennebec County,Maine,
04345,Kennebec County,Maine,
04346,Kennebec County,Maine,
04347,Kennebec County,Maine,
04348,Lincoln County,Maine,
04349,Kennebec County,Maine,
04350,Kennebec County,Maine,
04351,Kennebec County,Maine,
04352,Kennebec County,Maine,
04353,Lincoln County,Maine,
04354,Waldo County,Maine,
04355,Kennebec County,Maine,
04357,Sagadahoc County,Maine,
04358,Kennebec County,Maine,
04359,Kennebec County,Maine,
04360,Kennebec County,Maine,
04363,Kennebec County,Maine,
04364,Kennebec County,Maine,
04401,Penobscot County,Maine,
04402,Penobscot County,Maine,
04406,Piscataquis County,Maine,
04408,Hancock County,Maine,
04410,Penobscot County,Maine,
04411,Penobscot County,Maine,
04412,Penobscot County,Maine,
04413,Washington County,Maine,
04414,Piscataquis County,Maine,
04415,Piscataquis County,Maine,
04416,Hancock County,Maine,
04417,Penobscot County,Maine,
04418,Penobscot County,Maine,
04419,Penobscot County,Maine,
04420,Hancock County,Maine,
04421,Hancock County,Maine,
04422,Penobscot County,Maine,
04424,Washington County,Maine,
04426,Piscataquis County,Maine,
04427,Penobscot County,Maine,
04428,Penobscot County,Maine,
04429,Penobscot County,Maine,
04430,Penobscot County,Maine,
04431,Hancock County,Maine,
04434,Penobscot County,Maine,
04435,Penobscot County,Maine,
04438,Waldo County,Maine,
04441,Piscataquis County,Maine,
04442,Piscataquis County,Maine,
04443,Piscataquis County,Maine,
04444,Penobscot County,Maine,
04448,Penobscot County,Maine,
04449,Penobscot County,Maine,
04450,Penobscot County,Maine,
04451,Penobscot County,Maine,
04453,Penobscot County,Maine,
04454,Washington County,Maine,
04455,Penobscot County,Maine,
04456,Penobscot County,Maine,
04457,Penobscot County,Maine,
04459,Penobscot County,Maine,
04460,Penobscot County,Maine,
04461,Penobscot County,Maine,
04462,Penobscot County,Maine,
04463,Piscataquis County,Maine,
04464,Piscataquis County,Maine,
04467,Penobscot County,Maine,
04468,Penobscot County,Maine,
04469,Penobscot County,Maine,
04471,Aroostook County,Maine,
04472,Hancock County,Maine,
04473,Penobscot County,Maine,
04474,Penobscot County,Maine,
04475,Penobscot County,Maine,
04476,Hancock County,Maine,
04478,Somerset County,Maine,
04479,Piscataquis County,Maine,
04481,Piscataquis County,Maine,
04485,Piscataquis County,Maine,
04487,Penobscot County,Maine,
04488,Penobscot County,Maine,
04489,Penobscot County,Maine,
04490,Washington County,Maine,
04491,Washington County,Maine,
04492,Washington County,Maine,
04493,Penobscot County,Maine,
04495,Penobscot County,Maine,
04496,Waldo County,Maine,
04497,Aroostook County,Maine,
04530,Sagadahoc County,Maine,
04535,Lincoln County,Maine,
04537,Lincoln County,Maine,
04538,Lincoln County,Maine,
04539,Lincoln County,Maine,
04541,Lincoln County,Maine,
04543,Lincoln County,Maine,
04544,Lincoln County,Maine,
04547,Knox County,Maine,
04548,Sagadahoc County,Maine,
04549,Lincoln County,Maine,
04551,Lincoln County,Maine,
04553,Lincoln County,Maine,
04554,Lincoln County,Maine,
04555,Lincoln County,Maine,
04556,Lincoln County,Maine,
04558,Lincoln County,Maine,
04562,Sagadahoc County,Maine,
04563,Knox County,Maine,
04564,Lincoln County,Maine,
04565,Sagadahoc County,Maine,
04568,Lincoln County,Maine,
04570,Lincoln County,Maine,
04571,Lincoln County,Maine,
04572,Lincoln County,Maine,
04573,Lincoln County,Maine,
04574,Knox County,Maine,
04575,Lincoln County,Maine,
04576,Lincoln County,Maine,
04578,Lincoln County,Maine,
04579,Sagadahoc County,Maine,
04605,Hancock County,Maine,
04606,Washington County,Maine,
04607,Hancock County,Maine,
04609,Hancock County,Maine,
04611,Washington County,Maine,
04612,Hancock County,Maine,
04613,Hancock County,Maine,
04614,Hancock County,Maine,
04616,Hancock County,Maine,
04617,Hancock County,Maine,
04619,Washington County,Maine,
04622,Washington County,Maine,
04623,Washington County,Maine,
04624,Hancock County,Maine,
04625,Hancock County,Maine,
04626,Washington County,Maine,
04627,Hancock County,Maine,
04628,Washington County,Maine,
04629,Hancock County,Maine,
04630,Washington County,Maine,
04631,Washington County,Maine,
04634,Hancock County,Maine,
04635,Hancock County,Maine,
04637,Washington County,Maine,
04640,Hancock County,Maine,
04642,Hancock County,Maine,
04643,Washington County,Maine,
04644,Hancock County,Maine,
04645,Knox County,Maine,
04646,Hancock County,Maine,
04648,Washington County,Maine,
04649,Washington County,Maine,
04650,Hancock County,Maine,
04652,Washington County,Maine,
04653,Hancock County,Maine,
04654,Washington County,Maine,
04655,Washington County,Maine,
04657,Washington County,Maine,
04658,Washington County,Maine,
04660,Hancock County,Maine,
04662,Hancock County,Maine,
04664,Hancock County,Maine,
04666,Washington County,Maine,
04667,Washington County,Maine,
04668,Washington County,Maine,
04669,Hancock County,Maine,
04671,Washington County,Maine,
04672,Hancock County,Maine,
04673,Hancock County,Maine,
04674,Hancock County,Maine,
04675,Hancock County,Maine,
04676,Hancock County,Maine,
04677,Hancock County,Maine,
04679,Hancock County,Maine,
04680,Washington County,Maine,
04681,Hancock County,Maine,
04683,Hancock County,Maine,
04684,Hancock County,Maine,
04685,Hancock County,Maine,
04686,Washington County,Maine,
04691,Washington County,Maine,
04693,Hancock County,Maine,
04694,Washington County,Maine,
04730,Aroostook County,Maine,
04732,Aroostook County,Maine,
04733,Aroostook County,Maine,
04734,Aroostook County,Maine,
04735,Aroostook County,Maine,
04736,Aroostook County,Maine,
04737,Aroostook County,Maine,
04738,Aroostook County,Maine,
04739,Aroostook County,Maine,
04740,Aroostook County,Maine,
04741,Aroostook County,Maine,
04742,Aroostook County,Maine,
04743,Aroostook County,Maine,
04744,Aroostook County,Maine,
04745,Aroostook County,Maine,
04746,Aroostook County,Maine,
04747,Aroostook County,Maine,
04750,Aroostook County,Maine,
04751,Aroostook County,Maine,
04756,Aroostook County,Maine,
04757,Aroostook County,Maine,
04758,Aroostook County,Maine,
04760,Aroostook County,Maine,
04761,Aroostook County,Maine,
04762,Aroostook County,Maine,
04763,Aroostook County,Maine,
04764,Aroostook County,Maine,
04765,Penobscot County,Maine,
04766,Aroostook County,Maine,
04768,Aroostook County,Maine,
04769,Aroostook County,Maine,
04772,Aroostook County,Maine,
04773,Aroostook County,Maine,
04774,Aroostook County,Maine,
04775,Aroostook County,Maine,
04776,Aroostook County,Maine,
04777,Penobscot County,Maine,
04779,Aroostook County,Maine,
04780,Aroostook County,Maine,
04781,Aroostook County,Maine,
04783,Aroostook County,Maine,
04785,Aroostook County,Maine,
04786,Aroostook County,Maine,
04787,Aroostook County,Maine,
04841,Knox County,Maine,
04843,Knox County,Maine,
04846,Knox County,Maine,
04847,Knox County,Maine,
04848,Waldo County,Maine,
04849,Waldo County,Maine,
04850,Waldo County,Maine,
04851,Knox County,Maine,
04852,Lincoln County,Maine,
04853,Knox County,Maine,
04854,Knox County,Maine,
04855,Knox County,Maine,
04856,Knox County,Maine,
04858,Knox County,Maine,
04859,Knox County,Maine,
04860,Knox County,Maine,
04861,Knox County,Maine,
04862,Knox County,Maine,
04863,Knox County,Maine,
04864,Knox County,Maine,
04865,Knox County,Maine,
04901,Kennebec County,Maine,
04903,Kennebec County,Maine,
04910,Kennebec County,Maine,
04911,Somerset County,Maine,
04912,Somerset County,Maine,
04915,Waldo County,Maine,
04917,Kennebec County,Maine,
04918,Kennebec County,Maine,
04920,Somerset County,Maine,
04921,Waldo County,Maine,
04922,Waldo County,Maine,
04923,Somerset County,Maine,
04924,Somerset County,Maine,
04925,Somerset County,Maine,
04926,Kennebec County,Maine,
04927,Kennebec County,Maine,
04928,Penobscot County,Maine,
04929,Somerset County,Maine,
04930,Penobscot County,Maine,
04932,Penobscot County,Maine,
04933,Penobscot County,Maine,
04935,Kennebec County,Maine,
04936,Franklin County,Maine,
04937,Somerset County,Maine,
04938,Franklin County,Maine,
04939,Penobscot County,Maine,
04940,Franklin County,Maine,
04941,Waldo County,Maine,
04942,Somerset County,Maine,
04943,Somerset County,Maine,
04944,Somerset County,Maine,
04945,Somerset County,Maine,
04947,Franklin County,Maine,
04949,Waldo County,Maine,
04950,Somerset County,Maine,
04951,Waldo County,Maine,
04952,Waldo County,Maine,
04953,Penobscot County,Maine,
04954,Somerset County,Maine,
04955,Franklin County,Maine,
04956,Franklin County,Maine,
04957,Somerset County,Maine,
04958,Somerset County,Maine,
04961,Somerset County,Maine,
04962,Kennebec County,Maine,
04963,Kennebec County,Maine,
04964,Franklin County,Maine,
04965,Somerset County,Maine,
04966,Franklin County,Maine,
04967,Somerset County,Maine,
04969,Penobscot County,Maine,
04970,Franklin County,Maine,
04971,Somerset County,Maine,
04972,Waldo County,Maine,
04973,Waldo County,Maine,
04974,Waldo County,Maine,
04975,Somerset County,Maine,
04976,Somerset County,Maine,
04978,Somerset County,Maine,
04979,Somerset County,Maine,
04981,Waldo County,Maine,
04982,Franklin County,Maine,
04983,Franklin County,Maine,
04984,Franklin County,Maine,
04985,Somerset County,Maine,
04986,Waldo County,Maine,
04987,Waldo County,Maine,
04988,Waldo County,Maine,
04989,Kennebec County,Maine,
04992,Franklin County,Maine,
