Zip Code,County,State,Entitlement
20588,Howard County,Maryland,
20601,Charles County,Maryland,
20602,Charles County,Maryland,
20603,Charles County,Maryland,
20604,Charles County,Maryland,
20606,St. Mary's County,Maryland,
20607,Prince George's County,Maryland,
20608,Prince George's County,Maryland,
20609,St. Mary's County,Maryland,
20610,Calvert County,Maryland,
20611,Charles County,Maryland,
20612,Charles County,Maryland,
20613,Prince George's County,Maryland,
20615,Calvert County,Maryland,
20616,Charles County,Maryland,
20617,Charles County,Maryland,
20618,St. Mary's County,Maryland,
20619,St. Mary's County,Maryland,
20620,St. Mary's County,Maryland,
20621,St. Mary's County,Maryland,
20622,Charles County,Maryland,
20623,Prince George's County,Maryland,
20624,St. Mary's County,Maryland,
20625,Charles County,Maryland,
20626,St. Mary's County,Maryland,
20627,St. Mary's County,Maryland,
20628,St. Mary's County,Maryland,
20629,Calvert County,Maryland,
20630,St. Mary's County,Maryland,
20632,Charles County,Maryland,
20634,St. Mary's County,Maryland,
20635,St Mary's County,Maryland,
20636,St. Mary's County,Maryland,
20637,Charles County,Maryland,
20639,Calvert County,Maryland,
20640,Charles County,Maryland,
20643,Charles County,Maryland,
20645,Charles County,Maryland,
20646,Charles County,Maryland,
20650,St. Mary's County,Maryland,
20653,St. Mary's County,Maryland,
20656,St. Mary's County,Maryland,
20657,Calvert County,Maryland,
20658,Charles County,Maryland,
20659,St. Mary's County,Maryland,
20660,St. Mary's County,Maryland,
20661,Charles County,Maryland,
20662,Charles County,Maryland,
20664,Charles County,Maryland,
20667,St. Mary's County,Maryland,
20670,St. Mary's County,Maryland,
20674,St. Mary's County,Maryland,
20675,Charles County,Maryland,
20676,Calvert County,Maryland,
20677,Charles County,Maryland,
20678,Calvert County,Maryland,
20680,St. Mary's County,Maryland,
20682,Charles County,Maryland,
20684,St. Mary's County,Maryland,
20685,Calvert County,Maryland,
20686,St. Mary's County,Maryland,
20687,St. Mary's County,Maryland,
20688,Calvert County,Maryland,
20689,Calvert County,Maryland,
20690,St. Mary's County,Maryland,
20692,St. Mary's County,Maryland,
20693,Charles County,Maryland,
20695,Charles County,Maryland,
20697,Prince George's County,Maryland,
20701,Howard County,Maryland,
20703,Prince George's County,Maryland,
20704,Prince George's County,Maryland,
20705,Prince George's County,Maryland,
20706,Prince George's County,Maryland,
20707,Prince George's County,Maryland,
20708,Prince George's County,Maryland,
20709,Prince George's County,Maryland,
20710,Prince George's County,Maryland,
20711,Anne Arundel County,Maryland,
20712,Prince George's County,Maryland,
20714,Calvert County,Maryland,
20715,Prince George's County,Maryland,
20716,Prince George's County,Maryland,
20717,Prince George's County,Maryland,
20718,Prince George's County,Maryland,
20719,Prince George's County,Maryland,
20720,Prince George's County,Maryland,
20721,Prince George's County,Maryland,
20722,Prince George's County,Maryland,
20723,Howard County,Maryland,
20724,Anne Arundel County,Maryland,
20725,Prince George's County,Maryland,
20726,Prince George's County,Maryland,
20731,Prince George's County,Maryland,
20732,Calvert County,Maryland,
20733,Anne Arundel County,Maryland,
20735,Prince George's County,Maryland,
20736,Calvert County,Maryland,
20737,Prince George's County,Maryland,
20738,Prince George's County,Maryland,
20740,Prince George's County,Maryland,
20741,Prince George's County,Maryland,
20742,Prince George's County,Maryland,
20743,Prince George's County,Maryland,
20744,Prince George's County,Maryland,
20745,Prince George's County,Maryland,
20746,Prince George's County,Maryland,
