Zip Code,County,State,Entitlement
48001,St. Clair County,Michigan,
48002,St. Clair County,Michigan,
48003,Lapeer County,Michigan,
48004,St. Clair County,Michigan,
48005,Macomb County,Michigan,
48006,St. Clair County,Michigan,
48007,Oakland County,Michigan,
48009,Oakland County,Michigan,
48012,Oakland County,Michigan,
48014,St. Clair County,Michigan,
48015,Macomb County,Michigan,
48017,Oakland County,Michigan,
48021,Macomb County,Michigan,
48022,St. Clair County,Michigan,
48023,St. Clair County,Michigan,
48025,Oakland County,Michigan,
48026,Macomb County,Michigan,
48027,St. Clair County,Michigan,
48028,St. Clair County,Michigan,
48030,Oakland County,Michigan,
48032,St. Clair County,Michigan,
48033,Oakland County,Michigan,
48034,Oakland County,Michigan,
48035,Macomb County,Michigan,
48036,Macomb County,Michigan,
48037,Oakland County,Michigan,
48038,Macomb County,Michigan,
48039,St. Clair County,Michigan,
48040,St. Clair County,Michigan,
48041,St. Clair County,Michigan,
48042,Macomb County,Michigan,
48043,Macomb County,Michigan,
48044,Macomb County,Michigan,
48045,Macomb County,Michigan,
48046,Macomb County,Michigan,
48047,Macomb County,Michigan,
48048,Macomb County,Michigan,
48049,St. Clair County,Michigan,
48050,Macomb County,Michigan,
48051,Macomb County,Michigan,
48054,St. Clair County,Michigan,
48059,St. Clair County,Michigan,
48060,St. Clair County,Michigan,
48061,St. Clair County,Michigan,
48062,Macomb County,Michigan,
48063,St. Clair County,Michigan,
48064,St. Clair County,Michigan,
48065,Macomb County,Michigan,
48066,Macomb County,Michigan,
48067,Oakland County,Michigan,
48068,Oakland County,Michigan,
48069,Oakland County,Michigan,
48070,Oakland County,Michigan,
48071,Oakland County,Michigan,
48072,Oakland County,Michigan,
48073,Oakland County,Michigan,
48074,St. Clair County,Michigan,
48075,Oakland County,Michigan,
48076,Oakland County,Michigan,
48079,St. Clair County,Michigan,
48080,Macomb County,Michigan,
48081,Macomb County,Michigan,
48082,Macomb County,Michigan,
48083,Oakland County,Michigan,
48084,Oakland County,Michigan,
48085,Oakland County,Michigan,
48086,Oakland County,Michigan,
48088,Macomb County,Michigan,
48089,Macomb County,Michigan,
48090,Macomb County,Michigan,
48091,Macomb County,Michigan,
48092,Macomb County,Michigan,
48093,Macomb County,Michigan,
48094,Macomb County,Michigan,
48095,Macomb County,Michigan,
48096,Macomb County,Michigan,
48097,St. Clair County,Michigan,
48098,Oakland County,Michigan,
48099,Oakland County,Michigan,
48101,Wayne County,Michigan,
48103,Washtenaw County,Michigan,
48104,Washtenaw County,Michigan,
48105,Washtenaw County,Michigan,
48106,Washtenaw County,Michigan,
48107,Washtenaw County,Michigan,
48108,Washtenaw County,Michigan,
48109,Washtenaw County,Michigan,
48110,Monroe County,Michigan,
48111,Wayne County,Michigan,
48112,Wayne County,Michigan,
48113,Washtenaw County,Michigan,
48114,Livingston County,Michigan,
48115,Washtenaw County,Michigan,
48116,Livingston County,Michigan,
48117,Monroe County,Michigan,
48118,Washtenaw County,Michigan,
48120,Wayne County,Michigan,
48121,Wayne County,Michigan,
48122,Wayne County,Michigan,
48123,Wayne County,Michigan,
48124,Wayne County,Michigan,
48125,Wayne County,Michigan,
48126,Wayne County,Michigan,
48127,Wayne County,Michigan,
48128,Wayne County,Michigan,
48130,Washtenaw County,Michigan,
48131,Monroe County,Michigan,
48133,Monroe County,Michigan,
48134,Wayne County,Michigan,
48135,Wayne County,Michigan,
48136,Wayne County,Michigan,
48137,Livingston County,Michigan,
48138,Wayne County,Michigan,
48139,Livingston County,Michigan,
48140,Monroe County,Michigan,
48141,Wayne County,Michigan,
48143,Livingston County,Michigan,
48144,Monroe County,Michigan,
48145,Monroe County,Michigan,
48146,Wayne County,Michigan,
48150,Wayne County,Michigan,
