Zip Code,County,State,Entitlement
55001,Washington County,Minnesota,
55002,Chisago County,Minnesota,
55003,Washington County,Minnesota,
55005,Anoka County,Minnesota,
55006,Isanti County,Minnesota,
55007,Kanabec County,Minnesota,
55008,Isanti County,Minnesota,
55009,Goodhue County,Minnesota,
55010,Dakota County,Minnesota,
55011,Anoka County,Minnesota,
55012,Chisago County,Minnesota,
55013,Chisago County,Minnesota,
55014,Anoka County,Minnesota,
55016,Washington County,Minnesota,
55017,Isanti County,Minnesota,
55018,Goodhue County,Minnesota,
55019,Rice County,Minnesota,
55020,Scott County,Minnesota,
55021,Rice County,Minnesota,
55024,Dakota County,Minnesota,
55025,Washington County,Minnesota,
55026,Goodhue County,Minnesota,
55027,Goodhue County,Minnesota,
55029,Isanti County,Minnesota,
55030,Pine County,Minnesota,
55031,Dakota County,Minnesota,
55032,Chisago County,Minnesota,
55033,Dakota County,Minnesota,
55036,Pine County,Minnesota,
55037,Pine County,Minnesota,
55038,Washington County,Minnesota,
55040,Isanti County,Minnesota,
55041,Wabasha County,Minnesota,
55042,Washington County,Minnesota,
55043,Washington County,Minnesota,
55044,Dakota County,Minnesota,
55045,Chisago County,Minnesota,
55046,Rice County,Minnesota,
55047,Washington County,Minnesota,
55049,Steele County,Minnesota,
55051,Kanabec County,Minnesota,
55052,Rice County,Minnesota,
55053,Rice County,Minnesota,
55054,Scott County,Minnesota,
55055,Washington County,Minnesota,
55056,Chisago County,Minnesota,
55057,Rice County,Minnesota,
55060,Steele County,Minnesota,
55063,Pine County,Minnesota,
55065,Dakota County,Minnesota,
55066,Goodhue County,Minnesota,
55067,Pine County,Minnesota,
55068,Dakota County,Minnesota,
55069,Chisago County,Minnesota,
55070,Anoka County,Minnesota,
55071,Washington County,Minnesota,
55072,Pine County,Minnesota,
55073,Washington County,Minnesota,
55074,Chisago County,Minnesota,
55075,Dakota County,Minnesota,
55076,Dakota County,Minnesota,
55077,Dakota County,Minnesota,
55078,Chisago County,Minnesota,
55079,Chisago County,Minnesota,
55080,Isanti County,Minnesota,
55082,Washington County,Minnesota,
55083,Washington County,Minnesota,
55084,Chisago County,Minnesota,
55085,Dakota County,Minnesota,
55087,Rice County,Minnesota,
55088,Rice County,Minnesota,
55089,Goodhue County,Minnesota,
55090,Washington County,Minnesota,
55092,Chisago County,Minnesota,
55101,Ramsey County,Minnesota,
55102,Ramsey County,Minnesota,
55103,Ramsey County,Minnesota,
55104,Ramsey County,Minnesota,
55105,Ramsey County,Minnesota,
55106,Ramsey County,Minnesota,
55107,Ramsey County,Minnesota,
55108,Ramsey County,Minnesota,
55109,Ramsey County,Minnesota,
55110,Ramsey County,Minnesota,
55111,Hennepin County,Minnesota,
55112,Ramsey County,Minnesota,
55113,Ramsey County,Minnesota,
55114,Ramsey County,Minnesota,
55115,Washington County,Minnesota,
55116,Ramsey County,Minnesota,
55117,Ramsey County,Minnesota,
55118,Dakota County,Minnesota,
55119,Ramsey County,Minnesota,
55120,Dakota County,Minnesota,
55121,Dakota County,Minnesota,
55122,Dakota County,Minnesota,
55123,Dakota County,Minnesota,
55124,Dakota County,Minnesota,
55125,Washington County,Minnesota,
55126,Ramsey County,Minnesota,
55127,Ramsey County,Minnesota,
55128,Washington County,Minnesota,
55129,Washington County,Minnesota,
55130,Ramsey County,Minnesota,
55131,Ramsey County,Minnesota,
55133,Ramsey County,Minnesota,
55144,Ramsey County,Minnesota,
55145,Ramsey County,Minnesota,
55146,Ramsey County,Minnesota,
55150,Dakota County,Minnesota,
55155,Ramsey County,Minnesota,
55161,Ramsey County,Minnesota,
55164,Ramsey County,Minnesota,
55165,Ramsey County,Minnesota,
55166,Ramsey County,Minnesota,
55168,Ramsey County,Minnesota,
55169,Ramsey County,Minnesota,
55170,Ramsey County,Minnesota,
55171,Ramsey County,Minnesota,
55172,Ramsey County,Minnesota,
55175,Ramsey County,Minnesota,
55177,Ramsey County,Minnesota,
55187,Ramsey County,Minnesota,
55188,Ramsey County,Minnesota,
55191,Ramsey County,Minnesota,
55301,Wright County,Minnesota,
55302,Wright County,Minnesota,
55303,Anoka County,Minnesota,
55304,Anoka County,Minnesota,
55305,Hennepin County,Minnesota,
55306,Dakota County,Minnesota,
55307,Sibley County,Minnesota,
55308,Sherburne County,Minnesota,
55309,Sherburne County,Minnesota,
55310,Renville County,Minnesota,
55311,Hennepin County,Minnesota,
55312,McLeod County,Minnesota,
55313,Wright County,Minnesota,
55314,Renville County,Minnesota,
55315,Carver County,Minnesota,
55316,Hennepin County,Minnesota,
55317,Carver County,Minnesota,
55318,Carver County,Minnesota,
55319,Sherburne County,Minnesota,
55320,Wright County,Minnesota,
55321,Wright County,Minnesota,
55322,Carver County,Minnesota,
55323,Hennepin County,Minnesota,
55324,Meeker County,Minnesota,
55325,Meeker County,Minnesota,
55327,Hennepin County,Minnesota,
55328,Wright County,Minnesota,
55329,Stearns County,Minnesota,
55330,Sherburne County,Minnesota,
55331,Hennepin County,Minnesota,
55332,Renville County,Minnesota,
55333,Renville County,Minnesota,
55334,Sibley County,Minnesota,
55335,Sibley County,Minnesota,
55336,McLeod County,Minnesota,
55337,Dakota County,Minnesota,
55338,Sibley County,Minnesota,
55339,Carver County,Minnesota,
55340,Hennepin County,Minnesota,
55341,Wright County,Minnesota,
55342,Renville County,Minnesota,
55343,Hennepin County,Minnesota,
55344,Hennepin County,Minnesota,
55345,Hennepin County,Minnesota,
55346,Hennepin County,Minnesota,
55347,Hennepin County,Minnesota,
55348,Hennepin County,Minnesota,
55349,Wright County,Minnesota,
55350,McLeod County,Minnesota,
55352,Scott County,Minnesota,
55353,Stearns County,Minnesota,
55354,McLeod County,Minnesota,
55355,Meeker County,Minnesota,
55356,Hennepin County,Minnesota,
55357,Hennepin County,Minnesota,
55358,Wright County,Minnesota,
55359,Hennepin County,Minnesota,
55360,Carver County,Minnesota,
55361,Hennepin County,Minnesota,
55362,Wright County,Minnesota,
55363,Wright County,Minnesota,
55364,Hennepin County,Minnesota,
55365,Wright County,Minnesota,
55366,Sibley County,Minnesota,
55367,Carver County,Minnesota,
55368,Carver County,Minnesota,
55369,Hennepin County,Minnesota,
55370,McLeod County,Minnesota,
55371,Mille Lacs County,Minnesota,
55372,Scott County,Minnesota,
55373,Wright County,Minnesota,
55374,Hennepin County,Minnesota,
55375,Hennepin County,Minnesota,
55376,Wright County,Minnesota,
55377,Sherburne County,Minnesota,
55378,Scott County,Minnesota,
55379,Scott County,Minnesota,
55380,Wright County,Minnesota,
55381,McLeod County,Minnesota,
55382,Stearns County,Minnesota,
55383,Carver County,Minnesota,
55384,Hennepin County,Minnesota,
55385,McLeod County,Minnesota,
55386,Carver County,Minnesota,
55387,Carver County,Minnesota,
55388,Carver County,Minnesota,
55389,Meeker County,Minnesota,
55390,Wright County,Minnesota,
55391,Hennepin County,Minnesota,
55392,Hennepin County,Minnesota,
55393,Hennepin County,Minnesota,
55394,Carver County,Minnesota,
55395,McLeod County,Minnesota,
55396,Sibley County,Minnesota,
55397,Carver County,Minnesota,
55398,Sherburne County,Minnesota,
55399,Carver County,Minnesota,
55401,Hennepin County,Minnesota,
55402,Hennepin County,Minnesota,
55403,Hennepin County,Minnesota,
55404,Hennepin County,Minnesota,
55405,Hennepin County,Minnesota,
55406,Hennepin County,Minnesota,
55407,Hennepin County,Minnesota,
55408,Hennepin County,Minnesota,
55409,Hennepin County,Minnesota,
55410,Hennepin County,Minnesota,
55411,Hennepin County,Minnesota,
55412,Hennepin County,Minnesota,
55413,Hennepin County,Minnesota,
55414,Hennepin County,Minnesota,
55415,Hennepin County,Minnesota,
55416,Hennepin County,Minnesota,
55417,Hennepin County,Minnesota,
55418,Hennepin County,Minnesota,
55419,Hennepin County,Minnesota,
55420,Hennepin County,Minnesota,
55421,Anoka County,Minnesota,
55422,Hennepin County,Minnesota,
55423,Hennepin County,Minnesota,
55424,Hennepin County,Minnesota,
55425,Hennepin County,Minnesota,
55426,Hennepin County,Minnesota,
55427,Hennepin County,Minnesota,
55428,Hennepin County,Minnesota,
55429,Hennepin County,Minnesota,
55430,Hennepin County,Minnesota,
55431,Hennepin County,Minnesota,
55432,Anoka County,Minnesota,
55433,Anoka County,Minnesota,
55434,Anoka County,Minnesota,
55435,Hennepin County,Minnesota,
55436,Hennepin County,Minnesota,
55437,Hennepin County,Minnesota,
55438,Hennepin County,Minnesota,
55439,Hennepin County,Minnesota,
55440,Hennepin County,Minnesota,
55441,Hennepin County,Minnesota,
55442,Hennepin County,Minnesota,
55443,Hennepin County,Minnesota,
55444,Hennepin County,Minnesota,
55445,Hennepin County,Minnesota,
55446,Hennepin County,Minnesota,
55447,Hennepin County,Minnesota,
55448,Anoka County,Minnesota,
55449,Anoka County,Minnesota,
55450,Hennepin County,Minnesota,
55454,Hennepin County,Minnesota,
55455,Hennepin County,Minnesota,
55458,Hennepin County,Minnesota,
55459,Hennepin County,Minnesota,
55460,Hennepin County,Minnesota,
55467,Hennepin County,Minnesota,
55468,Hennepin County,Minnesota,
55470,Hennepin County,Minnesota,
55472,Hennepin County,Minnesota,
55473,Hennepin County,Minnesota,
55474,Hennepin County,Minnesota,
55478,Hennepin County,Minnesota,
55479,Hennepin County,Minnesota,
55480,Hennepin County,Minnesota,
55483,Hennepin County,Minnesota,
55484,Hennepin County,Minnesota,
55485,Hennepin County,Minnesota,
55486,Hennepin County,Minnesota,
55487,Hennepin County,Minnesota,
55488,Hennepin County,Minnesota,
55550,Carver County,Minnesota,
55551,Carver County,Minnesota,
55552,Carver County,Minnesota,
55553,Carver County,Minnesota,
55554,Carver County,Minnesota,
55555,Carver County,Minnesota,
55556,Carver County,Minnesota,
55557,Carver County,Minnesota,
55558,Carver County,Minnesota,
55559,Carver County,Minnesota,
55560,Carver County,Minnesota,
55561,Wright County,Minnesota,
55562,Carver County,Minnesota,
55563,Wright County,Minnesota,
55564,Carver County,Minnesota,
55565,Wright County,Minnesota,
55566,Carver County,Minnesota,
55567,Carver County,Minnesota,
55568,Carver County,Minnesota,
55569,Hennepin County,Minnesota,
55570,Hennepin County,Minnesota,
55571,Hennepin County,Minnesota,
55572,Wright County,Minnesota,
55573,Carver County,Minnesota,
55574,Hennepin County,Minnesota,
55575,Wright County,Minnesota,
55576,Hennepin County,Minnesota,
55577,Wright County,Minnesota,
55578,Hennepin County,Minnesota,
55579,Hennepin County,Minnesota,
55580,Wright County,Minnesota,
55581,Wright County,Minnesota,
55582,Wright County,Minnesota,
55583,Carver County,Minnesota,
55584,Wright County,Minnesota,
55585,Wright County,Minnesota,
55586,Wright County,Minnesota,
55587,Wright County,Minnesota,
55588,Wright County,Minnesota,
55589,Wright County,Minnesota,
55590,Wright County,Minnesota,
55591,Wright County,Minnesota,
55592,Hennepin County,Minnesota,
55593,Hennepin County,Minnesota,
55594,Carver County,Minnesota,
55595,Hennepin County,Minnesota,
55596,Hennepin County,Minnesota,
55597,Hennepin County,Minnesota,
55598,Hennepin County,Minnesota,
55599,Hennepin County,Minnesota,
55601,Lake County,Minnesota,
55602,St. Louis County,Minnesota,
55603,Lake County,Minnesota,
55604,Cook County,Minnesota,
55605,Cook County,Minnesota,
55606,Cook County,Minnesota,
55607,Lake County,Minnesota,
55609,Lake County,Minnesota,
55612,Cook County,Minnesota,
55613,Cook County,Minnesota,
55614,Lake County,Minnesota,
55615,Cook County,Minnesota,
55616,Lake County,Minnesota,
55701,St Louis County,Minnesota,
55702,St. Louis County,Minnesota,
55703,St. Louis County,Minnesota,
