Zip Code,County,State,Entitlement
38601,Lafayette County,Mississippi,
38602,Tate County,Mississippi,
38603,Benton County,Mississippi,
38606,Panola County,Mississippi,
38609,Quitman County,Mississippi,
38610,Tippah County,Mississippi,
38611,Marshall County,Mississippi,
38614,Coahoma County,Mississippi,
38617,Coahoma County,Mississippi,
38618,Tate County,Mississippi,
38619,Panola County,Mississippi,
38620,Panola County,Mississippi,
38621,Panola County,Mississippi,
38622,Quitman County,Mississippi,
38623,Quitman County,Mississippi,
38625,Tippah County,Mississippi,
38626,Tunica County,Mississippi,
38627,Union County,Mississippi,
38628,Quitman County,Mississippi,
38629,Tippah County,Mississippi,
38630,Coahoma County,Mississippi,
38631,Coahoma County,Mississippi,
38632,DeSoto County,Mississippi,
38633,Benton County,Mississippi,
38634,Marshall County,Mississippi,
38635,Marshall County,Mississippi,
38637,DeSoto County,Mississippi,
38638,Tate County,Mississippi,
38639,Coahoma County,Mississippi,
38641,DeSoto County,Mississippi,
38642,Benton County,Mississippi,
38643,Quitman County,Mississippi,
38644,Coahoma County,Mississippi,
38645,Coahoma County,Mississippi,
38646,Quitman County,Mississippi,
38647,Benton County,Mississippi,
38649,Marshall County,Mississippi,
38650,Union County,Mississippi,
38651,DeSoto County,Mississippi,
38652,Union County,Mississippi,
38654,DeSoto County,Mississippi,
38655,Lafayette County,Mississippi,
38658,Panola County,Mississippi,
38659,Marshall County,Mississippi,
38661,Marshall County,Mississippi,
38663,Tippah County,Mississippi,
38664,Tunica County,Mississippi,
38665,Tate County,Mississippi,
38666,Panola County,Mississippi,
38668,Tate County,Mississippi,
38669,Coahoma County,Mississippi,
38670,Quitman County,Mississippi,
38671,DeSoto County,Mississippi,
38672,DeSoto County,Mississippi,
38673,Lafayette County,Mississippi,
38674,Tippah County,Mississippi,
38675,Lafayette County,Mississippi,
38676,Tunica County,Mississippi,
38677,Lafayette County,Mississippi,
38679,Marshall County,Mississippi,
38680,DeSoto County,Mississippi,
38683,Tippah County,Mississippi,
38685,Marshall County,Mississippi,
38686,Desoto County,Mississippi,
38701,Washington County,Mississippi,
38702,Bolivar County,Mississippi,
38703,Washington County,Mississippi,
38704,Issaquena County,Mississippi,
38720,Coahoma County,Mississippi,
38721,Sharkey County,Mississippi,
38722,Washington County,Mississippi,
