Zip Code,County,State,Entitlement
63001,St. Louis County,Missouri,
63005,St. Louis County,Missouri,
63006,St. Louis County,Missouri,
63010,Jefferson County,Missouri,
63011,St. Louis County,Missouri,
63012,Jefferson County,Missouri,
63013,Franklin County,Missouri,
63014,Franklin County,Missouri,
63015,Franklin County,Missouri,
63016,Jefferson County,Missouri,
63017,St. Louis County,Missouri,
63019,Jefferson County,Missouri,
63020,Jefferson County,Missouri,
63021,St. Louis County,Missouri,
63022,St. Louis County,Missouri,
63023,Jefferson County,Missouri,
63024,St. Louis County,Missouri,
63025,St. Louis County,Missouri,
63026,St. Louis County,Missouri,
63028,Jefferson County,Missouri,
63030,Washington County,Missouri,
63031,St. Louis County,Missouri,
63032,St. Louis County,Missouri,
63033,St. Louis County,Missouri,
63034,St. Louis County,Missouri,
63036,St. Francois County,Missouri,
63037,Franklin County,Missouri,
63038,St. Louis County,Missouri,
63039,Franklin County,Missouri,
63040,St. Louis County,Missouri,
63041,Franklin County,Missouri,
63042,St. Louis County,Missouri,
63043,St. Louis County,Missouri,
63044,St. Louis County,Missouri,
63045,St. Louis County,Missouri,
63047,Jefferson County,Missouri,
63048,Jefferson County,Missouri,
63049,Jefferson County,Missouri,
63050,Jefferson County,Missouri,
63051,Jefferson County,Missouri,
63052,Jefferson County,Missouri,
63053,Jefferson County,Missouri,
63055,Franklin County,Missouri,
63056,Franklin County,Missouri,
63057,Jefferson County,Missouri,
63060,Franklin County,Missouri,
63061,Franklin County,Missouri,
63065,Jefferson County,Missouri,
63066,Jefferson County,Missouri,
63068,Franklin County,Missouri,
63069,Franklin County,Missouri,
63070,Jefferson County,Missouri,
63071,Washington County,Missouri,
63072,Franklin County,Missouri,
63073,Franklin County,Missouri,
63074,St. Louis County,Missouri,
63077,Franklin County,Missouri,
63079,Franklin County,Missouri,
63080,Franklin County,Missouri,
63084,Franklin County,Missouri,
63087,St. Francois County,Missouri,
63088,St. Louis County,Missouri,
63089,Franklin County,Missouri,
63090,Franklin County,Missouri,
63091,Gasconade County,Missouri,
63099,St. Louis County,Missouri,
63101,St. Louis city,Missouri,
63102,St. Louis city,Missouri,
63103,St. Louis city,Missouri,
63104,St. Louis city,Missouri,
63105,St. Louis County,Missouri,
63106,St. Louis city,Missouri,
63107,St. Louis city,Missouri,
63108,St. Louis city,Missouri,
63109,St. Louis city,Missouri,
63110,St. Louis city,Missouri,
