Zip Code,County,State,Entitlement
59001,Stillwater County,Montana,
59002,Yellowstone County,Montana,
59003,Rosebud County,Montana,
59004,Rosebud County,Montana,
59006,Yellowstone County,Montana,
59007,Carbon County,Montana,
59008,Carbon County,Montana,
59010,Treasure County,Montana,
59011,Sweet Grass County,Montana,
59012,Rosebud County,Montana,
59013,Carbon County,Montana,
59014,Carbon County,Montana,
59015,Yellowstone County,Montana,
59016,Big Horn County,Montana,
59018,Park County,Montana,
59019,Stillwater County,Montana,
59020,Park County,Montana,
59022,Big Horn County,Montana,
59024,Yellowstone County,Montana,
59025,Big Horn County,Montana,
59026,Carbon County,Montana,
59027,Park County,Montana,
59028,Stillwater County,Montana,
59029,Carbon County,Montana,
59030,Park County,Montana,
59031,Big Horn County,Montana,
59032,Fergus County,Montana,
59033,Sweet Grass County,Montana,
59034,Big Horn County,Montana,
59035,Big Horn County,Montana,
59036,Wheatland County,Montana,
59037,Yellowstone County,Montana,
59038,Treasure County,Montana,
59039,Rosebud County,Montana,
59041,Carbon County,Montana,
59043,Rosebud County,Montana,
59044,Yellowstone County,Montana,
59046,Golden Valley County,Montana,
59047,Park County,Montana,
59050,Big Horn County,Montana,
59052,Sweet Grass County,Montana,
59053,Meagher County,Montana,
59054,Musselshell County,Montana,
59055,Sweet Grass County,Montana,
59057,Yellowstone County,Montana,
59058,Garfield County,Montana,
59059,Musselshell County,Montana,
59061,Stillwater County,Montana,
59062,Powder River County,Montana,
59063,Stillwater County,Montana,
59064,Yellowstone County,Montana,
59065,Park County,Montana,
59066,Big Horn County,Montana,
59067,Stillwater County,Montana,
59068,Carbon County,Montana,
59069,Stillwater County,Montana,
59070,Carbon County,Montana,
59071,Carbon County,Montana,
59072,Musselshell County,Montana,
59073,Musselshell County,Montana,
59074,Golden Valley County,Montana,
59075,Big Horn County,Montana,
59076,Treasure County,Montana,
59077,Garfield County,Montana,
59078,Wheatland County,Montana,
59079,Yellowstone County,Montana,
59081,Park County,Montana,
59082,Park County,Montana,
59083,Rosebud County,Montana,
59084,Petroleum County,Montana,
59085,Wheatland County,Montana,
59086,Park County,Montana,
59087,Petroleum County,Montana,
59088,Yellowstone County,Montana,
59089,Big Horn County,Montana,
59101,Yellowstone County,Montana,
59102,Yellowstone County,Montana,
59103,Yellowstone County,Montana,
59104,Yellowstone County,Montana,
59105,Yellowstone County,Montana,
59106,Yellowstone County,Montana,
59107,Yellowstone County,Montana,
59108,Yellowstone County,Montana,
59111,Yellowstone County,Montana,
59112,Yellowstone County,Montana,
59114,Yellowstone County,Montana,
59115,Yellowstone County,Montana,
59116,Yellowstone County,Montana,
59117,Yellowstone County,Montana,
59201,McCone County,Montana,
59211,Sheridan County,Montana,
59212,Roosevelt County,Montana,
59213,Richland County,Montana,
59214,McCone County,Montana,
59215,McCone County,Montana,
59217,Richland County,Montana,
59218,Roosevelt County,Montana,
59219,Sheridan County,Montana,
59221,Richland County,Montana,
59222,Daniels County,Montana,
59223,Valley County,Montana,
59225,Valley County,Montana,
59226,Roosevelt County,Montana,
59230,Valley County,Montana,
59231,Valley County,Montana,
59240,Valley County,Montana,
59241,Valley County,Montana,
59242,Sheridan County,Montana,
59243,Richland County,Montana,
59244,Valley County,Montana,
59247,Sheridan County,Montana,
59248,Valley County,Montana,
59250,Valley County,Montana,
59252,Sheridan County,Montana,
59253,Daniels County,Montana,
59254,Sheridan County,Montana,
59255,Richland County,Montana,
59256,Sheridan County,Montana,
59257,Sheridan County,Montana,
59258,Sheridan County,Montana,
59259,Dawson County,Montana,
59260,Valley County,Montana,
59261,Phillips County,Montana,
59262,Richland County,Montana,
59263,Daniels County,Montana,
59270,Richland County,Montana,
59273,Valley County,Montana,
59274,McCone County,Montana,
59275,Sheridan County,Montana,
59276,Daniels County,Montana,
59301,Custer County,Montana,
59311,Carter County,Montana,
59312,Garfield County,Montana,
59313,Fallon County,Montana,
59314,Powder River County,Montana,
59315,Dawson County,Montana,
59316,Carter County,Montana,
59317,Powder River County,Montana,
59318,Garfield County,Montana,
59319,Carter County,Montana,
59322,Garfield County,Montana,
59323,Rosebud County,Montana,
59324,Carter County,Montana,
59326,Prairie County,Montana,
59327,Rosebud County,Montana,
59330,Dawson County,Montana,
59332,Carter County,Montana,
59333,Rosebud County,Montana,
59336,Custer County,Montana,
59337,Garfield County,Montana,
59338,Custer County,Montana,
59339,Dawson County,Montana,
59341,Prairie County,Montana,
59343,Powder River County,Montana,
59344,Fallon County,Montana,
59345,Powder River County,Montana,
59347,Rosebud County,Montana,
59349,Prairie County,Montana,
59351,Powder River County,Montana,
59353,Wibaux County,Montana,
59354,Fallon County,Montana,
59401,Cascade County,Montana,
59402,Cascade County,Montana,
59403,Cascade County,Montana,
59404,Cascade County,Montana,
59405,Cascade County,Montana,
59406,Cascade County,Montana,
59410,Lewis and Clark County,Montana,
59411,Glacier County,Montana,
59412,Cascade County,Montana,
59414,Cascade County,Montana,
59416,Pondera County,Montana,
59417,Glacier County,Montana,
59418,Judith Basin County,Montana,
59419,Teton County,Montana,
59420,Chouteau County,Montana,
59421,Cascade County,Montana,
59422,Teton County,Montana,
59424,Fergus County,Montana,
59425,Pondera County,Montana,
59427,Glacier County,Montana,
59430,Fergus County,Montana,
59432,Pondera County,Montana,
59433,Teton County,Montana,
59434,Glacier County,Montana,
59435,Toole County,Montana,
59436,Teton County,Montana,
59440,Chouteau County,Montana,
59441,Fergus County,Montana,
59442,Chouteau County,Montana,
59443,Cascade County,Montana,
59444,Liberty County,Montana,
59446,Chouteau County,Montana,
59447,Judith Basin County,Montana,
59448,Pondera County,Montana,
59450,Chouteau County,Montana,
59451,Fergus County,Montana,
59452,Judith Basin County,Montana,
59453,Wheatland County,Montana,
59454,Toole County,Montana,
59456,Toole County,Montana,
59457,Fergus County,Montana,
59460,Chouteau County,Montana,
59461,Liberty County,Montana,
59462,Judith Basin County,Montana,
59463,Cascade County,Montana,
59464,Fergus County,Montana,
59465,Cascade County,Montana,
59466,Toole County,Montana,
59467,Teton County,Montana,
59468,Teton County,Montana,
59469,Judith Basin County,Montana,
59471,Fergus County,Montana,
59472,Cascade County,Montana,
59474,Toole County,Montana,
59477,Cascade County,Montana,
59479,Judith Basin County,Montana,
59480,Cascade County,Montana,
59482,Toole County,Montana,
59483,Cascade County,Montana,
59484,Toole County,Montana,
59485,Cascade County,Montana,
59486,Pondera County,Montana,
59487,Cascade County,Montana,
59489,Fergus County,Montana,
59501,Hill County,Montana,
59520,Chouteau County,Montana,
59521,Hill County,Montana,
59522,Liberty County,Montana,
59523,Blaine County,Montana,
59524,Phillips County,Montana,
59525,Hill County,Montana,
59526,Blaine County,Montana,
59527,Blaine County,Montana,
59528,Hill County,Montana,
59529,Blaine County,Montana,
59530,Hill County,Montana,
59531,Liberty County,Montana,
59532,Hill County,Montana,
59535,Blaine County,Montana,
59537,Phillips County,Montana,
59538,Phillips County,Montana,
59540,Hill County,Montana,
59542,Blaine County,Montana,
59544,Phillips County,Montana,
59545,Liberty County,Montana,
59546,Phillips County,Montana,
59547,Blaine County,Montana,
59601,Lewis and Clark County,Montana,
59602,Lewis and Clark County,Montana,
59604,Lewis and Clark County,Montana,
59620,Lewis and Clark County,Montana,
59623,Lewis and Clark County,Montana,
59624,Lewis and Clark County,Montana,
59625,Lewis and Clark County,Montana,
59626,Lewis and Clark County,Montana,
59631,Jefferson County,Montana,
59632,Jefferson County,Montana,
59633,Lewis and Clark County,Montana,
59634,Jefferson County,Montana,
59635,Lewis and Clark County,Montana,
59636,Lewis and Clark County,Montana,
59638,Jefferson County,Montana,
59639,Lewis and Clark County,Montana,
59640,Lewis and Clark County,Montana,
59641,Broadwater County,Montana,
59642,Meagher County,Montana,
59643,Broadwater County,Montana,
59644,Broadwater County,Montana,
59645,Meagher County,Montana,
59647,Broadwater County,Montana,
59648,Lewis and Clark County,Montana,
59701,Silver Bow County,Montana,
59702,Silver Bow County,Montana,
59703,Silver Bow County,Montana,
59707,Silver Bow County,Montana,
59710,Madison County,Montana,
59711,Deer Lodge County,Montana,
59713,Powell County,Montana,
59714,Gallatin County,Montana,
59715,Gallatin County,Montana,
59716,Gallatin County,Montana,
59717,Gallatin County,Montana,
59718,Gallatin County,Montana,
59719,Gallatin County,Montana,
59720,Madison County,Montana,
59721,Madison County,Montana,
59722,Powell County,Montana,
59724,Beaverhead County,Montana,
59725,Beaverhead County,Montana,
59727,Silver Bow County,Montana,
59728,Powell County,Montana,
59729,Madison County,Montana,
59730,Gallatin County,Montana,
59731,Powell County,Montana,
59732,Beaverhead County,Montana,
59733,Powell County,Montana,
59735,Madison County,Montana,
59736,Beaverhead County,Montana,
59739,Beaverhead County,Montana,
59740,Madison County,Montana,
59741,Gallatin County,Montana,
59743,Silver Bow County,Montana,
59745,Madison County,Montana,
59746,Beaverhead County,Montana,
59747,Madison County,Montana,
59748,Silver Bow County,Montana,
59749,Madison County,Montana,
59750,Silver Bow County,Montana,
59751,Madison County,Montana,
59752,Gallatin County,Montana,
59754,Madison County,Montana,
59755,Madison County,Montana,
59756,Deer Lodge County,Montana,
59758,Gallatin County,Montana,
59759,Jefferson County,Montana,
59760,Gallatin County,Montana,
59761,Beaverhead County,Montana,
59762,Beaverhead County,Montana,
59771,Gallatin County,Montana,
59772,Gallatin County,Montana,
59773,Gallatin County,Montana,
59801,Missoula County,Montana,
59802,Missoula County,Montana,
59803,Missoula County,Montana,
59804,Missoula County,Montana,
59806,Missoula County,Montana,
59807,Missoula County,Montana,
59808,Missoula County,Montana,
59812,Missoula County,Montana,
59820,Mineral County,Montana,
59821,Lake County,Montana,
59823,Missoula County,Montana,
59824,Lake County,Montana,
59825,Missoula County,Montana,
59826,Missoula County,Montana,
59827,Ravalli County,Montana,
59828,Ravalli County,Montana,
59829,Ravalli County,Montana,
59830,Mineral County,Montana,
59831,Sanders County,Montana,
59832,Granite County,Montana,
59833,Ravalli County,Montana,
59834,Missoula County,Montana,
59835,Ravalli County,Montana,
59837,Granite County,Montana,
59840,Ravalli County,Montana,
59841,Ravalli County,Montana,
59842,Mineral County,Montana,
59843,Powell County,Montana,
59844,Sanders County,Montana,
59845,Flathead County,Montana,
59846,Missoula County,Montana,
59847,Missoula County,Montana,
59848,Sanders County,Montana,
59851,Missoula County,Montana,
59853,Sanders County,Montana,
59854,Powell County,Montana,
59855,Lake County,Montana,
59856,Sanders County,Montana,
59858,Granite County,Montana,
59859,Sanders County,Montana,
59860,Lake County,Montana,
59863,Lake County,Montana,
59864,Lake County,Montana,
59865,Lake County,Montana,
59866,Mineral County,Montana,
59867,Mineral County,Montana,
59868,Missoula County,Montana,
59870,Ravalli County,Montana,
59871,Ravalli County,Montana,
59872,Mineral County,Montana,
59873,Sanders County,Montana,
59874,Sanders County,Montana,
59875,Ravalli County,Montana,
59901,Flathead County,Montana,
59903,Flathead County,Montana,
59904,Flathead County,Montana,
59910,Lake County,Montana,
59911,Flathead County,Montana,
59912,Flathead County,Montana,
59913,Flathead County,Montana,
59914,Lake County,Montana,
59915,Lake County,Montana,
59916,Flathead County,Montana,
59917,Lincoln County,Montana,
59918,Lincoln County,Montana,
59919,Flathead County,Montana,
59920,Flathead County,Montana,
59921,Flathead County,Montana,
59922,Flathead County,Montana,
59923,Lincoln County,Montana,
59925,Flathead County,Montana,
59926,Flathead County,Montana,
59927,Flathead County,Montana,
59928,Flathead County,Montana,
59929,Lake County,Montana,
59930,Lincoln County,Montana,
59931,Lake County,Montana,
59932,Flathead County,Montana,
59933,Lincoln County,Montana,
59934,Lincoln County,Montana,
59935,Lincoln County,Montana,
59936,Flathead County,Montana,
59937,Flathead County,Montana,
