Zip Code,County,State,Entitlement
68001,Butler County,Nebraska,
68002,Washington County,Nebraska,
68003,Saunders County,Nebraska,
68004,Cuming County,Nebraska,
68005,Sarpy County,Nebraska,
68007,Douglas County,Nebraska,
68008,Washington County,Nebraska,
68009,Washington County,Nebraska,
68010,Douglas County,Nebraska,
68014,Butler County,Nebraska,
68015,Saunders County,Nebraska,
68016,Cass County,Nebraska,
68017,Saunders County,Nebraska,
68018,Saunders County,Nebraska,
68019,Burt County,Nebraska,
68020,Burt County,Nebraska,
68022,Douglas County,Nebraska,
68023,Washington County,Nebraska,
68025,Dodge County,Nebraska,
68026,Dodge County,Nebraska,
68028,Sarpy County,Nebraska,
68029,Washington County,Nebraska,
68030,Dakota County,Nebraska,
68031,Dodge County,Nebraska,
68033,Saunders County,Nebraska,
68034,Washington County,Nebraska,
68036,Butler County,Nebraska,
68037,Cass County,Nebraska,
68038,Burt County,Nebraska,
68039,Thurston County,Nebraska,
68040,Saunders County,Nebraska,
68041,Saunders County,Nebraska,
68042,Saunders County,Nebraska,
68044,Dodge County,Nebraska,
68045,Burt County,Nebraska,
68046,Sarpy County,Nebraska,
68047,Wayne County,Nebraska,
68048,Cass County,Nebraska,
68050,Saunders County,Nebraska,
68055,Thurston County,Nebraska,
68056,Sarpy County,Nebraska,
68057,Dodge County,Nebraska,
68058,Cass County,Nebraska,
68059,Sarpy County,Nebraska,
68061,Burt County,Nebraska,
68062,Thurston County,Nebraska,
68063,Dodge County,Nebraska,
68064,Douglas County,Nebraska,
68065,Saunders County,Nebraska,
68066,Saunders County,Nebraska,
68067,Thurston County,Nebraska,
68068,Washington County,Nebraska,
68069,Douglas County,Nebraska,
68070,Saunders County,Nebraska,
68071,Thurston County,Nebraska,
68072,Dodge County,Nebraska,
68073,Saunders County,Nebraska,
68101,Douglas County,Nebraska,
68102,Douglas County,Nebraska,
68103,Douglas County,Nebraska,
68104,Douglas County,Nebraska,
68105,Douglas County,Nebraska,
68106,Douglas County,Nebraska,
68107,Douglas County,Nebraska,
68108,Douglas County,Nebraska,
68109,Douglas County,Nebraska,
68110,Douglas County,Nebraska,
68111,Douglas County,Nebraska,
68112,Douglas County,Nebraska,
68113,Sarpy County,Nebraska,
68114,Douglas County,Nebraska,
68116,Douglas County,Nebraska,
68117,Douglas County,Nebraska,
68118,Douglas County,Nebraska,
68119,Douglas County,Nebraska,
68120,Douglas County,Nebraska,
68122,Douglas County,Nebraska,
68123,Sarpy County,Nebraska,
68124,Douglas County,Nebraska,
68127,Douglas County,Nebraska,
68128,Sarpy County,Nebraska,
68130,Douglas County,Nebraska,
68131,Douglas County,Nebraska,
68132,Douglas County,Nebraska,
68133,Sarpy County,Nebraska,
68134,Douglas County,Nebraska,
68135,Douglas County,Nebraska,
68136,Sarpy County,Nebraska,
68137,Douglas County,Nebraska,
68138,Sarpy County,Nebraska,
68139,Douglas County,Nebraska,
68142,Douglas County,Nebraska,
68144,Douglas County,Nebraska,
68145,Douglas County,Nebraska,
68147,Sarpy County,Nebraska,
68152,Douglas County,Nebraska,
68154,Douglas County,Nebraska,
68155,Douglas County,Nebraska,
68157,Sarpy County,Nebraska,
68164,Douglas County,Nebraska,
68172,Douglas County,Nebraska,
68175,Douglas County,Nebraska,
68176,Douglas County,Nebraska,
68178,Douglas County,Nebraska,
68179,Douglas County,Nebraska,
68180,Douglas County,Nebraska,
68181,Douglas County,Nebraska,
68182,Douglas County,Nebraska,
68183,Douglas County,Nebraska,
68197,Douglas County,Nebraska,
68198,Douglas County,Nebraska,
68301,Gage County,Nebraska,
68303,Thayer County,Nebraska,
68304,Cass County,Nebraska,
68305,Nemaha County,Nebraska,
68307,Cass County,Nebraska,
68309,Gage County,Nebraska,
68310,Gage County,Nebraska,
68313,Seward County,Nebraska,
68314,Seward County,Nebraska,
68315,Thayer County,Nebraska,
68316,York County,Nebraska,
68317,Lancaster County,Nebraska,
68318,Gage County,Nebraska,
68319,York County,Nebraska,
68320,Nemaha County,Nebraska,
68321,Nemaha County,Nebraska,
68322,Thayer County,Nebraska,
68323,Pawnee County,Nebraska,
68324,Otoe County,Nebraska,
68325,Thayer County,Nebraska,
68326,Thayer County,Nebraska,
68327,Thayer County,Nebraska,
68328,Gage County,Nebraska,
68329,Johnson County,Nebraska,
68330,Seward County,Nebraska,
68331,Gage County,Nebraska,
68332,Johnson County,Nebraska,
68333,Saline County,Nebraska,
68335,Thayer County,Nebraska,
68336,Lancaster County,Nebraska,
68337,Richardson County,Nebraska,
68338,Jefferson County,Nebraska,
68339,Lancaster County,Nebraska,
68340,Thayer County,Nebraska,
68341,Saline County,Nebraska,
68342,Jefferson County,Nebraska,
68343,Saline County,Nebraska,
68344,Otoe County,Nebraska,
68345,Pawnee County,Nebraska,
68346,Otoe County,Nebraska,
68347,Cass County,Nebraska,
68348,Johnson County,Nebraska,
68349,Cass County,Nebraska,
68350,Jefferson County,Nebraska,
68351,Fillmore County,Nebraska,
68352,Jefferson County,Nebraska,
68354,Fillmore County,Nebraska,
68355,Richardson County,Nebraska,
68357,Gage County,Nebraska,
68358,Lancaster County,Nebraska,
68359,Saline County,Nebraska,
68360,Seward County,Nebraska,
68361,Fillmore County,Nebraska,
68362,Thayer County,Nebraska,
68364,Seward County,Nebraska,
68365,Fillmore County,Nebraska,
68366,Cass County,Nebraska,
68367,York County,Nebraska,
68368,Lancaster County,Nebraska,
68370,Thayer County,Nebraska,
68371,York County,Nebraska,
68372,Lancaster County,Nebraska,
68375,Thayer County,Nebraska,
68376,Richardson County,Nebraska,
68377,Jefferson County,Nebraska,
68378,Nemaha County,Nebraska,
68379,Nemaha County,Nebraska,
68380,Pawnee County,Nebraska,
68381,Gage County,Nebraska,
68382,Otoe County,Nebraska,
68401,York County,Nebraska,
68402,Lancaster County,Nebraska,
68403,Cass County,Nebraska,
68404,Lancaster County,Nebraska,
68405,Seward County,Nebraska,
68406,Fillmore County,Nebraska,
68407,Cass County,Nebraska,
68409,Cass County,Nebraska,
68410,Otoe County,Nebraska,
68413,Cass County,Nebraska,
68414,Nemaha County,Nebraska,
68415,Gage County,Nebraska,
68416,Fillmore County,Nebraska,
68417,Otoe County,Nebraska,
68418,Otoe County,Nebraska,
68419,Lancaster County,Nebraska,
68420,Pawnee County,Nebraska,
68421,Nemaha County,Nebraska,
68422,Gage County,Nebraska,
68423,Seward County,Nebraska,
68424,Jefferson County,Nebraska,
68428,Lancaster County,Nebraska,
68429,Jefferson County,Nebraska,
68430,Lancaster County,Nebraska,
68431,Richardson County,Nebraska,
68433,Richardson County,Nebraska,
68434,Seward County,Nebraska,
68436,Fillmore County,Nebraska,
68437,Richardson County,Nebraska,
68438,Lancaster County,Nebraska,
68439,Seward County,Nebraska,
68440,Jefferson County,Nebraska,
68441,Pawnee County,Nebraska,
68442,Richardson County,Nebraska,
68443,Johnson County,Nebraska,
68444,Fillmore County,Nebraska,
68445,Saline County,Nebraska,
68446,Otoe County,Nebraska,
68447,Pawnee County,Nebraska,
