Zip Code,County,State,Entitlement
88901,Clark County,Nevada,
88905,Clark County,Nevada,
89001,Lincoln County,Nevada,
89002,Clark County,Nevada,
89003,Nye County,Nevada,
89004,Clark County,Nevada,
89005,Clark County,Nevada,
89006,Clark County,Nevada,
89007,Clark County,Nevada,
89008,Lincoln County,Nevada,
89009,Clark County,Nevada,
89010,Esmeralda County,Nevada,
89011,Clark County,Nevada,
89012,Clark County,Nevada,
89013,Esmeralda County,Nevada,
89014,Clark County,Nevada,
89015,Clark County,Nevada,
89016,Clark County,Nevada,
89017,Lincoln County,Nevada,
89018,Clark County,Nevada,
89019,Clark County,Nevada,
89020,Nye County,Nevada,
89021,Clark County,Nevada,
89022,Nye County,Nevada,
89023,Nye County,Nevada,
89024,Clark County,Nevada,
89025,Clark County,Nevada,
89026,Clark County,Nevada,
89027,Clark County,Nevada,
89028,Clark County,Nevada,
89029,Clark County,Nevada,
89030,Clark County,Nevada,
89031,Clark County,Nevada,
89032,Clark County,Nevada,
89033,Clark County,Nevada,
89034,Clark County,Nevada,
89036,Clark County,Nevada,
89037,Clark County,Nevada,
89039,Clark County,Nevada,
89040,Clark County,Nevada,
89041,Nye County,Nevada,
89042,Lincoln County,Nevada,
89043,Lincoln County,Nevada,
89044,Clark County,Nevada,
89045,Nye County,Nevada,
89046,Clark County,Nevada,
89047,Esmeralda County,Nevada,
89048,Nye County,Nevada,
89049,Nye County,Nevada,
89052,Clark County,Nevada,
89053,Clark County,Nevada,
89054,Clark County,Nevada,
89060,Nye County,Nevada,
89061,Nye County,Nevada,
89067,Lincoln County,Nevada,
89070,Clark County,Nevada,
89074,Clark County,Nevada,
89077,Clark County,Nevada,
89081,Clark County,Nevada,
89084,Clark County,Nevada,
89085,Clark County,Nevada,
89086,Clark County,Nevada,
89087,Clark County,Nevada,
89101,Clark County,Nevada,
89102,Clark County,Nevada,
89103,Clark County,Nevada,
89104,Clark County,Nevada,
89105,Clark County,Nevada,
89106,Clark County,Nevada,
89107,Clark County,Nevada,
89108,Clark County,Nevada,
89109,Clark County,Nevada,
89110,Clark County,Nevada,
89111,Clark County,Nevada,
89112,Clark County,Nevada,
89113,Clark County,Nevada,
89114,Clark County,Nevada,
89115,Clark County,Nevada,
89116,Clark County,Nevada,
89117,Clark County,Nevada,
89118,Clark County,Nevada,
89119,Clark County,Nevada,
89120,Clark County,Nevada,
89121,Clark County,Nevada,
89122,Clark County,Nevada,
89123,Clark County,Nevada,
89124,Clark County,Nevada,
89125,Clark County,Nevada,
89126,Clark County,Nevada,
89127,Clark County,Nevada,
89128,Clark County,Nevada,
89129,Clark County,Nevada,
89130,Clark County,Nevada,
89131,Clark County,Nevada,
89132,Clark County,Nevada,
89133,Clark County,Nevada,
89134,Clark County,Nevada,
89135,Clark County,Nevada,
89136,Clark County,Nevada,
89137,Clark County,Nevada,
89138,Clark County,Nevada,
89139,Clark County,Nevada,
89140,Clark County,Nevada,
89141,Clark County,Nevada,
89142,Clark County,Nevada,
89143,Clark County,Nevada,
89144,Clark County,Nevada,
89145,Clark County,Nevada,
89146,Clark County,Nevada,
89147,Clark County,Nevada,
89148,Clark County,Nevada,
89149,Clark County,Nevada,
89150,Clark County,Nevada,
89151,Clark County,Nevada,
89152,Clark County,Nevada,
89153,Clark County,Nevada,
89154,Clark County,Nevada,
89155,Clark County,Nevada,
89156,Clark County,Nevada,
89157,Clark County,Nevada,
89158,Clark County,Nevada,
89159,Clark County,Nevada,
89160,Clark County,Nevada,
89161,Clark County,Nevada,
89162,Clark County,Nevada,
89163,Clark County,Nevada,
89164,Clark County,Nevada,
89165,Clark County,Nevada,
89166,Clark County,Nevada,
89169,Clark County,Nevada,
89170,Clark County,Nevada,
89173,Clark County,Nevada,
89177,Clark County,Nevada,
89178,Clark County,Nevada,
89179,Clark County,Nevada,
89180,Clark County,Nevada,
89183,Clark County,Nevada,
89185,Clark County,Nevada,
89191,Clark County,Nevada,
89193,Clark County,Nevada,
89195,Clark County,Nevada,
89199,Clark County,Nevada,
89301,White Pine County,Nevada,
89310,Lander County,Nevada,
89311,White Pine County,Nevada,
89314,Nye County,Nevada,
89315,White Pine County,Nevada,
89316,Eureka County,Nevada,
89317,White Pine County,Nevada,
89318,White Pine County,Nevada,
89319,White Pine County,Nevada,
89402,Washoe County,Nevada,
89403,Lyon County,Nevada,
89404,Humboldt County,Nevada,
89405,Washoe County,Nevada,
89406,Churchill County,Nevada,
89407,Churchill County,Nevada,
89408,Lyon County,Nevada,
89409,Nye County,Nevada,
89410,Douglas County,Nevada,
89411,Douglas County,Nevada,
89412,Washoe County,Nevada,
89413,Douglas County,Nevada,
89414,Humboldt County,Nevada,
89415,Mineral County,Nevada,
89418,Pershing County,Nevada,
89419,Pershing County,Nevada,
89420,Mineral County,Nevada,
89421,Humboldt County,Nevada,
89422,Mineral County,Nevada,
