Zip Code,County,State,Entitlement
03031,Hillsborough County,New Hampshire,
03032,Rockingham County,New Hampshire,
03033,Hillsborough County,New Hampshire,
03034,Rockingham County,New Hampshire,
03036,Rockingham County,New Hampshire,
03037,Rockingham County,New Hampshire,
03038,Rockingham County,New Hampshire,
03040,Rockingham County,New Hampshire,
03041,Rockingham County,New Hampshire,
03042,Rockingham County,New Hampshire,
03043,Hillsborough County,New Hampshire,
03044,Rockingham County,New Hampshire,
03045,Hillsborough County,New Hampshire,
03046,Merrimack County,New Hampshire,
03047,Hillsborough County,New Hampshire,
03048,Hillsborough County,New Hampshire,
03049,Hillsborough County,New Hampshire,
03051,Hillsborough County,New Hampshire,
03052,Hillsborough County,New Hampshire,
03053,Rockingham County,New Hampshire,
03054,Hillsborough County,New Hampshire,
03055,Hillsborough County,New Hampshire,
03057,Hillsborough County,New Hampshire,
03060,Hillsborough County,New Hampshire,
03061,Hillsborough County,New Hampshire,
03062,Hillsborough County,New Hampshire,
03063,Hillsborough County,New Hampshire,
03064,Hillsborough County,New Hampshire,
03070,Hillsborough County,New Hampshire,
03071,Hillsborough County,New Hampshire,
03073,Rockingham County,New Hampshire,
03076,Hillsborough County,New Hampshire,
03077,Rockingham County,New Hampshire,
03079,Rockingham County,New Hampshire,
03082,Hillsborough County,New Hampshire,
03084,Hillsborough County,New Hampshire,
03086,Hillsborough County,New Hampshire,
03087,Rockingham County,New Hampshire,
03101,Hillsborough County,New Hampshire,
03102,Hillsborough County,New Hampshire,
03103,Hillsborough County,New Hampshire,
03104,Hillsborough County,New Hampshire,
03105,Hillsborough County,New Hampshire,
03106,Merrimack County,New Hampshire,
03107,Hillsborough County,New Hampshire,
03108,Hillsborough County,New Hampshire,
03109,Hillsborough County,New Hampshire,
03110,Hillsborough County,New Hampshire,
03111,Hillsborough County,New Hampshire,
03215,Grafton County,New Hampshire,
03216,Merrimack County,New Hampshire,
03217,Grafton County,New Hampshire,
03218,Belknap County,New Hampshire,
03220,Belknap County,New Hampshire,
03221,Merrimack County,New Hampshire,
03222,Grafton County,New Hampshire,
03223,Grafton County,New Hampshire,
03224,Merrimack County,New Hampshire,
03225,Belknap County,New Hampshire,
03226,Belknap County,New Hampshire,
03227,Carroll County,New Hampshire,
03229,Merrimack County,New Hampshire,
03230,Merrimack County,New Hampshire,
03231,Merrimack County,New Hampshire,
03233,Merrimack County,New Hampshire,
03234,Merrimack County,New Hampshire,
03235,Merrimack County,New Hampshire,
03237,Belknap County,New Hampshire,
03238,Grafton County,New Hampshire,
03240,Grafton County,New Hampshire,
03241,Grafton County,New Hampshire,
03242,Merrimack County,New Hampshire,
03243,Merrimack County,New Hampshire,
03244,Hillsborough County,New Hampshire,
03245,Grafton County,New Hampshire,
03246,Belknap County,New Hampshire,
03247,Belknap County,New Hampshire,
03249,Belknap County,New Hampshire,
03251,Grafton County,New Hampshire,
03252,Belknap County,New Hampshire,
03253,Belknap County,New Hampshire,
03254,Carroll County,New Hampshire,
03255,Merrimack County,New Hampshire,
03256,Belknap County,New Hampshire,
03257,Merrimack County,New Hampshire,
03258,Merrimack County,New Hampshire,
03259,Carroll County,New Hampshire,
03260,Merrimack County,New Hampshire,
03261,Rockingham County,New Hampshire,
03262,Grafton County,New Hampshire,
03263,Merrimack County,New Hampshire,
03264,Grafton County,New Hampshire,
03266,Grafton County,New Hampshire,
03268,Merrimack County,New Hampshire,
03269,Belknap County,New Hampshire,
03272,Merrimack County,New Hampshire,
03273,Merrimack County,New Hampshire,
03274,Grafton County,New Hampshire,
03275,Merrimack County,New Hampshire,
03276,Merrimack County,New Hampshire,
03278,Merrimack County,New Hampshire,
03279,Grafton County,New Hampshire,
03280,Sullivan County,New Hampshire,
03281,Hillsborough County,New Hampshire,
03282,Grafton County,New Hampshire,
03284,Sullivan County,New Hampshire,
03285,Grafton County,New Hampshire,
03287,Merrimack County,New Hampshire,
03289,Belknap County,New Hampshire,
03290,Rockingham County,New Hampshire,
03291,Rockingham County,New Hampshire,
03293,Grafton County,New Hampshire,
03298,Belknap County,New Hampshire,
03299,Belknap County,New Hampshire,
03301,Merrimack County,New Hampshire,
03302,Merrimack County,New Hampshire,
03303,Merrimack County,New Hampshire,
03304,Merrimack County,New Hampshire,
03305,Merrimack County,New Hampshire,
03307,Merrimack County,New Hampshire,
03431,Cheshire County,New Hampshire,
03435,Cheshire County,New Hampshire,
03440,Hillsborough County,New Hampshire,
03441,Cheshire County,New Hampshire,
03442,Hillsborough County,New Hampshire,
03443,Cheshire County,New Hampshire,
03444,Cheshire County,New Hampshire,
03445,Cheshire County,New Hampshire,
03446,Cheshire County,New Hampshire,
03447,Cheshire County,New Hampshire,
03448,Cheshire County,New Hampshire,
03449,Hillsborough County,New Hampshire,
03450,Cheshire County,New Hampshire,
03451,Cheshire County,New Hampshire,
03452,Cheshire County,New Hampshire,
03455,Cheshire County,New Hampshire,
03456,Cheshire County,New Hampshire,
03457,Cheshire County,New Hampshire,
03458,Hillsborough County,New Hampshire,
03461,Cheshire County,New Hampshire,
03462,Cheshire County,New Hampshire,
03464,Cheshire County,New Hampshire,
03465,Cheshire County,New Hampshire,
03466,Cheshire County,New Hampshire,
03467,Cheshire County,New Hampshire,
03468,Hillsborough County,New Hampshire,
03469,Cheshire County,New Hampshire,
03470,Cheshire County,New Hampshire,
03561,Grafton County,New Hampshire,
03570,Coos County,New Hampshire,
03574,Grafton County,New Hampshire,
03575,Coos County,New Hampshire,
03576,Coos County,New Hampshire,
03579,Coos County,New Hampshire,
03580,Grafton County,New Hampshire,
03581,Coos County,New Hampshire,
03582,Coos County,New Hampshire,
03583,Coos County,New Hampshire,
03584,Coos County,New Hampshire,
03585,Grafton County,New Hampshire,
03586,Grafton County,New Hampshire,
03588,Coos County,New Hampshire,
03589,Coös County,New Hampshire,
03590,Coos County,New Hampshire,
03592,Coos County,New Hampshire,
03593,Coos County,New Hampshire,
03595,Coos County,New Hampshire,
03597,Coos County,New Hampshire,
03598,Coos County,New Hampshire,
03601,Sullivan County,New Hampshire,
03602,Cheshire County,New Hampshire,
03603,Sullivan County,New Hampshire,
03604,Cheshire County,New Hampshire,
03605,Sullivan County,New Hampshire,
03607,Sullivan County,New Hampshire,
03608,Cheshire County,New Hampshire,
03609,Cheshire County,New Hampshire,
03740,Grafton County,New Hampshire,
03741,Grafton County,New Hampshire,
03743,Sullivan County,New Hampshire,
03745,Sullivan County,New Hampshire,
03746,Sullivan County,New Hampshire,
03748,Grafton County,New Hampshire,
03749,Grafton County,New Hampshire,
03750,Grafton County,New Hampshire,
03751,Sullivan County,New Hampshire,
03752,Sullivan County,New Hampshire,
03753,Sullivan County,New Hampshire,
03754,Sullivan County,New Hampshire,
03755,Grafton County,New Hampshire,
03756,Grafton County,New Hampshire,
03765,Grafton County,New Hampshire,
03766,Grafton County,New Hampshire,
03768,Grafton County,New Hampshire,
03769,Grafton County,New Hampshire,
03770,Sullivan County,New Hampshire,
03771,Grafton County,New Hampshire,
03773,Sullivan County,New Hampshire,
03774,Grafton County,New Hampshire,
03777,Grafton County,New Hampshire,
03779,Grafton County,New Hampshire,
03780,Grafton County,New Hampshire,
03781,Sullivan County,New Hampshire,
03782,Sullivan County,New Hampshire,
03784,Grafton County,New Hampshire,
03785,Grafton County,New Hampshire,
03801,Rockingham County,New Hampshire,
03802,Rockingham County,New Hampshire,
03803,Rockingham County,New Hampshire,
03804,Rockingham County,New Hampshire,
03805,Rockingham County,New Hampshire,
03809,Belknap County,New Hampshire,
03810,Belknap County,New Hampshire,
03811,Rockingham County,New Hampshire,
03812,Carroll County,New Hampshire,
03813,Carroll County,New Hampshire,
03814,Carroll County,New Hampshire,
03815,Strafford County,New Hampshire,
03816,Carroll County,New Hampshire,
03817,Carroll County,New Hampshire,
03818,Carroll County,New Hampshire,
03819,Rockingham County,New Hampshire,
03820,Strafford County,New Hampshire,
03821,Strafford County,New Hampshire,
03822,Strafford County,New Hampshire,
03823,Strafford County,New Hampshire,
03824,Strafford County,New Hampshire,
03825,Strafford County,New Hampshire,
03826,Rockingham County,New Hampshire,
03827,Rockingham County,New Hampshire,
03830,Carroll County,New Hampshire,
03832,Carroll County,New Hampshire,
03833,Rockingham County,New Hampshire,
03835,Strafford County,New Hampshire,
03836,Carroll County,New Hampshire,
03837,Belknap County,New Hampshire,
03838,Carroll County,New Hampshire,
03839,Strafford County,New Hampshire,
03840,Rockingham County,New Hampshire,
03841,Rockingham County,New Hampshire,
03842,Rockingham County,New Hampshire,
03843,Rockingham County,New Hampshire,
03844,Rockingham County,New Hampshire,
03845,Carroll County,New Hampshire,
03846,Carroll County,New Hampshire,
03847,Carroll County,New Hampshire,
03848,Rockingham County,New Hampshire,
03849,Carroll County,New Hampshire,
03850,Carroll County,New Hampshire,
