Zip Code,County,State,Entitlement
07001,Middlesex County,New Jersey,
07002,Hudson County,New Jersey,
07003,Essex County,New Jersey,
07004,Essex County,New Jersey,
07005,Morris County,New Jersey,
07006,Essex County,New Jersey,
07007,Essex County,New Jersey,
07008,Middlesex County,New Jersey,
07009,Essex County,New Jersey,
07010,Bergen County,New Jersey,
07011,Passaic County,New Jersey,
07012,Passaic County,New Jersey,
07013,Passaic County,New Jersey,
07014,Passaic County,New Jersey,
07015,Passaic County,New Jersey,
07016,Union County,New Jersey,
07017,Essex County,New Jersey,
07018,Essex County,New Jersey,
07019,Essex County,New Jersey,
07020,Bergen County,New Jersey,
07021,Essex County,New Jersey,
07022,Bergen County,New Jersey,
07023,Union County,New Jersey,
07024,Bergen County,New Jersey,
07026,Bergen County,New Jersey,
07027,Union County,New Jersey,
07028,Essex County,New Jersey,
07029,Hudson County,New Jersey,
07030,Hudson County,New Jersey,
07031,Bergen County,New Jersey,
07032,Hudson County,New Jersey,
07033,Union County,New Jersey,
07034,Morris County,New Jersey,
07035,Morris County,New Jersey,
07036,Union County,New Jersey,
07039,Essex County,New Jersey,
07040,Essex County,New Jersey,
07041,Essex County,New Jersey,
07042,Essex County,New Jersey,
07043,Essex County,New Jersey,
07044,Essex County,New Jersey,
07045,Morris County,New Jersey,
07046,Morris County,New Jersey,
07047,Hudson County,New Jersey,
07050,Essex County,New Jersey,
07051,Essex County,New Jersey,
07052,Essex County,New Jersey,
07054,Morris County,New Jersey,
07055,Passaic County,New Jersey,
07057,Bergen County,New Jersey,
07058,Morris County,New Jersey,
07059,Somerset County,New Jersey,
07060,Union County,New Jersey,
07061,Union County,New Jersey,
07062,Union County,New Jersey,
07063,Union County,New Jersey,
07064,Middlesex County,New Jersey,
07065,Union County,New Jersey,
07066,Union County,New Jersey,
07067,Middlesex County,New Jersey,
07068,Essex County,New Jersey,
07069,Somerset County,New Jersey,
07070,Bergen County,New Jersey,
07071,Bergen County,New Jersey,
07072,Bergen County,New Jersey,
07073,Bergen County,New Jersey,
07074,Bergen County,New Jersey,
07075,Bergen County,New Jersey,
07076,Union County,New Jersey,
07077,Middlesex County,New Jersey,
07078,Essex County,New Jersey,
07079,Essex County,New Jersey,
07080,Middlesex County,New Jersey,
07081,Union County,New Jersey,
07082,Morris County,New Jersey,
07083,Union County,New Jersey,
07086,Hudson County,New Jersey,
07087,Hudson County,New Jersey,
07088,Union County,New Jersey,
07090,Union County,New Jersey,
07091,Union County,New Jersey,
07092,Union County,New Jersey,
07093,Hudson County,New Jersey,
07094,Hudson County,New Jersey,
07095,Middlesex County,New Jersey,
07096,Hudson County,New Jersey,
07097,Hudson County,New Jersey,
07099,Hudson County,New Jersey,
07101,Essex County,New Jersey,
07102,Essex County,New Jersey,
07103,Essex County,New Jersey,
07104,Essex County,New Jersey,
07105,Essex County,New Jersey,
07106,Essex County,New Jersey,
07107,Essex County,New Jersey,
07108,Essex County,New Jersey,
07109,Essex County,New Jersey,
07110,Essex County,New Jersey,
07111,Essex County,New Jersey,
07112,Essex County,New Jersey,
07114,Essex County,New Jersey,
07175,Essex County,New Jersey,
07182,Essex County,New Jersey,
07184,Essex County,New Jersey,
07188,Essex County,New Jersey,
07189,Essex County,New Jersey,
07191,Essex County,New Jersey,
07192,Essex County,New Jersey,
07193,Essex County,New Jersey,
07194,Essex County,New Jersey,
07195,Essex County,New Jersey,
07198,Essex County,New Jersey,
07199,Essex County,New Jersey,
07201,Union County,New Jersey,
07202,Union County,New Jersey,
07203,Union County,New Jersey,
07204,Union County,New Jersey,
07205,Union County,New Jersey,
07206,Union County,New Jersey,
07207,Union County,New Jersey,
07208,Union County,New Jersey,
07302,Hudson County,New Jersey,
07303,Hudson County,New Jersey,
07304,Hudson County,New Jersey,
07305,Hudson County,New Jersey,
07306,Hudson County,New Jersey,
07307,Hudson County,New Jersey,
07308,Hudson County,New Jersey,
07309,Hudson County,New Jersey,
07310,Hudson County,New Jersey,
07311,Hudson County,New Jersey,
07395,Hudson County,New Jersey,
07399,Hudson County,New Jersey,
07401,Bergen County,New Jersey,
07403,Passaic County,New Jersey,
07405,Morris County,New Jersey,
07407,Bergen County,New Jersey,
07410,Bergen County,New Jersey,
07416,Sussex County,New Jersey,
07417,Bergen County,New Jersey,
07418,Sussex County,New Jersey,
07419,Sussex County,New Jersey,
07420,Passaic County,New Jersey,
07421,Passaic County,New Jersey,
07422,Sussex County,New Jersey,
07423,Bergen County,New Jersey,
07424,Passaic County,New Jersey,
07428,Sussex County,New Jersey,
07430,Bergen County,New Jersey,
07432,Bergen County,New Jersey,
07435,Passaic County,New Jersey,
07436,Bergen County,New Jersey,
07438,Morris County,New Jersey,
07439,Sussex County,New Jersey,
07440,Morris County,New Jersey,
07442,Passaic County,New Jersey,
07444,Morris County,New Jersey,
07446,Bergen County,New Jersey,
07450,Bergen County,New Jersey,
07451,Bergen County,New Jersey,
07452,Bergen County,New Jersey,
07456,Passaic County,New Jersey,
07457,Morris County,New Jersey,
07458,Bergen County,New Jersey,
07460,Sussex County,New Jersey,
07461,Sussex County,New Jersey,
07462,Sussex County,New Jersey,
07463,Bergen County,New Jersey,
07465,Passaic County,New Jersey,
07470,Passaic County,New Jersey,
07474,Passaic County,New Jersey,
07477,Passaic County,New Jersey,
07480,Passaic County,New Jersey,
07481,Bergen County,New Jersey,
07495,Bergen County,New Jersey,
07501,Passaic County,New Jersey,
07502,Passaic County,New Jersey,
07503,Passaic County,New Jersey,
07504,Passaic County,New Jersey,
07505,Passaic County,New Jersey,
07506,Passaic County,New Jersey,
07507,Passaic County,New Jersey,
07508,Passaic County,New Jersey,
07509,Passaic County,New Jersey,
07510,Passaic County,New Jersey,
07511,Passaic County,New Jersey,
07512,Passaic County,New Jersey,
07513,Passaic County,New Jersey,
07514,Passaic County,New Jersey,
07522,Passaic County,New Jersey,
07524,Passaic County,New Jersey,
07533,Passaic County,New Jersey,
07538,Passaic County,New Jersey,
07543,Passaic County,New Jersey,
07544,Passaic County,New Jersey,
07601,Bergen County,New Jersey,
07602,Bergen County,New Jersey,
07603,Bergen County,New Jersey,
07604,Bergen County,New Jersey,
07605,Bergen County,New Jersey,
07606,Bergen County,New Jersey,
07607,Bergen County,New Jersey,
07608,Bergen County,New Jersey,
07620,Bergen County,New Jersey,
07621,Bergen County,New Jersey,
07624,Bergen County,New Jersey,
07626,Bergen County,New Jersey,
07627,Bergen County,New Jersey,
07628,Bergen County,New Jersey,
07630,Bergen County,New Jersey,
07631,Bergen County,New Jersey,
07632,Bergen County,New Jersey,
07640,Bergen County,New Jersey,
07641,Bergen County,New Jersey,
07642,Bergen County,New Jersey,
07643,Bergen County,New Jersey,
07644,Bergen County,New Jersey,
07645,Bergen County,New Jersey,
07646,Bergen County,New Jersey,
07647,Bergen County,New Jersey,
07648,Bergen County,New Jersey,
07649,Bergen County,New Jersey,
07650,Bergen County,New Jersey,
07652,Bergen County,New Jersey,
07653,Bergen County,New Jersey,
07656,Bergen County,New Jersey,
07657,Bergen County,New Jersey,
07660,Bergen County,New Jersey,
07661,Bergen County,New Jersey,
07662,Bergen County,New Jersey,
07663,Bergen County,New Jersey,
07666,Bergen County,New Jersey,
07670,Bergen County,New Jersey,
07675,Bergen County,New Jersey,
07676,Bergen County,New Jersey,
07677,Bergen County,New Jersey,
07699,Bergen County,New Jersey,
07701,Monmouth County,New Jersey,
07702,Monmouth County,New Jersey,
07703,Monmouth County,New Jersey,
07704,Monmouth County,New Jersey,
07709,Monmouth County,New Jersey,
07710,Monmouth County,New Jersey,
07711,Monmouth County,New Jersey,
07712,Monmouth County,New Jersey,
07715,Monmouth County,New Jersey,
07716,Monmouth County,New Jersey,
07717,Monmouth County,New Jersey,
07718,Monmouth County,New Jersey,
07719,Monmouth County,New Jersey,
07720,Monmouth County,New Jersey,
07721,Monmouth County,New Jersey,
07722,Monmouth County,New Jersey,
07723,Monmouth County,New Jersey,
07724,Monmouth County,New Jersey,
07726,Monmouth County,New Jersey,
