Zip Code,County,State,Entitlement
87001,Sandoval County,New Mexico,
87002,Valencia County,New Mexico,
87004,Sandoval County,New Mexico,
87005,Cibola County,New Mexico,
87006,Socorro County,New Mexico,
87007,Cibola County,New Mexico,
87008,Bernalillo County,New Mexico,
87009,Torrance County,New Mexico,
87010,Santa Fe County,New Mexico,
87011,Lincoln County,New Mexico,
87012,Rio Arriba County,New Mexico,
87013,Sandoval County,New Mexico,
87014,Cibola County,New Mexico,
87015,Santa Fe County,New Mexico,
87016,Torrance County,New Mexico,
87017,Rio Arriba County,New Mexico,
87018,Sandoval County,New Mexico,
87020,Cibola County,New Mexico,
87021,Cibola County,New Mexico,
87022,Bernalillo County,New Mexico,
87023,Valencia County,New Mexico,
87024,Sandoval County,New Mexico,
87025,Sandoval County,New Mexico,
87026,Valencia County,New Mexico,
87027,Sandoval County,New Mexico,
87028,Socorro County,New Mexico,
87029,Rio Arriba County,New Mexico,
87031,Valencia County,New Mexico,
87032,Torrance County,New Mexico,
87034,Cibola County,New Mexico,
87035,Torrance County,New Mexico,
87036,Torrance County,New Mexico,
87037,San Juan County,New Mexico,
87038,Cibola County,New Mexico,
87040,Cibola County,New Mexico,
87041,Sandoval County,New Mexico,
87042,Valencia County,New Mexico,
87043,Sandoval County,New Mexico,
87044,Sandoval County,New Mexico,
87045,McKinley County,New Mexico,
87046,Sandoval County,New Mexico,
87047,Bernalillo County,New Mexico,
87048,Sandoval County,New Mexico,
87049,Cibola County,New Mexico,
87051,Cibola County,New Mexico,
87052,Sandoval County,New Mexico,
87053,Sandoval County,New Mexico,
87056,Santa Fe County,New Mexico,
87059,Bernalillo County,New Mexico,
87060,Valencia County,New Mexico,
87061,Torrance County,New Mexico,
87062,Socorro County,New Mexico,
87063,Torrance County,New Mexico,
87064,Rio Arriba County,New Mexico,
87068,Valencia County,New Mexico,
87070,Torrance County,New Mexico,
87072,Sandoval County,New Mexico,
87083,Sandoval County,New Mexico,
87101,Bernalillo County,New Mexico,
87102,Bernalillo County,New Mexico,
87103,Bernalillo County,New Mexico,
87104,Bernalillo County,New Mexico,
87105,Bernalillo County,New Mexico,
87106,Bernalillo County,New Mexico,
87107,Bernalillo County,New Mexico,
87108,Bernalillo County,New Mexico,
87109,Bernalillo County,New Mexico,
87110,Bernalillo County,New Mexico,
87111,Bernalillo County,New Mexico,
87112,Bernalillo County,New Mexico,
87113,Bernalillo County,New Mexico,
87114,Bernalillo County,New Mexico,
87115,Bernalillo County,New Mexico,
87116,Bernalillo County,New Mexico,
87117,Bernalillo County,New Mexico,
87119,Bernalillo County,New Mexico,
87120,Bernalillo County,New Mexico,
87121,Bernalillo County,New Mexico,
87122,Bernalillo County,New Mexico,
87123,Bernalillo County,New Mexico,
87124,Sandoval County,New Mexico,
87125,Bernalillo County,New Mexico,
87131,Bernalillo County,New Mexico,
87144,Sandoval County,New Mexico,
87151,Bernalillo County,New Mexico,
87153,Bernalillo County,New Mexico,
87154,Bernalillo County,New Mexico,
87158,Bernalillo County,New Mexico,
87165,Bernalillo County,New Mexico,
87174,Sandoval County,New Mexico,
87176,Bernalillo County,New Mexico,
87181,Bernalillo County,New Mexico,
87184,Bernalillo County,New Mexico,
87185,Bernalillo County,New Mexico,
87187,Bernalillo County,New Mexico,
87190,Bernalillo County,New Mexico,
87191,Bernalillo County,New Mexico,
87192,Bernalillo County,New Mexico,
87193,Bernalillo County,New Mexico,
87194,Bernalillo County,New Mexico,
87195,Bernalillo County,New Mexico,
87196,Bernalillo County,New Mexico,
87197,Bernalillo County,New Mexico,
87198,Bernalillo County,New Mexico,
87199,Bernalillo County,New Mexico,
87301,McKinley County,New Mexico,
87302,Mckinley County,New Mexico,
87305,McKinley County,New Mexico,
87310,McKinley County,New Mexico,
87311,McKinley County,New Mexico,
87312,McKinley County,New Mexico,
87313,McKinley County,New Mexico,
87315,Cibola County,New Mexico,
87316,McKinley County,New Mexico,
87317,McKinley County,New Mexico,
87319,McKinley County,New Mexico,
87320,McKinley County,New Mexico,
87321,McKinley County,New Mexico,
87322,McKinley County,New Mexico,
87323,McKinley County,New Mexico,
87325,McKinley County,New Mexico,
87326,McKinley County,New Mexico,
87327,Cibola County,New Mexico,
87328,McKinley County,New Mexico,
87347,McKinley County,New Mexico,
87357,Cibola County,New Mexico,
87364,San Juan County,New Mexico,
87365,McKinley County,New Mexico,
87375,McKinley County,New Mexico,
87401,San Juan County,New Mexico,
87402,San Juan County,New Mexico,
87410,San Juan County,New Mexico,
87412,San Juan County,New Mexico,
87413,San Juan County,New Mexico,
87415,San Juan County,New Mexico,
87416,San Juan County,New Mexico,
87417,San Juan County,New Mexico,
87418,San Juan County,New Mexico,
87419,San Juan County,New Mexico,
87420,San Juan County,New Mexico,
87421,San Juan County,New Mexico,
87455,San Juan County,New Mexico,
87461,San Juan County,New Mexico,
87499,San Juan County,New Mexico,
87501,Santa Fe County,New Mexico,
87502,Santa Fe County,New Mexico,
87503,Santa Fe County,New Mexico,
87504,Santa Fe County,New Mexico,
87505,Santa Fe County,New Mexico,
87506,Santa Fe County,New Mexico,
87507,Santa Fe County,New Mexico,
87508,Santa Fe County,New Mexico,
87509,Santa Fe County,New Mexico,
87510,Rio Arriba County,New Mexico,
87511,Rio Arriba County,New Mexico,
87512,Taos County,New Mexico,
87513,Taos County,New Mexico,
87514,Taos County,New Mexico,
87515,Rio Arriba County,New Mexico,
87516,Rio Arriba County,New Mexico,
87517,Taos County,New Mexico,
87518,Rio Arriba County,New Mexico,
87519,Taos County,New Mexico,
87520,Rio Arriba County,New Mexico,
87521,Taos County,New Mexico,
87522,Rio Arriba County,New Mexico,
87523,Rio Arriba County,New Mexico,
87524,Taos County,New Mexico,
87525,Taos County,New Mexico,
87527,Rio Arriba County,New Mexico,
87528,Rio Arriba County,New Mexico,
87529,Taos County,New Mexico,
87530,Rio Arriba County,New Mexico,
87531,Rio Arriba County,New Mexico,
87532,Santa Fe County,New Mexico,
87533,Rio Arriba County,New Mexico,
87535,Santa Fe County,New Mexico,
87537,Rio Arriba County,New Mexico,
87538,San Miguel County,New Mexico,
87539,Rio Arriba County,New Mexico,
87540,Santa Fe County,New Mexico,
87543,Taos County,New Mexico,
87544,Los Alamos County,New Mexico,
87545,Los Alamos County,New Mexico,
87547,,New Mexico,
87548,Rio Arriba County,New Mexico,
87549,Rio Arriba County,New Mexico,
87551,Rio Arriba County,New Mexico,
87552,San Miguel County,New Mexico,
87553,Taos County,New Mexico,
87554,Rio Arriba County,New Mexico,
87556,Taos County,New Mexico,
87557,Taos County,New Mexico,
87558,Taos County,New Mexico,
87560,San Miguel County,New Mexico,
87562,San Miguel County,New Mexico,
87564,Taos County,New Mexico,
87565,San Miguel County,New Mexico,
87566,Rio Arriba County,New Mexico,
87567,Santa Fe County,New Mexico,
87569,San Miguel County,New Mexico,
87571,Taos County,New Mexico,
87573,San Miguel County,New Mexico,
87574,Santa Fe County,New Mexico,
87575,Rio Arriba County,New Mexico,
87576,Taos County,New Mexico,
87577,Taos County,New Mexico,
87578,Rio Arriba County,New Mexico,
87579,Taos County,New Mexico,
87580,Taos County,New Mexico,
87581,Rio Arriba County,New Mexico,
87582,Rio Arriba County,New Mexico,
87583,San Miguel County,New Mexico,
87592,Santa Fe County,New Mexico,
87594,Santa Fe County,New Mexico,
87654,,New Mexico,
87701,San Miguel County,New Mexico,
87710,Colfax County,New Mexico,
87711,Guadalupe County,New Mexico,
87712,Mora County,New Mexico,
87713,Mora County,New Mexico,
87714,Colfax County,New Mexico,
87715,Mora County,New Mexico,
87718,Colfax County,New Mexico,
87722,Mora County,New Mexico,
87723,Mora County,New Mexico,
87724,Guadalupe County,New Mexico,
87728,Colfax County,New Mexico,
87729,Colfax County,New Mexico,
87730,Harding County,New Mexico,
87731,San Miguel County,New Mexico,
87732,Mora County,New Mexico,
87733,Harding County,New Mexico,
87734,Mora County,New Mexico,
87735,Mora County,New Mexico,
87736,Mora County,New Mexico,
87740,Colfax County,New Mexico,
87742,San Miguel County,New Mexico,
87743,Harding County,New Mexico,
87745,San Miguel County,New Mexico,
87746,San Miguel County,New Mexico,
87747,Colfax County,New Mexico,
87749,Colfax County,New Mexico,
87750,Mora County,New Mexico,
87752,Mora County,New Mexico,
87753,Mora County,New Mexico,
87801,Socorro County,New Mexico,
87820,Catron County,New Mexico,
87821,Catron County,New Mexico,
87823,Socorro County,New Mexico,
87824,Catron County,New Mexico,
87825,Socorro County,New Mexico,
87827,Catron County,New Mexico,
87828,Socorro County,New Mexico,
87829,Catron County,New Mexico,
87830,Catron County,New Mexico,
87831,Socorro County,New Mexico,
87832,Socorro County,New Mexico,
87901,Sierra County,New Mexico,
87930,Sierra County,New Mexico,
87931,Sierra County,New Mexico,
87933,Sierra County,New Mexico,
87935,Sierra County,New Mexico,
87936,Do�a Ana County,New Mexico,
87937,Do�a Ana County,New Mexico,
87939,Sierra County,New Mexico,
87940,Do�a Ana County,New Mexico,
87941,Do�a Ana County,New Mexico,
87942,Sierra County,New Mexico,
87943,Sierra County,New Mexico,
88001,Do�a Ana County,New Mexico,
88002,Do�a Ana County,New Mexico,
88003,Do�a Ana County,New Mexico,
88004,Do�a Ana County,New Mexico,
88005,Do�a Ana County,New Mexico,
88006,Doña Ana County,New Mexico,
88007,Do�a Ana County,New Mexico,
88008,Do�a Ana County,New Mexico,
88009,Hidalgo County,New Mexico,
88011,Do�a Ana County,New Mexico,
