Zip Code,County,State,Entitlement
00501,Suffolk County,New York,
00544,Suffolk County,New York,
06390,Suffolk County,New York,
10001,New York County,New York,
10002,New York County,New York,
10003,New York County,New York,
10004,New York County,New York,
10005,New York County,New York,
10006,New York County,New York,
10007,New York County,New York,
10008,New York County,New York,
10009,New York County,New York,
10010,New York County,New York,
10011,New York County,New York,
10012,New York County,New York,
10013,New York County,New York,
10014,New York County,New York,
10015,New York County,New York,
10016,New York County,New York,
10017,New York County,New York,
10018,New York County,New York,
10019,New York County,New York,
10020,New York County,New York,
10021,New York County,New York,
10022,New York County,New York,
10023,New York County,New York,
10024,New York County,New York,
10025,New York County,New York,
10026,New York County,New York,
10027,New York County,New York,
10028,New York County,New York,
10029,New York County,New York,
10030,New York County,New York,
10031,New York County,New York,
10032,New York County,New York,
10033,New York County,New York,
10034,New York County,New York,
10035,New York County,New York,
10036,New York County,New York,
10037,New York County,New York,
10038,New York County,New York,
10039,New York County,New York,
10040,New York County,New York,
10041,New York County,New York,
10043,New York County,New York,
10044,New York County,New York,
10045,New York County,New York,
10046,New York County,New York,
10047,New York County,New York,
10048,New York County,New York,
10055,New York County,New York,
10060,New York County,New York,
10065,New York County,New York,
10069,New York County,New York,
10072,New York County,New York,
10075,New York County,New York,
10079,New York County,New York,
10080,New York County,New York,
10081,New York County,New York,
10082,New York County,New York,
10087,New York County,New York,
10090,New York County,New York,
10094,New York County,New York,
10095,New York County,New York,
10096,New York County,New York,
10098,New York County,New York,
10099,New York County,New York,
10101,New York County,New York,
10102,New York County,New York,
10103,New York County,New York,
10104,New York County,New York,
10105,New York County,New York,
10106,New York County,New York,
10107,New York County,New York,
10108,New York County,New York,
10109,New York County,New York,
10110,New York County,New York,
10111,New York County,New York,
10112,New York County,New York,
10113,New York County,New York,
10114,New York County,New York,
10115,New York County,New York,
10116,New York County,New York,
10117,New York County,New York,
10118,New York County,New York,
10119,New York County,New York,
10120,New York County,New York,
10121,New York County,New York,
10122,New York County,New York,
10123,New York County,New York,
10124,New York County,New York,
10125,New York County,New York,
10126,New York County,New York,
10128,New York County,New York,
10129,New York County,New York,
10130,New York County,New York,
10131,New York County,New York,
10132,New York County,New York,
10133,New York County,New York,
10138,New York County,New York,
10149,New York County,New York,
10150,New York County,New York,
10151,New York County,New York,
10152,New York County,New York,
10153,New York County,New York,
10154,New York County,New York,
10155,New York County,New York,
10156,New York County,New York,
10157,New York County,New York,
10158,New York County,New York,
10159,New York County,New York,
10160,New York County,New York,
10161,New York County,New York,
10162,New York County,New York,
10163,New York County,New York,
10164,New York County,New York,
10165,New York County,New York,
10166,New York County,New York,
10167,New York County,New York,
10168,New York County,New York,
10169,New York County,New York,
10170,New York County,New York,
10171,New York County,New York,
10172,New York County,New York,
10173,New York County,New York,
10174,New York County,New York,
10175,New York County,New York,
10176,New York County,New York,
10177,New York County,New York,
10178,New York County,New York,
10179,New York County,New York,
10184,New York County,New York,
10185,New York County,New York,
10196,New York County,New York,
10197,New York County,New York,
10199,New York County,New York,
10200,,New York,
10203,New York County,New York,
10211,New York County,New York,
10212,New York County,New York,
10213,New York County,New York,
10242,New York County,New York,
10249,New York County,New York,
10256,New York County,New York,
10257,New York County,New York,
10258,New York County,New York,
10259,New York County,New York,
10260,New York County,New York,
10261,New York County,New York,
10265,New York County,New York,
10268,New York County,New York,
10269,New York County,New York,
10270,New York County,New York,
10271,New York County,New York,
10272,New York County,New York,
10273,New York County,New York,
10274,New York County,New York,
10275,New York County,New York,
10276,New York County,New York,
10277,New York County,New York,
10278,New York County,New York,
10279,New York County,New York,
10280,New York County,New York,
10281,New York County,New York,
10282,New York County,New York,
10285,New York County,New York,
10286,New York County,New York,
10292,New York County,New York,
10301,Richmond County,New York,
10302,Richmond County,New York,
