Zip Code,County,State,Entitlement
27006,Davie County,North Carolina,
27007,Surry County,North Carolina,
27009,Forsyth County,North Carolina,
27010,Forsyth County,North Carolina,
27011,Yadkin County,North Carolina,
27012,Forsyth County,North Carolina,
27013,Rowan County,North Carolina,
27014,Davie County,North Carolina,
27016,Stokes County,North Carolina,
27017,Surry County,North Carolina,
27018,Yadkin County,North Carolina,
27019,Stokes County,North Carolina,
27020,Yadkin County,North Carolina,
27021,Stokes County,North Carolina,
27022,Stokes County,North Carolina,
27023,Forsyth County,North Carolina,
27024,Surry County,North Carolina,
27025,Rockingham County,North Carolina,
27027,Rockingham County,North Carolina,
27028,Davie County,North Carolina,
27030,Surry County,North Carolina,
27031,Surry County,North Carolina,
27040,Forsyth County,North Carolina,
27041,Surry County,North Carolina,
27042,Stokes County,North Carolina,
27043,Stokes County,North Carolina,
27045,Forsyth County,North Carolina,
27046,Stokes County,North Carolina,
27047,Surry County,North Carolina,
27048,Rockingham County,North Carolina,
27049,Surry County,North Carolina,
27050,Forsyth County,North Carolina,
27051,Forsyth County,North Carolina,
27052,Stokes County,North Carolina,
27053,Stokes County,North Carolina,
27054,Rowan County,North Carolina,
27055,Yadkin County,North Carolina,
27094,Forsyth County,North Carolina,
27098,Forsyth County,North Carolina,
27099,Forsyth County,North Carolina,
27101,Forsyth County,North Carolina,
27102,Forsyth County,North Carolina,
27103,Forsyth County,North Carolina,
27104,Forsyth County,North Carolina,
27105,Forsyth County,North Carolina,
27106,Forsyth County,North Carolina,
27107,Forsyth County,North Carolina,
27108,Forsyth County,North Carolina,
27109,Forsyth County,North Carolina,
27110,Forsyth County,North Carolina,
27111,Forsyth County,North Carolina,
27113,Forsyth County,North Carolina,
27114,Forsyth County,North Carolina,
27115,Forsyth County,North Carolina,
27116,Forsyth County,North Carolina,
27117,Forsyth County,North Carolina,
27120,Forsyth County,North Carolina,
27127,Forsyth County,North Carolina,
27130,Forsyth County,North Carolina,
27150,Forsyth County,North Carolina,
27151,Forsyth County,North Carolina,
27152,Forsyth County,North Carolina,
27155,Forsyth County,North Carolina,
27156,Forsyth County,North Carolina,
27157,Forsyth County,North Carolina,
27198,Forsyth County,North Carolina,
27199,Forsyth County,North Carolina,
27201,Alamance County,North Carolina,
27202,Alamance County,North Carolina,
27203,Randolph County,North Carolina,
27204,Randolph County,North Carolina,
27205,Randolph County,North Carolina,
27207,Chatham County,North Carolina,
27208,Chatham County,North Carolina,
27209,Montgomery County,North Carolina,
27212,Caswell County,North Carolina,
27213,Chatham County,North Carolina,
27214,Guilford County,North Carolina,
27215,Alamance County,North Carolina,
27216,Alamance County,North Carolina,
27217,Alamance County,North Carolina,
27220,Alamance County,North Carolina,
27228,Chatham County,North Carolina,
27229,Montgomery County,North Carolina,
27230,Randolph County,North Carolina,
27231,Orange County,North Carolina,
27233,Randolph County,North Carolina,
27235,Guilford County,North Carolina,
27237,Lee County,North Carolina,
27239,Davidson County,North Carolina,
27242,Moore County,North Carolina,
27243,Orange County,North Carolina,
27244,Alamance County,North Carolina,
27247,Montgomery County,North Carolina,
27248,Randolph County,North Carolina,
27249,Guilford County,North Carolina,
27252,Chatham County,North Carolina,
27253,Alamance County,North Carolina,
27256,Chatham County,North Carolina,
27258,Alamance County,North Carolina,
27259,Chatham County,North Carolina,
27260,Guilford County,North Carolina,
27261,Guilford County,North Carolina,
27262,Guilford County,North Carolina,
27263,Randolph County,North Carolina,
27264,Guilford County,North Carolina,
27265,Guilford County,North Carolina,
27268,Guilford County,North Carolina,
27278,Orange County,North Carolina,
27281,Moore County,North Carolina,
27282,Guilford County,North Carolina,
27283,Guilford County,North Carolina,
27284,Forsyth County,North Carolina,
27285,Forsyth County,North Carolina,
27288,Rockingham County,North Carolina,
27289,Rockingham County,North Carolina,
27291,Caswell County,North Carolina,
27292,Davidson County,North Carolina,
27293,Davidson County,North Carolina,
