Zip Code,County,State,Entitlement
58001,Richland County,North Dakota,
58002,Cass County,North Dakota,
58004,Cass County,North Dakota,
58005,Cass County,North Dakota,
58006,Cass County,North Dakota,
58007,Cass County,North Dakota,
58008,Richland County,North Dakota,
58009,Traill County,North Dakota,
58011,Cass County,North Dakota,
58012,Cass County,North Dakota,
58013,Sargent County,North Dakota,
58015,Richland County,North Dakota,
58016,Traill County,North Dakota,
58017,Sargent County,North Dakota,
58018,Richland County,North Dakota,
58021,Cass County,North Dakota,
58027,Ransom County,North Dakota,
58029,Cass County,North Dakota,
58030,Richland County,North Dakota,
58031,Barnes County,North Dakota,
58032,Sargent County,North Dakota,
58033,Ransom County,North Dakota,
58035,Traill County,North Dakota,
58036,Cass County,North Dakota,
58038,Cass County,North Dakota,
58040,Sargent County,North Dakota,
58041,Richland County,North Dakota,
58042,Cass County,North Dakota,
58043,Sargent County,North Dakota,
58045,Traill County,North Dakota,
58046,Steele County,North Dakota,
58047,Cass County,North Dakota,
58048,Cass County,North Dakota,
58049,Barnes County,North Dakota,
58051,Cass County,North Dakota,
58052,Cass County,North Dakota,
58053,Richland County,North Dakota,
58054,Ransom County,North Dakota,
58056,Steele County,North Dakota,
58057,Richland County,North Dakota,
58058,Richland County,North Dakota,
58059,Cass County,North Dakota,
58060,Sargent County,North Dakota,
58061,Richland County,North Dakota,
58062,Barnes County,North Dakota,
58063,Barnes County,North Dakota,
58064,Cass County,North Dakota,
58065,Barnes County,North Dakota,
58067,Sargent County,North Dakota,
58068,Ransom County,North Dakota,
58069,Sargent County,North Dakota,
58071,Cass County,North Dakota,
58072,Barnes County,North Dakota,
58074,Richland County,North Dakota,
58075,Richland County,North Dakota,
58076,Richland County,North Dakota,
58077,Richland County,North Dakota,
58078,Cass County,North Dakota,
58079,Cass County,North Dakota,
58081,Richland County,North Dakota,
58102,Cass County,North Dakota,
58103,Cass County,North Dakota,
58104,Cass County,North Dakota,
58105,Cass County,North Dakota,
58106,Cass County,North Dakota,
58107,Cass County,North Dakota,
58108,Cass County,North Dakota,
58109,Cass County,North Dakota,
58121,Cass County,North Dakota,
58122,Cass County,North Dakota,
58124,Cass County,North Dakota,
58125,Cass County,North Dakota,
58126,Cass County,North Dakota,
58201,Grand Forks County,North Dakota,
58202,Grand Forks County,North Dakota,
58203,Grand Forks County,North Dakota,
58204,Grand Forks County,North Dakota,
58205,Grand Forks County,North Dakota,
58206,Grand Forks County,North Dakota,
58207,Grand Forks County,North Dakota,
58208,Grand Forks County,North Dakota,
58210,Walsh County,North Dakota,
58212,Nelson County,North Dakota,
58214,Grand Forks County,North Dakota,
58216,Pembina County,North Dakota,
58218,Traill County,North Dakota,
58219,Traill County,North Dakota,
58220,Pembina County,North Dakota,
58222,Pembina County,North Dakota,
58223,Traill County,North Dakota,
58224,Nelson County,North Dakota,
58225,Pembina County,North Dakota,
58227,Walsh County,North Dakota,
58228,Grand Forks County,North Dakota,
58229,Walsh County,North Dakota,
58230,Steele County,North Dakota,
58231,Walsh County,North Dakota,
58233,Walsh County,North Dakota,
58235,Grand Forks County,North Dakota,
58236,Pembina County,North Dakota,
58237,Walsh County,North Dakota,
