Zip Code,County,State,Entitlement
43001,Licking County,Ohio,
43002,Franklin County,Ohio,
43003,Delaware County,Ohio,
43004,Franklin County,Ohio,
43005,Knox County,Ohio,
43006,Holmes County,Ohio,
43007,Union County,Ohio,
43008,Licking County,Ohio,
43009,Champaign County,Ohio,
43010,Clark County,Ohio,
43011,Knox County,Ohio,
43013,Licking County,Ohio,
43014,Knox County,Ohio,
43015,Delaware County,Ohio,
43016,Franklin County,Ohio,
43017,Franklin County,Ohio,
43018,Licking County,Ohio,
43019,Knox County,Ohio,
43021,Delaware County,Ohio,
43022,Knox County,Ohio,
43023,Licking County,Ohio,
43025,Licking County,Ohio,
43026,Franklin County,Ohio,
43027,Licking County,Ohio,
43028,Knox County,Ohio,
43029,Madison County,Ohio,
43030,Licking County,Ohio,
43031,Licking County,Ohio,
43032,Delaware County,Ohio,
43033,Licking County,Ohio,
43035,Delaware County,Ohio,
43036,Union County,Ohio,
43037,Knox County,Ohio,
43040,Union County,Ohio,
43041,Union County,Ohio,
43044,Champaign County,Ohio,
43045,Union County,Ohio,
43046,Fairfield County,Ohio,
43047,Champaign County,Ohio,
43048,Knox County,Ohio,
43050,Knox County,Ohio,
43054,Franklin County,Ohio,
43055,Licking County,Ohio,
43056,Licking County,Ohio,
43058,Licking County,Ohio,
43060,Champaign County,Ohio,
43061,Delaware County,Ohio,
43062,Licking County,Ohio,
43064,Madison County,Ohio,
43065,Delaware County,Ohio,
43066,Delaware County,Ohio,
43067,Union County,Ohio,
43068,Franklin County,Ohio,
43069,Franklin County,Ohio,
43070,Champaign County,Ohio,
43071,Licking County,Ohio,
43072,Champaign County,Ohio,
43073,Licking County,Ohio,
43074,Delaware County,Ohio,
43076,Perry County,Ohio,
43077,Union County,Ohio,
43078,Champaign County,Ohio,
43080,Licking County,Ohio,
43081,Franklin County,Ohio,
43082,Delaware County,Ohio,
43083,Champaign County,Ohio,
43084,Champaign County,Ohio,
43085,Franklin County,Ohio,
43086,Franklin County,Ohio,
43093,Licking County,Ohio,
43098,Licking County,Ohio,
43101,Ross County,Ohio,
43102,Fairfield County,Ohio,
43103,Pickaway County,Ohio,
43105,Fairfield County,Ohio,
43106,Fayette County,Ohio,
43107,Fairfield County,Ohio,
43109,Franklin County,Ohio,
43110,Franklin County,Ohio,
43111,Hocking County,Ohio,
43112,Fairfield County,Ohio,
43113,Pickaway County,Ohio,
43115,Ross County,Ohio,
43116,Pickaway County,Ohio,
43117,Pickaway County,Ohio,
43119,Franklin County,Ohio,
43123,Franklin County,Ohio,
43125,Franklin County,Ohio,
43126,Franklin County,Ohio,
43127,Hocking County,Ohio,
43128,Fayette County,Ohio,
43130,Fairfield County,Ohio,
43135,Hocking County,Ohio,
43136,Fairfield County,Ohio,
43137,Pickaway County,Ohio,
43138,Hocking County,Ohio,
43140,Madison County,Ohio,
43142,Fayette County,Ohio,
43143,Madison County,Ohio,
43144,Hocking County,Ohio,
43145,Pickaway County,Ohio,
43146,Pickaway County,Ohio,
43147,Fairfield County,Ohio,
43148,Fairfield County,Ohio,
43149,Hocking County,Ohio,
43150,Fairfield County,Ohio,
43151,Madison County,Ohio,
43152,Hocking County,Ohio,
43153,Madison County,Ohio,
43154,Fairfield County,Ohio,
43155,Fairfield County,Ohio,
43156,Pickaway County,Ohio,
43157,Fairfield County,Ohio,
43158,Hocking County,Ohio,
43160,Fayette County,Ohio,
43162,Madison County,Ohio,
43163,Fairfield County,Ohio,
43164,Pickaway County,Ohio,
43194,Franklin County,Ohio,
43195,Franklin County,Ohio,
43196,Franklin County,Ohio,
43198,Franklin County,Ohio,
43199,Franklin County,Ohio,
43201,Franklin County,Ohio,
43202,Franklin County,Ohio,
43203,Franklin County,Ohio,
43204,Franklin County,Ohio,
43205,Franklin County,Ohio,
43206,Franklin County,Ohio,
43207,Franklin County,Ohio,
43209,Franklin County,Ohio,
43210,Franklin County,Ohio,
43211,Franklin County,Ohio,
43212,Franklin County,Ohio,
43213,Franklin County,Ohio,
43214,Franklin County,Ohio,
43215,Franklin County,Ohio,
43216,Franklin County,Ohio,
43217,Franklin County,Ohio,
43218,Franklin County,Ohio,
43219,Franklin County,Ohio,
43220,Franklin County,Ohio,
43221,Franklin County,Ohio,
43222,Franklin County,Ohio,
43223,Franklin County,Ohio,
43224,Franklin County,Ohio,
43226,Franklin County,Ohio,
43227,Franklin County,Ohio,
43228,Franklin County,Ohio,
43229,Franklin County,Ohio,
43230,Franklin County,Ohio,
43231,Franklin County,Ohio,
43232,Franklin County,Ohio,
43234,Franklin County,Ohio,
43235,Franklin County,Ohio,
43236,Franklin County,Ohio,
43240,Delaware County,Ohio,
43251,Franklin County,Ohio,
43260,Franklin County,Ohio,
43265,Franklin County,Ohio,
43266,Franklin County,Ohio,
43268,Franklin County,Ohio,
43270,Franklin County,Ohio,
43271,Franklin County,Ohio,
43272,Franklin County,Ohio,
43279,Franklin County,Ohio,
43287,Franklin County,Ohio,
43291,Franklin County,Ohio,
43299,Franklin County,Ohio,
43301,Marion County,Ohio,
43302,Marion County,Ohio,
43306,Marion County,Ohio,
43307,Marion County,Ohio,
43310,Logan County,Ohio,
43311,Logan County,Ohio,
43314,Marion County,Ohio,
43315,Morrow County,Ohio,
43316,Wyandot County,Ohio,
43317,Morrow County,Ohio,
43318,Logan County,Ohio,
43319,Logan County,Ohio,
43320,Morrow County,Ohio,
43321,Morrow County,Ohio,
43322,Marion County,Ohio,
43323,Wyandot County,Ohio,
43324,Logan County,Ohio,
43325,Morrow County,Ohio,
43326,Hardin County,Ohio,
43330,Wyandot County,Ohio,
43331,Logan County,Ohio,
43332,Marion County,Ohio,
43333,Logan County,Ohio,
43334,Morrow County,Ohio,
43335,Marion County,Ohio,
43336,Logan County,Ohio,
43337,Marion County,Ohio,
43338,Morrow County,Ohio,
43340,Hardin County,Ohio,
43341,Marion County,Ohio,
43342,Marion County,Ohio,
43343,Logan County,Ohio,
43344,Union County,Ohio,
43345,Hardin County,Ohio,
43346,Hardin County,Ohio,
43347,Logan County,Ohio,
43348,Logan County,Ohio,
43349,Morrow County,Ohio,
43350,Morrow County,Ohio,
43351,Wyandot County,Ohio,
43356,Marion County,Ohio,
43357,Logan County,Ohio,
43358,Logan County,Ohio,
43359,Wyandot County,Ohio,
43360,Logan County,Ohio,
43402,Wood County,Ohio,
43403,Wood County,Ohio,
43406,Wood County,Ohio,
43407,Sandusky County,Ohio,
43408,Ottawa County,Ohio,
43410,Sandusky County,Ohio,
43412,Lucas County,Ohio,
43413,Wood County,Ohio,
43414,Wood County,Ohio,
43416,Ottawa County,Ohio,
43420,Sandusky County,Ohio,
43430,Ottawa County,Ohio,
43431,Sandusky County,Ohio,
43432,Ottawa County,Ohio,
43433,Ottawa County,Ohio,
43434,Lucas County,Ohio,
43435,Sandusky County,Ohio,
43436,Ottawa County,Ohio,
43437,Wood County,Ohio,
43438,Erie County,Ohio,
43439,Ottawa County,Ohio,
43440,Ottawa County,Ohio,
43441,Wood County,Ohio,
43442,Sandusky County,Ohio,
43443,Wood County,Ohio,
43445,Ottawa County,Ohio,
43446,Ottawa County,Ohio,
43447,Wood County,Ohio,
