Zip Code,County,State,Entitlement
73001,Caddo County,Oklahoma,
73002,Grady County,Oklahoma,
73003,Oklahoma County,Oklahoma,
73004,Grady County,Oklahoma,
73005,Caddo County,Oklahoma,
73006,Caddo County,Oklahoma,
73007,Oklahoma County,Oklahoma,
73008,Oklahoma County,Oklahoma,
73009,Caddo County,Oklahoma,
73010,McClain County,Oklahoma,
73011,Grady County,Oklahoma,
73012,Oklahoma County,Oklahoma,
73013,Oklahoma County,Oklahoma,
73014,Canadian County,Oklahoma,
73015,Caddo County,Oklahoma,
73016,Logan County,Oklahoma,
73017,Caddo County,Oklahoma,
73018,Grady County,Oklahoma,
73019,Cleveland County,Oklahoma,
73020,Oklahoma County,Oklahoma,
73021,Washita County,Oklahoma,
73022,Canadian County,Oklahoma,
73023,Grady County,Oklahoma,
73024,Washita County,Oklahoma,
73025,Oklahoma County,Oklahoma,
73026,Cleveland County,Oklahoma,
73027,Payne County,Oklahoma,
73028,Logan County,Oklahoma,
73029,Caddo County,Oklahoma,
73030,Murray County,Oklahoma,
73031,McClain County,Oklahoma,
73032,Murray County,Oklahoma,
73033,Caddo County,Oklahoma,
73034,Oklahoma County,Oklahoma,
73036,Canadian County,Oklahoma,
73038,Caddo County,Oklahoma,
73039,Murray County,Oklahoma,
73040,Blaine County,Oklahoma,
73041,Kiowa County,Oklahoma,
73042,Caddo County,Oklahoma,
73043,Blaine County,Oklahoma,
73044,Logan County,Oklahoma,
73045,Oklahoma County,Oklahoma,
73047,,Oklahoma,
73048,Caddo County,Oklahoma,
73049,Oklahoma County,Oklahoma,
73050,Logan County,Oklahoma,
73051,Cleveland County,Oklahoma,
73052,Garvin County,Oklahoma,
73053,Caddo County,Oklahoma,
73054,Oklahoma County,Oklahoma,
73055,Stephens County,Oklahoma,
73056,Logan County,Oklahoma,
73057,Garvin County,Oklahoma,
73058,Logan County,Oklahoma,
73059,Grady County,Oklahoma,
73061,Noble County,Oklahoma,
73062,Kiowa County,Oklahoma,
73063,Logan County,Oklahoma,
73064,Canadian County,Oklahoma,
73065,McClain County,Oklahoma,
73066,Oklahoma County,Oklahoma,
73067,Grady County,Oklahoma,
73068,Cleveland County,Oklahoma,
73069,Cleveland County,Oklahoma,
73070,Cleveland County,Oklahoma,
73071,Cleveland County,Oklahoma,
73072,Cleveland County,Oklahoma,
73073,Logan County,Oklahoma,
73074,Garvin County,Oklahoma,
73075,Garvin County,Oklahoma,
73077,Noble County,Oklahoma,
73078,Canadian County,Oklahoma,
73079,Grady County,Oklahoma,
73080,McClain County,Oklahoma,
73082,Grady County,Oklahoma,
73083,Oklahoma County,Oklahoma,
73084,Oklahoma County,Oklahoma,
73085,Canadian County,Oklahoma,
73086,Murray County,Oklahoma,
73089,Grady County,Oklahoma,
73090,Canadian County,Oklahoma,
73092,Grady County,Oklahoma,
73093,McClain County,Oklahoma,
73094,Caddo County,Oklahoma,
73095,McClain County,Oklahoma,
73096,Custer County,Oklahoma,
73097,Oklahoma County,Oklahoma,
73098,Garvin County,Oklahoma,
73099,Canadian County,Oklahoma,
73101,Oklahoma County,Oklahoma,
73102,Oklahoma County,Oklahoma,
73103,Oklahoma County,Oklahoma,
