Zip Code,County,State,Entitlement
97001,Wasco County,Oregon,
97002,Marion County,Oregon,
97003,Washington County,Oregon,
97004,Clackamas County,Oregon,
97005,Washington County,Oregon,
97006,Washington County,Oregon,
97007,Washington County,Oregon,
97008,Washington County,Oregon,
97009,Clackamas County,Oregon,
97010,Multnomah County,Oregon,
97011,Clackamas County,Oregon,
97013,Clackamas County,Oregon,
97014,Hood River County,Oregon,
97015,Clackamas County,Oregon,
97016,Columbia County,Oregon,
97017,Clackamas County,Oregon,
97018,Columbia County,Oregon,
97019,Multnomah County,Oregon,
97020,Marion County,Oregon,
97021,Wasco County,Oregon,
97022,Clackamas County,Oregon,
97023,Clackamas County,Oregon,
97024,Multnomah County,Oregon,
97026,Marion County,Oregon,
97027,Clackamas County,Oregon,
97028,Clackamas County,Oregon,
97029,Sherman County,Oregon,
97030,Multnomah County,Oregon,
97031,Hood River County,Oregon,
97032,Marion County,Oregon,
97033,Sherman County,Oregon,
97034,Clackamas County,Oregon,
97035,Clackamas County,Oregon,
97036,Clackamas County,Oregon,
97037,Wasco County,Oregon,
97038,Clackamas County,Oregon,
97039,Sherman County,Oregon,
97040,Wasco County,Oregon,
97041,Hood River County,Oregon,
97042,Clackamas County,Oregon,
97044,Hood River County,Oregon,
97045,Clackamas County,Oregon,
97048,Columbia County,Oregon,
97049,Clackamas County,Oregon,
97050,Sherman County,Oregon,
97051,Columbia County,Oregon,
97053,Columbia County,Oregon,
97054,Columbia County,Oregon,
97055,Clackamas County,Oregon,
97056,Columbia County,Oregon,
97057,Wasco County,Oregon,
97058,Wasco County,Oregon,
97060,Multnomah County,Oregon,
97062,Washington County,Oregon,
97063,Wasco County,Oregon,
97064,Columbia County,Oregon,
97065,Sherman County,Oregon,
97067,Clackamas County,Oregon,
97068,Clackamas County,Oregon,
97070,Clackamas County,Oregon,
97071,Marion County,Oregon,
97075,Washington County,Oregon,
97076,Washington County,Oregon,
97077,Washington County,Oregon,
97078,Washington County,Oregon,
97079,,Oregon,
97080,Multnomah County,Oregon,
97086,Clackamas County,Oregon,
97089,Clackamas County,Oregon,
97101,Yamhill County,Oregon,
97102,Clatsop County,Oregon,
97103,Clatsop County,Oregon,
97106,Washington County,Oregon,
97107,Tillamook County,Oregon,
97108,Tillamook County,Oregon,
97109,Washington County,Oregon,
97110,Clatsop County,Oregon,
97111,Yamhill County,Oregon,
97112,Tillamook County,Oregon,
97113,Washington County,Oregon,
97114,Yamhill County,Oregon,
97115,Yamhill County,Oregon,
97116,Washington County,Oregon,
97117,Washington County,Oregon,
97118,Tillamook County,Oregon,
97119,Washington County,Oregon,
97121,Clatsop County,Oregon,
97122,Tillamook County,Oregon,
97123,Washington County,Oregon,
97124,Washington County,Oregon,
97125,Washington County,Oregon,
97127,Yamhill County,Oregon,
97128,Yamhill County,Oregon,
97129,,Oregon,
97130,Tillamook County,Oregon,
97131,Tillamook County,Oregon,
97132,Yamhill County,Oregon,
97133,Washington County,Oregon,
97134,Tillamook County,Oregon,
97135,Tillamook County,Oregon,
97136,Tillamook County,Oregon,
97137,Marion County,Oregon,
97138,Clatsop County,Oregon,
97140,Washington County,Oregon,
97141,Tillamook County,Oregon,
97143,Tillamook County,Oregon,
97144,Washington County,Oregon,
97145,Clatsop County,Oregon,
97146,Clatsop County,Oregon,
97147,Tillamook County,Oregon,
97148,Yamhill County,Oregon,
97149,Tillamook County,Oregon,
97201,Multnomah County,Oregon,
97202,Multnomah County,Oregon,
97203,Multnomah County,Oregon,
97204,Multnomah County,Oregon,
97205,Multnomah County,Oregon,
97206,Multnomah County,Oregon,
97207,Multnomah County,Oregon,
97208,Multnomah County,Oregon,
97209,Multnomah County,Oregon,
97210,Multnomah County,Oregon,
97211,Multnomah County,Oregon,
97212,Multnomah County,Oregon,
97213,Multnomah County,Oregon,
97214,Multnomah County,Oregon,
97215,Multnomah County,Oregon,
97216,Multnomah County,Oregon,
97217,Multnomah County,Oregon,
97218,Multnomah County,Oregon,
97219,Multnomah County,Oregon,
97220,Multnomah County,Oregon,
97221,Multnomah County,Oregon,
97222,Clackamas County,Oregon,
97223,Washington County,Oregon,
97224,Washington County,Oregon,
97225,Washington County,Oregon,
97227,Multnomah County,Oregon,
97228,Multnomah County,Oregon,
97229,Washington County,Oregon,
97230,Multnomah County,Oregon,
97231,Multnomah County,Oregon,
97232,Multnomah County,Oregon,
97233,Multnomah County,Oregon,
97236,Multnomah County,Oregon,
97238,Multnomah County,Oregon,
97239,Multnomah County,Oregon,
97240,Multnomah County,Oregon,
97242,Multnomah County,Oregon,
97250,,Oregon,
97251,Multnomah County,Oregon,
97252,,Oregon,
97253,Multnomah County,Oregon,
97254,Multnomah County,Oregon,
97255,Multnomah County,Oregon,
97256,Multnomah County,Oregon,
97258,Multnomah County,Oregon,
97259,Multnomah County,Oregon,
97266,Multnomah County,Oregon,
97267,Clackamas County,Oregon,
97268,Multnomah County,Oregon,
97269,Multnomah County,Oregon,
97271,Multnomah County,Oregon,
97272,Multnomah County,Oregon,
97280,Multnomah County,Oregon,
97281,Multnomah County,Oregon,
97282,Multnomah County,Oregon,
97283,Multnomah County,Oregon,
97286,Multnomah County,Oregon,
97290,Multnomah County,Oregon,
97291,Multnomah County,Oregon,
97292,Multnomah County,Oregon,
97293,Multnomah County,Oregon,
97294,Multnomah County,Oregon,
97296,Multnomah County,Oregon,
97298,Multnomah County,Oregon,
97299,Multnomah County,Oregon,
97301,Marion County,Oregon,
97302,Marion County,Oregon,
97303,Marion County,Oregon,
97304,Polk County,Oregon,
97305,Marion County,Oregon,
97306,Marion County,Oregon,
97307,Marion County,Oregon,
97308,Marion County,Oregon,
97309,Marion County,Oregon,
97310,Marion County,Oregon,
97311,Marion County,Oregon,
97312,Marion County,Oregon,
97313,Marion County,Oregon,
97314,Marion County,Oregon,
97317,Marion County,Oregon,
97321,Linn County,Oregon,
97322,Linn County,Oregon,
97324,Benton County,Oregon,
97325,Marion County,Oregon,
97326,Benton County,Oregon,
97327,Linn County,Oregon,
97329,Linn County,Oregon,
97330,Benton County,Oregon,
97331,Benton County,Oregon,
97333,Benton County,Oregon,
97335,Linn County,Oregon,
97336,Linn County,Oregon,
97338,Polk County,Oregon,
97339,Benton County,Oregon,
97341,Lincoln County,Oregon,
97342,Marion County,Oregon,
97343,Lincoln County,Oregon,
97344,Polk County,Oregon,
97345,Linn County,Oregon,
97346,Marion County,Oregon,
97347,Polk County,Oregon,
97348,Linn County,Oregon,
97350,Marion County,Oregon,
97351,Polk County,Oregon,
97352,Marion County,Oregon,
97355,Linn County,Oregon,
97357,Lincoln County,Oregon,
97358,Linn County,Oregon,
97360,Linn County,Oregon,
97361,Polk County,Oregon,
97362,Marion County,Oregon,
