Zip Code,County,State,Entitlement
15001,Beaver County,Pennsylvania,
15003,Beaver County,Pennsylvania,
15004,Washington County,Pennsylvania,
15005,Beaver County,Pennsylvania,
15006,Allegheny County,Pennsylvania,
15007,Allegheny County,Pennsylvania,
15009,Beaver County,Pennsylvania,
15010,Beaver County,Pennsylvania,
15012,Westmoreland County,Pennsylvania,
15014,Allegheny County,Pennsylvania,
15015,Allegheny County,Pennsylvania,
15017,Allegheny County,Pennsylvania,
15018,Allegheny County,Pennsylvania,
15019,Washington County,Pennsylvania,
15020,Allegheny County,Pennsylvania,
15021,Washington County,Pennsylvania,
15022,Washington County,Pennsylvania,
15024,Allegheny County,Pennsylvania,
15025,Allegheny County,Pennsylvania,
15026,Beaver County,Pennsylvania,
15027,Beaver County,Pennsylvania,
15028,Allegheny County,Pennsylvania,
15030,Allegheny County,Pennsylvania,
15031,Allegheny County,Pennsylvania,
15032,Allegheny County,Pennsylvania,
15033,Washington County,Pennsylvania,
15034,Allegheny County,Pennsylvania,
15035,Allegheny County,Pennsylvania,
15037,Allegheny County,Pennsylvania,
15038,Washington County,Pennsylvania,
15042,Beaver County,Pennsylvania,
15043,Beaver County,Pennsylvania,
15044,Allegheny County,Pennsylvania,
15045,Allegheny County,Pennsylvania,
15046,Allegheny County,Pennsylvania,
15047,Allegheny County,Pennsylvania,
15049,Allegheny County,Pennsylvania,
15050,Beaver County,Pennsylvania,
15051,Allegheny County,Pennsylvania,
15052,Beaver County,Pennsylvania,
15053,Washington County,Pennsylvania,
15054,Washington County,Pennsylvania,
15055,Washington County,Pennsylvania,
15056,Allegheny County,Pennsylvania,
15057,Washington County,Pennsylvania,
15059,Beaver County,Pennsylvania,
15060,Washington County,Pennsylvania,
15061,Beaver County,Pennsylvania,
15062,Westmoreland County,Pennsylvania,
15063,Washington County,Pennsylvania,
15064,Allegheny County,Pennsylvania,
15065,Allegheny County,Pennsylvania,
15066,Beaver County,Pennsylvania,
15067,Washington County,Pennsylvania,
15068,Westmoreland County,Pennsylvania,
15069,Westmoreland County,Pennsylvania,
15071,Allegheny County,Pennsylvania,
15072,Westmoreland County,Pennsylvania,
15074,Beaver County,Pennsylvania,
15075,Allegheny County,Pennsylvania,
15076,Allegheny County,Pennsylvania,
15077,Beaver County,Pennsylvania,
15078,Washington County,Pennsylvania,
15081,Beaver County,Pennsylvania,
15082,Allegheny County,Pennsylvania,
15083,Westmoreland County,Pennsylvania,
15084,Allegheny County,Pennsylvania,
15085,Westmoreland County,Pennsylvania,
15086,Allegheny County,Pennsylvania,
15087,Westmoreland County,Pennsylvania,
15088,Allegheny County,Pennsylvania,
15089,Westmoreland County,Pennsylvania,
15090,Allegheny County,Pennsylvania,
15091,Allegheny County,Pennsylvania,
15095,Allegheny County,Pennsylvania,
15096,Allegheny County,Pennsylvania,
15101,Allegheny County,Pennsylvania,
15102,Allegheny County,Pennsylvania,
15104,Allegheny County,Pennsylvania,
15106,Allegheny County,Pennsylvania,
15108,Allegheny County,Pennsylvania,
15110,Allegheny County,Pennsylvania,
15112,Allegheny County,Pennsylvania,
15116,Allegheny County,Pennsylvania,
15120,Allegheny County,Pennsylvania,
15122,Allegheny County,Pennsylvania,
15123,Allegheny County,Pennsylvania,
15126,Allegheny County,Pennsylvania,
15127,Allegheny County,Pennsylvania,
15129,Allegheny County,Pennsylvania,
15131,Allegheny County,Pennsylvania,
15132,Allegheny County,Pennsylvania,
15133,Allegheny County,Pennsylvania,
15134,Allegheny County,Pennsylvania,
15135,Allegheny County,Pennsylvania,
15136,Allegheny County,Pennsylvania,
15137,Allegheny County,Pennsylvania,
15139,Allegheny County,Pennsylvania,
15140,Allegheny County,Pennsylvania,
15142,Allegheny County,Pennsylvania,
15143,Allegheny County,Pennsylvania,
15144,Allegheny County,Pennsylvania,
15145,Allegheny County,Pennsylvania,
15146,Allegheny County,Pennsylvania,
15147,Allegheny County,Pennsylvania,
15148,Allegheny County,Pennsylvania,
15201,Allegheny County,Pennsylvania,
15202,Allegheny County,Pennsylvania,
15203,Allegheny County,Pennsylvania,
15204,Allegheny County,Pennsylvania,
15205,Allegheny County,Pennsylvania,
15206,Allegheny County,Pennsylvania,
15207,Allegheny County,Pennsylvania,
15208,Allegheny County,Pennsylvania,
15209,Allegheny County,Pennsylvania,
15210,Allegheny County,Pennsylvania,
15211,Allegheny County,Pennsylvania,
15212,Allegheny County,Pennsylvania,
15213,Allegheny County,Pennsylvania,
15214,Allegheny County,Pennsylvania,
15215,Allegheny County,Pennsylvania,
15216,Allegheny County,Pennsylvania,
15217,Allegheny County,Pennsylvania,
15218,Allegheny County,Pennsylvania,
15219,Allegheny County,Pennsylvania,
15220,Allegheny County,Pennsylvania,
15221,Allegheny County,Pennsylvania,
15222,Allegheny County,Pennsylvania,
15223,Allegheny County,Pennsylvania,
15224,Allegheny County,Pennsylvania,
15225,Allegheny County,Pennsylvania,
15226,Allegheny County,Pennsylvania,
15227,Allegheny County,Pennsylvania,
15228,Allegheny County,Pennsylvania,
15229,Allegheny County,Pennsylvania,
15230,Allegheny County,Pennsylvania,
15231,Allegheny County,Pennsylvania,
15232,Allegheny County,Pennsylvania,
15233,Allegheny County,Pennsylvania,
15234,Allegheny County,Pennsylvania,
15235,Allegheny County,Pennsylvania,
15236,Allegheny County,Pennsylvania,
15237,Allegheny County,Pennsylvania,
15238,Allegheny County,Pennsylvania,
15239,Allegheny County,Pennsylvania,
15240,Allegheny County,Pennsylvania,
15241,Allegheny County,Pennsylvania,
15242,Allegheny County,Pennsylvania,
15243,Allegheny County,Pennsylvania,
15244,Allegheny County,Pennsylvania,
15250,Allegheny County,Pennsylvania,
15251,Allegheny County,Pennsylvania,
15252,Allegheny County,Pennsylvania,
15253,Allegheny County,Pennsylvania,
15254,Allegheny County,Pennsylvania,
15255,Allegheny County,Pennsylvania,
15257,Allegheny County,Pennsylvania,
15258,Allegheny County,Pennsylvania,
15259,Allegheny County,Pennsylvania,
15260,Allegheny County,Pennsylvania,
15261,Allegheny County,Pennsylvania,
15262,Allegheny County,Pennsylvania,
15263,Allegheny County,Pennsylvania,
15264,Allegheny County,Pennsylvania,
15265,Allegheny County,Pennsylvania,
15266,,Pennsylvania,
15267,Allegheny County,Pennsylvania,
15268,Allegheny County,Pennsylvania,
15270,Allegheny County,Pennsylvania,
15272,Allegheny County,Pennsylvania,
15273,,Pennsylvania,
15274,Allegheny County,Pennsylvania,
15275,Allegheny County,Pennsylvania,
15276,Allegheny County,Pennsylvania,
15277,Allegheny County,Pennsylvania,
15278,Allegheny County,Pennsylvania,
15279,Allegheny County,Pennsylvania,
15281,Allegheny County,Pennsylvania,
15282,Allegheny County,Pennsylvania,
15283,Allegheny County,Pennsylvania,
15285,Allegheny County,Pennsylvania,
15286,Allegheny County,Pennsylvania,
15288,,Pennsylvania,
15289,Allegheny County,Pennsylvania,
15290,Allegheny County,Pennsylvania,
15295,Allegheny County,Pennsylvania,
15301,Washington County,Pennsylvania,
15310,Greene County,Pennsylvania,
15311,Washington County,Pennsylvania,
15312,Washington County,Pennsylvania,
15313,Washington County,Pennsylvania,
15314,Washington County,Pennsylvania,
15315,Greene County,Pennsylvania,
15316,Greene County,Pennsylvania,
15317,Washington County,Pennsylvania,
15320,Greene County,Pennsylvania,
15321,Washington County,Pennsylvania,
15322,Greene County,Pennsylvania,
15323,Washington County,Pennsylvania,
15324,Washington County,Pennsylvania,
15325,Greene County,Pennsylvania,
15327,Greene County,Pennsylvania,
15329,Washington County,Pennsylvania,
15330,Washington County,Pennsylvania,
15331,Washington County,Pennsylvania,
15332,Washington County,Pennsylvania,
15333,Washington County,Pennsylvania,
15334,Greene County,Pennsylvania,
15336,Washington County,Pennsylvania,
15337,Greene County,Pennsylvania,
15338,Greene County,Pennsylvania,
15339,Washington County,Pennsylvania,
15340,Washington County,Pennsylvania,
15341,Greene County,Pennsylvania,
15342,Washington County,Pennsylvania,
15344,Greene County,Pennsylvania,
15345,Washington County,Pennsylvania,
15346,Greene County,Pennsylvania,
15347,Washington County,Pennsylvania,
15348,Washington County,Pennsylvania,
15349,Greene County,Pennsylvania,
15350,Washington County,Pennsylvania,
15351,Greene County,Pennsylvania,
15352,Greene County,Pennsylvania,
15353,Greene County,Pennsylvania,
15357,Greene County,Pennsylvania,
15358,Washington County,Pennsylvania,
15359,Greene County,Pennsylvania,
15360,Washington County,Pennsylvania,
15361,Washington County,Pennsylvania,
15362,Greene County,Pennsylvania,
15363,Washington County,Pennsylvania,
15364,Greene County,Pennsylvania,
15365,Washington County,Pennsylvania,
15366,Washington County,Pennsylvania,
15367,Washington County,Pennsylvania,
15368,Washington County,Pennsylvania,
15370,Greene County,Pennsylvania,
15376,Washington County,Pennsylvania,
15377,Washington County,Pennsylvania,
15378,Washington County,Pennsylvania,
15379,Washington County,Pennsylvania,
15380,Greene County,Pennsylvania,
15401,Fayette County,Pennsylvania,
15410,Fayette County,Pennsylvania,
15411,Somerset County,Pennsylvania,
15412,Washington County,Pennsylvania,
15413,Fayette County,Pennsylvania,
15415,Fayette County,Pennsylvania,
15416,Fayette County,Pennsylvania,
15417,Fayette County,Pennsylvania,
15419,Washington County,Pennsylvania,
15420,Fayette County,Pennsylvania,
15421,Fayette County,Pennsylvania,
15422,Fayette County,Pennsylvania,
15423,Washington County,Pennsylvania,
15424,Somerset County,Pennsylvania,
15425,Fayette County,Pennsylvania,
15427,Washington County,Pennsylvania,
15428,Fayette County,Pennsylvania,
15429,Washington County,Pennsylvania,
15430,Fayette County,Pennsylvania,
15431,Fayette County,Pennsylvania,
15432,Washington County,Pennsylvania,
15433,Fayette County,Pennsylvania,
15434,Washington County,Pennsylvania,
15435,Fayette County,Pennsylvania,
15436,Fayette County,Pennsylvania,
15437,Fayette County,Pennsylvania,
15438,Fayette County,Pennsylvania,
15439,Monongalia County,Pennsylvania,
15440,Fayette County,Pennsylvania,
15442,Fayette County,Pennsylvania,
15443,Fayette County,Pennsylvania,
15444,Fayette County,Pennsylvania,
15445,Fayette County,Pennsylvania,
15446,Fayette County,Pennsylvania,
15447,Fayette County,Pennsylvania,
15448,Westmoreland County,Pennsylvania,
15449,Fayette County,Pennsylvania,
15450,Fayette County,Pennsylvania,
15451,Fayette County,Pennsylvania,
15454,Fayette County,Pennsylvania,
15455,Fayette County,Pennsylvania,
15456,Fayette County,Pennsylvania,
15458,Fayette County,Pennsylvania,
15459,Fayette County,Pennsylvania,
15460,Fayette County,Pennsylvania,
15461,Fayette County,Pennsylvania,
15462,Fayette County,Pennsylvania,
15463,Fayette County,Pennsylvania,
15464,Fayette County,Pennsylvania,
15465,Fayette County,Pennsylvania,
15466,Fayette County,Pennsylvania,
15467,Fayette County,Pennsylvania,
15468,Fayette County,Pennsylvania,
15469,Fayette County,Pennsylvania,
15470,Fayette County,Pennsylvania,
15472,Fayette County,Pennsylvania,
15473,Fayette County,Pennsylvania,
15474,Fayette County,Pennsylvania,
15475,Fayette County,Pennsylvania,
15476,Fayette County,Pennsylvania,
15477,Washington County,Pennsylvania,
15478,Fayette County,Pennsylvania,
15479,Westmoreland County,Pennsylvania,
15480,Fayette County,Pennsylvania,
15482,Fayette County,Pennsylvania,
15483,Washington County,Pennsylvania,
15484,Fayette County,Pennsylvania,
15485,Somerset County,Pennsylvania,
15486,Fayette County,Pennsylvania,
15488,Fayette County,Pennsylvania,
15489,Fayette County,Pennsylvania,
15490,Fayette County,Pennsylvania,
15492,Fayette County,Pennsylvania,
15501,Somerset County,Pennsylvania,
15502,Somerset County,Pennsylvania,
15510,Somerset County,Pennsylvania,
15520,Somerset County,Pennsylvania,
15521,Bedford County,Pennsylvania,
15522,Bedford County,Pennsylvania,
15530,Somerset County,Pennsylvania,
15531,Somerset County,Pennsylvania,
15532,Somerset County,Pennsylvania,
15533,Bedford County,Pennsylvania,
15534,Bedford County,Pennsylvania,
15535,Bedford County,Pennsylvania,
15536,Fulton County,Pennsylvania,
15537,Bedford County,Pennsylvania,
15538,Somerset County,Pennsylvania,
15539,Bedford County,Pennsylvania,
15540,Somerset County,Pennsylvania,
15541,Somerset County,Pennsylvania,
15542,Somerset County,Pennsylvania,
15544,Somerset County,Pennsylvania,
15545,Bedford County,Pennsylvania,
15546,Somerset County,Pennsylvania,
15547,Somerset County,Pennsylvania,
15548,Somerset County,Pennsylvania,
15549,Somerset County,Pennsylvania,
15550,Bedford County,Pennsylvania,
15551,Somerset County,Pennsylvania,
15552,Somerset County,Pennsylvania,
15553,Somerset County,Pennsylvania,
15554,Bedford County,Pennsylvania,
15555,Somerset County,Pennsylvania,
15557,Somerset County,Pennsylvania,
15558,Somerset County,Pennsylvania,
15559,Bedford County,Pennsylvania,
15560,Somerset County,Pennsylvania,
15561,Somerset County,Pennsylvania,
15562,Somerset County,Pennsylvania,
15563,Somerset County,Pennsylvania,
15564,Somerset County,Pennsylvania,
15565,Somerset County,Pennsylvania,
15601,Westmoreland County,Pennsylvania,
15605,Westmoreland County,Pennsylvania,
15606,Westmoreland County,Pennsylvania,
15610,Westmoreland County,Pennsylvania,
15611,Westmoreland County,Pennsylvania,
15612,Westmoreland County,Pennsylvania,
15613,Westmoreland County,Pennsylvania,
15615,Westmoreland County,Pennsylvania,
15616,Westmoreland County,Pennsylvania,
15617,Westmoreland County,Pennsylvania,
15618,Westmoreland County,Pennsylvania,
15619,Westmoreland County,Pennsylvania,
15620,Westmoreland County,Pennsylvania,
15621,Westmoreland County,Pennsylvania,
15622,Fayette County,Pennsylvania,
15623,Westmoreland County,Pennsylvania,
15624,Westmoreland County,Pennsylvania,
15625,Westmoreland County,Pennsylvania,
15626,Westmoreland County,Pennsylvania,
15627,Westmoreland County,Pennsylvania,
15628,Westmoreland County,Pennsylvania,
15629,Westmoreland County,Pennsylvania,
15631,Fayette County,Pennsylvania,
15632,Westmoreland County,Pennsylvania,
15633,Westmoreland County,Pennsylvania,
15634,Westmoreland County,Pennsylvania,
15635,Westmoreland County,Pennsylvania,
15636,Westmoreland County,Pennsylvania,
15637,Westmoreland County,Pennsylvania,
15638,Westmoreland County,Pennsylvania,
15639,Westmoreland County,Pennsylvania,
15640,Westmoreland County,Pennsylvania,
15641,Westmoreland County,Pennsylvania,
15642,Westmoreland County,Pennsylvania,
15644,Westmoreland County,Pennsylvania,
15646,Westmoreland County,Pennsylvania,
15647,Westmoreland County,Pennsylvania,
15650,Westmoreland County,Pennsylvania,
15655,Westmoreland County,Pennsylvania,
15656,Westmoreland County,Pennsylvania,
15658,Westmoreland County,Pennsylvania,
15660,Westmoreland County,Pennsylvania,
15661,Westmoreland County,Pennsylvania,
15662,Westmoreland County,Pennsylvania,
15663,Westmoreland County,Pennsylvania,
15664,Westmoreland County,Pennsylvania,
15665,Westmoreland County,Pennsylvania,
15666,Westmoreland County,Pennsylvania,
15668,Westmoreland County,Pennsylvania,
15670,Westmoreland County,Pennsylvania,
15671,Westmoreland County,Pennsylvania,
15672,Westmoreland County,Pennsylvania,
15673,Armstrong County,Pennsylvania,
15674,Westmoreland County,Pennsylvania,
15675,Westmoreland County,Pennsylvania,
15676,Westmoreland County,Pennsylvania,
15677,Westmoreland County,Pennsylvania,
15678,Westmoreland County,Pennsylvania,
15679,Westmoreland County,Pennsylvania,
15680,Westmoreland County,Pennsylvania,
15681,Indiana County,Pennsylvania,
15682,Armstrong County,Pennsylvania,
15683,Westmoreland County,Pennsylvania,
15684,Westmoreland County,Pennsylvania,
15685,Westmoreland County,Pennsylvania,
15686,Armstrong County,Pennsylvania,
15687,Westmoreland County,Pennsylvania,
15688,Westmoreland County,Pennsylvania,
15689,Westmoreland County,Pennsylvania,
15690,Westmoreland County,Pennsylvania,
15691,Westmoreland County,Pennsylvania,
15692,Westmoreland County,Pennsylvania,
15693,Westmoreland County,Pennsylvania,
15695,Westmoreland County,Pennsylvania,
15696,Westmoreland County,Pennsylvania,
15697,Westmoreland County,Pennsylvania,
15698,Westmoreland County,Pennsylvania,
15701,Indiana County,Pennsylvania,
15705,Indiana County,Pennsylvania,
15710,Indiana County,Pennsylvania,
15711,Jefferson County,Pennsylvania,
15712,Indiana County,Pennsylvania,
15713,Indiana County,Pennsylvania,
15714,Cambria County,Pennsylvania,
15715,Jefferson County,Pennsylvania,
15716,Indiana County,Pennsylvania,
15717,Indiana County,Pennsylvania,
15720,Indiana County,Pennsylvania,
15721,Clearfield County,Pennsylvania,
15722,Cambria County,Pennsylvania,
15723,Indiana County,Pennsylvania,
15724,Indiana County,Pennsylvania,
15725,Indiana County,Pennsylvania,
15727,Indiana County,Pennsylvania,
15728,Indiana County,Pennsylvania,
15729,Indiana County,Pennsylvania,
15730,Jefferson County,Pennsylvania,
15731,Indiana County,Pennsylvania,
15732,Indiana County,Pennsylvania,
15733,Jefferson County,Pennsylvania,
15734,Indiana County,Pennsylvania,
15736,Armstrong County,Pennsylvania,
15737,Cambria County,Pennsylvania,
15738,Cambria County,Pennsylvania,
15739,Indiana County,Pennsylvania,
15740,Jefferson County,Pennsylvania,
15741,Indiana County,Pennsylvania,
15742,Indiana County,Pennsylvania,
15744,Jefferson County,Pennsylvania,
15745,Indiana County,Pennsylvania,
15746,Indiana County,Pennsylvania,
15747,Indiana County,Pennsylvania,
15748,Indiana County,Pennsylvania,
15750,Indiana County,Pennsylvania,
15752,Indiana County,Pennsylvania,
15753,Clearfield County,Pennsylvania,
15754,Indiana County,Pennsylvania,
15756,Indiana County,Pennsylvania,
15757,Clearfield County,Pennsylvania,
15758,Indiana County,Pennsylvania,
15759,Indiana County,Pennsylvania,
15760,Cambria County,Pennsylvania,
15761,Indiana County,Pennsylvania,
15762,Cambria County,Pennsylvania,
15763,Indiana County,Pennsylvania,
15764,Jefferson County,Pennsylvania,
15765,Indiana County,Pennsylvania,
15767,Jefferson County,Pennsylvania,
15770,Jefferson County,Pennsylvania,
15771,Indiana County,Pennsylvania,
15772,Indiana County,Pennsylvania,
15773,Cambria County,Pennsylvania,
15774,Indiana County,Pennsylvania,
15775,Cambria County,Pennsylvania,
15776,Jefferson County,Pennsylvania,
15777,Indiana County,Pennsylvania,
15778,Jefferson County,Pennsylvania,
15779,Westmoreland County,Pennsylvania,
15780,Jefferson County,Pennsylvania,
15781,Jefferson County,Pennsylvania,
15783,Indiana County,Pennsylvania,
15784,Jefferson County,Pennsylvania,
15801,Clearfield County,Pennsylvania,
15821,Elk County,Pennsylvania,
15822,Elk County,Pennsylvania,
15823,Elk County,Pennsylvania,
15824,Jefferson County,Pennsylvania,
15825,Jefferson County,Pennsylvania,
15827,Elk County,Pennsylvania,
15828,Jefferson County,Pennsylvania,
15829,Jefferson County,Pennsylvania,
15831,Elk County,Pennsylvania,
15832,Cameron County,Pennsylvania,
15834,Cameron County,Pennsylvania,
15840,Jefferson County,Pennsylvania,
15841,Elk County,Pennsylvania,
15845,Elk County,Pennsylvania,
15846,Elk County,Pennsylvania,
15847,Jefferson County,Pennsylvania,
15848,Clearfield County,Pennsylvania,
15849,Clearfield County,Pennsylvania,
15851,Jefferson County,Pennsylvania,
15853,Elk County,Pennsylvania,
15856,Clearfield County,Pennsylvania,
15857,Elk County,Pennsylvania,
15860,Jefferson County,Pennsylvania,
15861,Cameron County,Pennsylvania,
15863,Jefferson County,Pennsylvania,
15864,Jefferson County,Pennsylvania,
15865,Jefferson County,Pennsylvania,
15866,Clearfield County,Pennsylvania,
15868,Elk County,Pennsylvania,
15870,Elk County,Pennsylvania,
15901,Cambria County,Pennsylvania,
15902,Cambria County,Pennsylvania,
15904,Cambria County,Pennsylvania,
15905,Cambria County,Pennsylvania,
15906,Cambria County,Pennsylvania,
15907,Cambria County,Pennsylvania,
15909,Cambria County,Pennsylvania,
15915,Cambria County,Pennsylvania,
15920,Indiana County,Pennsylvania,
15921,Cambria County,Pennsylvania,
15922,Cambria County,Pennsylvania,
15923,Westmoreland County,Pennsylvania,
15924,Somerset County,Pennsylvania,
15925,Cambria County,Pennsylvania,
15926,Somerset County,Pennsylvania,
15927,Cambria County,Pennsylvania,
15928,Somerset County,Pennsylvania,
15929,Indiana County,Pennsylvania,
15930,Cambria County,Pennsylvania,
15931,Cambria County,Pennsylvania,
15934,Cambria County,Pennsylvania,
15935,Somerset County,Pennsylvania,
15936,Somerset County,Pennsylvania,
15937,Somerset County,Pennsylvania,
15938,Cambria County,Pennsylvania,
15940,Cambria County,Pennsylvania,
15942,Cambria County,Pennsylvania,
15943,Cambria County,Pennsylvania,
15944,Westmoreland County,Pennsylvania,
15945,Cambria County,Pennsylvania,
15946,Cambria County,Pennsylvania,
15948,Cambria County,Pennsylvania,
15949,Indiana County,Pennsylvania,
15951,Cambria County,Pennsylvania,
15952,Cambria County,Pennsylvania,
15953,Somerset County,Pennsylvania,
15954,Indiana County,Pennsylvania,
15955,Cambria County,Pennsylvania,
15956,Cambria County,Pennsylvania,
15957,Indiana County,Pennsylvania,
15958,Cambria County,Pennsylvania,
15959,Somerset County,Pennsylvania,
15960,Cambria County,Pennsylvania,
15961,Indiana County,Pennsylvania,
15962,Cambria County,Pennsylvania,
15963,Somerset County,Pennsylvania,
16001,Butler County,Pennsylvania,
16002,Butler County,Pennsylvania,
16003,Butler County,Pennsylvania,
16016,Butler County,Pennsylvania,
16017,Butler County,Pennsylvania,
16018,Butler County,Pennsylvania,
16020,Butler County,Pennsylvania,
16021,Butler County,Pennsylvania,
16022,Butler County,Pennsylvania,
16023,Butler County,Pennsylvania,
16024,Butler County,Pennsylvania,
16025,Butler County,Pennsylvania,
16027,Butler County,Pennsylvania,
16028,Clarion County,Pennsylvania,
16029,Butler County,Pennsylvania,
16030,Butler County,Pennsylvania,
16033,Butler County,Pennsylvania,
16034,Butler County,Pennsylvania,
16035,Butler County,Pennsylvania,
16036,Clarion County,Pennsylvania,
16037,Butler County,Pennsylvania,
16038,Butler County,Pennsylvania,
16039,Butler County,Pennsylvania,
16040,Butler County,Pennsylvania,
16041,Butler County,Pennsylvania,
16045,Butler County,Pennsylvania,
16046,Butler County,Pennsylvania,
16048,Butler County,Pennsylvania,
16049,Clarion County,Pennsylvania,
16050,Butler County,Pennsylvania,
16051,Butler County,Pennsylvania,
16052,Butler County,Pennsylvania,
16053,Butler County,Pennsylvania,
16054,Clarion County,Pennsylvania,
16055,Butler County,Pennsylvania,
16056,Butler County,Pennsylvania,
16057,Butler County,Pennsylvania,
16058,Clarion County,Pennsylvania,
16059,Butler County,Pennsylvania,
16061,Butler County,Pennsylvania,
16063,Butler County,Pennsylvania,
16066,Butler County,Pennsylvania,
16101,Lawrence County,Pennsylvania,
16102,Lawrence County,Pennsylvania,
16103,Lawrence County,Pennsylvania,
16105,Lawrence County,Pennsylvania,
16107,Lawrence County,Pennsylvania,
16108,Lawrence County,Pennsylvania,
16110,Crawford County,Pennsylvania,
16111,Crawford County,Pennsylvania,
16112,Lawrence County,Pennsylvania,
16113,Mercer County,Pennsylvania,
16114,Mercer County,Pennsylvania,
16115,Beaver County,Pennsylvania,
16116,Lawrence County,Pennsylvania,
16117,Lawrence County,Pennsylvania,
16120,Lawrence County,Pennsylvania,
16121,Mercer County,Pennsylvania,
16123,Beaver County,Pennsylvania,
16124,Mercer County,Pennsylvania,
16125,Mercer County,Pennsylvania,
16127,Mercer County,Pennsylvania,
16130,Mercer County,Pennsylvania,
16131,Crawford County,Pennsylvania,
16132,Lawrence County,Pennsylvania,
16133,Mercer County,Pennsylvania,
16134,Crawford County,Pennsylvania,
16136,Beaver County,Pennsylvania,
16137,Mercer County,Pennsylvania,
16140,Lawrence County,Pennsylvania,
16141,Lawrence County,Pennsylvania,
16142,Lawrence County,Pennsylvania,
16143,Lawrence County,Pennsylvania,
16145,Mercer County,Pennsylvania,
16146,Mercer County,Pennsylvania,
16148,Mercer County,Pennsylvania,
16150,Mercer County,Pennsylvania,
16151,Mercer County,Pennsylvania,
16153,Mercer County,Pennsylvania,
16154,Mercer County,Pennsylvania,
16155,Lawrence County,Pennsylvania,
16156,Lawrence County,Pennsylvania,
16157,Lawrence County,Pennsylvania,
16159,Mercer County,Pennsylvania,
16160,Lawrence County,Pennsylvania,
16161,Mercer County,Pennsylvania,
16172,Lawrence County,Pennsylvania,
16201,Armstrong County,Pennsylvania,
16210,Armstrong County,Pennsylvania,
16211,Indiana County,Pennsylvania,
16212,Armstrong County,Pennsylvania,
16213,Clarion County,Pennsylvania,
16214,Clarion County,Pennsylvania,
16215,Armstrong County,Pennsylvania,
16217,Forest County,Pennsylvania,
16218,Armstrong County,Pennsylvania,
16220,Clarion County,Pennsylvania,
16221,Clarion County,Pennsylvania,
16222,Armstrong County,Pennsylvania,
16223,Armstrong County,Pennsylvania,
16224,Clarion County,Pennsylvania,
16225,Clarion County,Pennsylvania,
16226,Armstrong County,Pennsylvania,
16228,Armstrong County,Pennsylvania,
16229,Armstrong County,Pennsylvania,
16230,Clarion County,Pennsylvania,
16232,Clarion County,Pennsylvania,
16233,Clarion County,Pennsylvania,
16234,Clarion County,Pennsylvania,
16235,Clarion County,Pennsylvania,
16236,Armstrong County,Pennsylvania,
16238,Armstrong County,Pennsylvania,
16239,Forest County,Pennsylvania,
16240,Clarion County,Pennsylvania,
16242,Clarion County,Pennsylvania,
16244,Armstrong County,Pennsylvania,
16245,Armstrong County,Pennsylvania,
16246,Indiana County,Pennsylvania,
16248,Clarion County,Pennsylvania,
16249,Armstrong County,Pennsylvania,
16250,Armstrong County,Pennsylvania,
16253,Armstrong County,Pennsylvania,
16254,Clarion County,Pennsylvania,
16255,Clarion County,Pennsylvania,
16256,Indiana County,Pennsylvania,
16257,Clarion County,Pennsylvania,
16258,Clarion County,Pennsylvania,
16259,Armstrong County,Pennsylvania,
16260,Clarion County,Pennsylvania,
16261,Armstrong County,Pennsylvania,
16262,Armstrong County,Pennsylvania,
16263,Armstrong County,Pennsylvania,
16301,Venango County,Pennsylvania,
16311,Mercer County,Pennsylvania,
16312,Warren County,Pennsylvania,
16313,Warren County,Pennsylvania,
16314,Crawford County,Pennsylvania,
16316,Crawford County,Pennsylvania,
16317,Venango County,Pennsylvania,
16319,Venango County,Pennsylvania,
16321,Forest County,Pennsylvania,
16322,Forest County,Pennsylvania,
16323,Venango County,Pennsylvania,
16326,Clarion County,Pennsylvania,
16327,Crawford County,Pennsylvania,
16328,Crawford County,Pennsylvania,
16329,Warren County,Pennsylvania,
16331,Clarion County,Pennsylvania,
16332,Clarion County,Pennsylvania,
16333,McKean County,Pennsylvania,
16334,Clarion County,Pennsylvania,
16335,Crawford County,Pennsylvania,
16340,Warren County,Pennsylvania,
16341,Venango County,Pennsylvania,
16342,Venango County,Pennsylvania,
16343,Venango County,Pennsylvania,
16344,Venango County,Pennsylvania,
16345,Warren County,Pennsylvania,
16346,Venango County,Pennsylvania,
16347,Warren County,Pennsylvania,
16350,Warren County,Pennsylvania,
16351,Warren County,Pennsylvania,
16352,Warren County,Pennsylvania,
16353,Forest County,Pennsylvania,
16354,Crawford County,Pennsylvania,
16360,Crawford County,Pennsylvania,
16361,Clarion County,Pennsylvania,
16362,Venango County,Pennsylvania,
16364,Venango County,Pennsylvania,
16365,Warren County,Pennsylvania,
16366,Warren County,Pennsylvania,
