Zip Code,County,State,Entitlement
00601,Adjuntas Municipio,Puerto Rico,
00602,Aguada Municipio,Puerto Rico,
00603,Aguadilla Municipio,Puerto Rico,
00604,,Puerto Rico,
00605,,Puerto Rico,
00606,Maricao Municipio,Puerto Rico,
00610,A�asco Municipio,Puerto Rico,
00611,,Puerto Rico,
00612,Arecibo Municipio,Puerto Rico,
00613,,Puerto Rico,
00614,,Puerto Rico,
00616,Arecibo Municipio,Puerto Rico,
00617,Barceloneta Municipio,Puerto Rico,
00622,Cabo Rojo Municipio,Puerto Rico,
00623,Cabo Rojo Municipio,Puerto Rico,
00624,Pe�uelas Municipio,Puerto Rico,
00627,Camuy Municipio,Puerto Rico,
00631,Lares Municipio,Puerto Rico,
00636,,Puerto Rico,
00637,Sabana Grande Municipio,Puerto Rico,
00638,Ciales Municipio,Puerto Rico,
00641,Utuado Municipio,Puerto Rico,
00646,Dorado Municipio,Puerto Rico,
00647,Gu�nica Municipio,Puerto Rico,
00650,Florida Municipio,Puerto Rico,
00652,Arecibo Municipio,Puerto Rico,
00653,Gu�nica Municipio,Puerto Rico,
00656,Guayanilla Municipio,Puerto Rico,
00659,Hatillo Municipio,Puerto Rico,
00660,Hormigueros Municipio,Puerto Rico,
00662,Isabela Municipio,Puerto Rico,
00664,Jayuya Municipio,Puerto Rico,
00667,Lajas Municipio,Puerto Rico,
00669,Lares Municipio,Puerto Rico,
00670,Las Mar�as Municipio,Puerto Rico,
00674,Manat� Municipio,Puerto Rico,
00676,Moca Municipio,Puerto Rico,
00677,Rinc�n Municipio,Puerto Rico,
00678,Quebradillas Municipio,Puerto Rico,
00680,Mayag�ez Municipio,Puerto Rico,
00681,,Puerto Rico,
00682,Mayag�ez Municipio,Puerto Rico,
00683,San Germ�n Municipio,Puerto Rico,
00685,San Sebasti�n Municipio,Puerto Rico,
00687,Morovis Municipio,Puerto Rico,
00688,Arecibo Municipio,Puerto Rico,
00690,Aguadilla Municipio,Puerto Rico,
00692,Vega Alta Municipio,Puerto Rico,
00693,Vega Baja Municipio,Puerto Rico,
00694,Vega Baja Municipio,Puerto Rico,
00698,Yauco Municipio,Puerto Rico,
00703,Aguas Buenas Municipio,Puerto Rico,
00704,Salinas Municipio,Puerto Rico,
00705,Aibonito Municipio,Puerto Rico,
00707,Maunabo Municipio,Puerto Rico,
00714,Arroyo Municipio,Puerto Rico,
00715,Ponce Municipio,Puerto Rico,
00716,Ponce Municipio,Puerto Rico,
00717,Ponce Municipio,Puerto Rico,
00718,Naguabo Municipio,Puerto Rico,
00719,Naranjito Municipio,Puerto Rico,
00720,Orocovis Municipio,Puerto Rico,
00721,,Puerto Rico,
00723,Patillas Municipio,Puerto Rico,
00725,Caguas Municipio,Puerto Rico,
00726,,Puerto Rico,
00727,Caguas Municipio,Puerto Rico,
00728,Ponce Municipio,Puerto Rico,
00729,Can�vanas Municipio,Puerto Rico,
00730,Ponce Municipio,Puerto Rico,
00731,Ponce Municipio,Puerto Rico,
00732,,Puerto Rico,
00733,,Puerto Rico,
00734,,Puerto Rico,
00735,Ceiba Municipio,Puerto Rico,
00736,Cayey Municipio,Puerto Rico,
00737,,Puerto Rico,
00738,Fajardo Municipio,Puerto Rico,
00739,Cidra Municipio,Puerto Rico,
00740,Fajardo Municipio,Puerto Rico,
00741,Humacao Municipio,Puerto Rico,
00742,,Puerto Rico,
00744,,Puerto Rico,
00745,R�o Grande Municipio,Puerto Rico,
00751,Salinas Municipio,Puerto Rico,
00754,San Lorenzo Municipio,Puerto Rico,
00757,Santa Isabel Municipio,Puerto Rico,
00765,Vieques Municipio,Puerto Rico,
00766,Villalba Municipio,Puerto Rico,
00767,Yabucoa Municipio,Puerto Rico,
00769,Coamo Municipio,Puerto Rico,
00771,Las Piedras Municipio,Puerto Rico,
00772,Lo�za Municipio,Puerto Rico,
00773,Luquillo Municipio,Puerto Rico,
00775,Culebra Municipio,Puerto Rico,
00777,Juncos Municipio,Puerto Rico,
00778,Gurabo Municipio,Puerto Rico,
00780,Ponce Municipio,Puerto Rico,
00782,Comer�o Municipio,Puerto Rico,
00783,Corozal Municipio,Puerto Rico,
00784,Guayama Municipio,Puerto Rico,
00785,,Puerto Rico,
00786,Aibonito Municipio,Puerto Rico,
00791,Humacao Municipio,Puerto Rico,
00792,,Puerto Rico,
00794,Barranquitas Municipio,Puerto Rico,
00795,Juana D�az Municipio,Puerto Rico,
00901,San Juan Municipio,Puerto Rico,
00902,,Puerto Rico,
00906,San Juan Municipio,Puerto Rico,
00907,San Juan Municipio,Puerto Rico,
00908,,Puerto Rico,
00909,San Juan Municipio,Puerto Rico,
00910,,Puerto Rico,
00911,San Juan Municipio,Puerto Rico,
00912,San Juan Municipio,Puerto Rico,
00913,San Juan Municipio,Puerto Rico,
00914,,Puerto Rico,
00915,San Juan Municipio,Puerto Rico,
00916,,Puerto Rico,
00917,San Juan Municipio,Puerto Rico,
00918,San Juan Municipio,Puerto Rico,
00919,,Puerto Rico,
00920,San Juan Municipio,Puerto Rico,
00921,San Juan Municipio,Puerto Rico,
00922,,Puerto Rico,
