Zip Code,County,State,Entitlement
02801,Newport County,Rhode Island,
02802,Providence County,Rhode Island,
02804,Washington County,Rhode Island,
02806,Bristol County,Rhode Island,
02807,Washington County,Rhode Island,
02808,Washington County,Rhode Island,
02809,Bristol County,Rhode Island,
02812,Washington County,Rhode Island,
02813,Washington County,Rhode Island,
02814,Providence County,Rhode Island,
02815,Providence County,Rhode Island,
02816,Kent County,Rhode Island,
02817,Kent County,Rhode Island,
02818,Kent County,Rhode Island,
02822,Washington County,Rhode Island,
02823,Providence County,Rhode Island,
02824,Providence County,Rhode Island,
02825,Providence County,Rhode Island,
02826,Providence County,Rhode Island,
02827,Kent County,Rhode Island,
02828,Providence County,Rhode Island,
02829,Providence County,Rhode Island,
02830,Providence County,Rhode Island,
02831,Providence County,Rhode Island,
02832,Washington County,Rhode Island,
02833,Washington County,Rhode Island,
02835,Newport County,Rhode Island,
02836,Washington County,Rhode Island,
02837,Newport County,Rhode Island,
02838,Providence County,Rhode Island,
02839,Providence County,Rhode Island,
02840,Newport County,Rhode Island,
02841,Newport County,Rhode Island,
02842,Newport County,Rhode Island,
02852,Washington County,Rhode Island,
02854,Washington County,Rhode Island,
02857,Providence County,Rhode Island,
02858,Providence County,Rhode Island,
02859,Providence County,Rhode Island,
02860,Providence County,Rhode Island,
02861,Providence County,Rhode Island,
02862,Providence County,Rhode Island,
02863,Providence County,Rhode Island,
02864,Providence County,Rhode Island,
02865,Providence County,Rhode Island,
02871,Newport County,Rhode Island,
02872,Newport County,Rhode Island,
02873,Washington County,Rhode Island,
02874,Washington County,Rhode Island,
02875,Washington County,Rhode Island,
02876,Providence County,Rhode Island,
02877,Washington County,Rhode Island,
02878,Newport County,Rhode Island,
02879,Washington County,Rhode Island,
02880,Washington County,Rhode Island,
02881,Washington County,Rhode Island,
02882,Washington County,Rhode Island,
02883,Washington County,Rhode Island,
02885,Bristol County,Rhode Island,
02886,Kent County,Rhode Island,
02887,Kent County,Rhode Island,
02888,Kent County,Rhode Island,
02889,Kent County,Rhode Island,
02891,Washington County,Rhode Island,
02892,Washington County,Rhode Island,
02893,Kent County,Rhode Island,
02894,Washington County,Rhode Island,
02895,Providence County,Rhode Island,
02896,Providence County,Rhode Island,
02898,Washington County,Rhode Island,
02901,Providence County,Rhode Island,
02902,Providence County,Rhode Island,
02903,Providence County,Rhode Island,
02904,Providence County,Rhode Island,
02905,Providence County,Rhode Island,
02906,Providence County,Rhode Island,
02907,Providence County,Rhode Island,
02908,Providence County,Rhode Island,
02909,Providence County,Rhode Island,
02910,Providence County,Rhode Island,
02911,Providence County,Rhode Island,
02912,Providence County,Rhode Island,
02914,Providence County,Rhode Island,
02915,Providence County,Rhode Island,
02916,Providence County,Rhode Island,
02917,Providence County,Rhode Island,
02918,Providence County,Rhode Island,
02919,Providence County,Rhode Island,
02920,Providence County,Rhode Island,
02921,Providence County,Rhode Island,
02940,Providence County,Rhode Island,
