Zip Code,County,State,Entitlement
29001,Clarendon County,South Carolina,
29002,Richland County,South Carolina,
29003,Bamberg County,South Carolina,
29006,Lexington County,South Carolina,
29009,Kershaw County,South Carolina,
29010,Lee County,South Carolina,
29014,Chester County,South Carolina,
29015,Fairfield County,South Carolina,
29016,Richland County,South Carolina,
29018,Orangeburg County,South Carolina,
29020,Kershaw County,South Carolina,
29021,Kershaw County,South Carolina,
29030,Calhoun County,South Carolina,
29031,Union County,South Carolina,
29032,Kershaw County,South Carolina,
29033,Lexington County,South Carolina,
29036,Lexington County,South Carolina,
29037,Newberry County,South Carolina,
29038,Orangeburg County,South Carolina,
29039,Orangeburg County,South Carolina,
29040,Sumter County,South Carolina,
29041,Clarendon County,South Carolina,
29042,Bamberg County,South Carolina,
29044,Richland County,South Carolina,
29045,Kershaw County,South Carolina,
29046,Lee County,South Carolina,
29047,Orangeburg County,South Carolina,
29048,Orangeburg County,South Carolina,
29051,Sumter County,South Carolina,
29052,Richland County,South Carolina,
29053,Lexington County,South Carolina,
29054,Lexington County,South Carolina,
29055,Chester County,South Carolina,
29056,Williamsburg County,South Carolina,
29058,Lancaster County,South Carolina,
29059,Orangeburg County,South Carolina,
29061,Richland County,South Carolina,
29062,Sumter County,South Carolina,
29063,Richland County,South Carolina,
29065,Fairfield County,South Carolina,
29067,Lancaster County,South Carolina,
29069,Darlington County,South Carolina,
29070,Lexington County,South Carolina,
29071,Lexington County,South Carolina,
29072,Lexington County,South Carolina,
29073,Lexington County,South Carolina,
29074,Kershaw County,South Carolina,
29075,Newberry County,South Carolina,
29078,Kershaw County,South Carolina,
29079,Darlington County,South Carolina,
29080,Lee County,South Carolina,
29081,Bamberg County,South Carolina,
29082,Colleton County,South Carolina,
29101,Chesterfield County,South Carolina,
29102,Clarendon County,South Carolina,
29104,Sumter County,South Carolina,
29105,Aiken County,South Carolina,
29107,Orangeburg County,South Carolina,
29108,Newberry County,South Carolina,
29111,Clarendon County,South Carolina,
29112,Orangeburg County,South Carolina,
29113,Orangeburg County,South Carolina,
29114,Florence County,South Carolina,
29115,Orangeburg County,South Carolina,
29116,Orangeburg County,South Carolina,
29117,Orangeburg County,South Carolina,
29118,Orangeburg County,South Carolina,
29122,Newberry County,South Carolina,
29123,Lexington County,South Carolina,
29125,Sumter County,South Carolina,
29126,Newberry County,South Carolina,
29127,Newberry County,South Carolina,
29128,Sumter County,South Carolina,
29129,Aiken County,South Carolina,
29130,Fairfield County,South Carolina,
29132,Fairfield County,South Carolina,
29133,Orangeburg County,South Carolina,
29135,Calhoun County,South Carolina,
29137,Aiken County,South Carolina,
29138,Saluda County,South Carolina,
29142,Orangeburg County,South Carolina,
29143,Clarendon County,South Carolina,
29145,Newberry County,South Carolina,
29146,Orangeburg County,South Carolina,
29147,Richland County,South Carolina,
29148,Clarendon County,South Carolina,
29150,Sumter County,South Carolina,
29151,Sumter County,South Carolina,
29152,Sumter County,South Carolina,
29153,Sumter County,South Carolina,
29154,Sumter County,South Carolina,
29160,Lexington County,South Carolina,
29161,Florence County,South Carolina,
29162,Clarendon County,South Carolina,
