Zip Code,County,State,Entitlement
57001,Union County,South Dakota,
57002,Brookings County,South Dakota,
57003,Minnehaha County,South Dakota,
57004,Union County,South Dakota,
57005,Minnehaha County,South Dakota,
57006,Brookings County,South Dakota,
57007,Brookings County,South Dakota,
57010,Clay County,South Dakota,
57012,McCook County,South Dakota,
57013,Lincoln County,South Dakota,
57014,Turner County,South Dakota,
57015,Turner County,South Dakota,
57016,Lake County,South Dakota,
57017,Moody County,South Dakota,
57018,Minnehaha County,South Dakota,
57020,Minnehaha County,South Dakota,
57021,Turner County,South Dakota,
57022,Minnehaha County,South Dakota,
57024,Moody County,South Dakota,
57025,Union County,South Dakota,
57026,Brookings County,South Dakota,
57027,Lincoln County,South Dakota,
57028,Moody County,South Dakota,
57029,Hutchinson County,South Dakota,
57030,Minnehaha County,South Dakota,
57031,Yankton County,South Dakota,
57032,Lincoln County,South Dakota,
57033,Minnehaha County,South Dakota,
57034,Lincoln County,South Dakota,
57035,Minnehaha County,South Dakota,
57036,Turner County,South Dakota,
57037,Yankton County,South Dakota,
57038,Union County,South Dakota,
57039,Lincoln County,South Dakota,
57040,Yankton County,South Dakota,
57041,Minnehaha County,South Dakota,
57042,Lake County,South Dakota,
57043,Turner County,South Dakota,
57045,Hutchinson County,South Dakota,
57046,Yankton County,South Dakota,
57047,Turner County,South Dakota,
57048,McCook County,South Dakota,
57049,Union County,South Dakota,
57050,Lake County,South Dakota,
57051,Kingsbury County,South Dakota,
57052,Hutchinson County,South Dakota,
57053,Turner County,South Dakota,
57054,Lake County,South Dakota,
57055,Minnehaha County,South Dakota,
57056,Minnehaha County,South Dakota,
57057,Lake County,South Dakota,
57058,McCook County,South Dakota,
57059,Bon Homme County,South Dakota,
57061,Brookings County,South Dakota,
57062,Bon Homme County,South Dakota,
57063,Bon Homme County,South Dakota,
57064,Lincoln County,South Dakota,
57065,Moody County,South Dakota,
57066,Bon Homme County,South Dakota,
57067,Yankton County,South Dakota,
57068,Minnehaha County,South Dakota,
57069,Clay County,South Dakota,
57070,Turner County,South Dakota,
57071,Brookings County,South Dakota,
57072,Yankton County,South Dakota,
57073,Clay County,South Dakota,
57075,Lake County,South Dakota,
57076,Lake County,South Dakota,
57077,Lincoln County,South Dakota,
57078,Yankton County,South Dakota,
57079,Yankton County,South Dakota,
57101,Minnehaha County,South Dakota,
57103,Minnehaha County,South Dakota,
57104,Minnehaha County,South Dakota,
57105,Minnehaha County,South Dakota,
57106,Minnehaha County,South Dakota,
57107,Minnehaha County,South Dakota,
57108,Lincoln County,South Dakota,
57109,Minnehaha County,South Dakota,
57110,Minnehaha County,South Dakota,
57117,Minnehaha County,South Dakota,
57118,Minnehaha County,South Dakota,
57186,Minnehaha County,South Dakota,
57188,Minnehaha County,South Dakota,
57189,Minnehaha County,South Dakota,
57192,Minnehaha County,South Dakota,
57193,Minnehaha County,South Dakota,
57194,Minnehaha County,South Dakota,
57195,Minnehaha County,South Dakota,
57196,Minnehaha County,South Dakota,
57197,Minnehaha County,South Dakota,
57198,Minnehaha County,South Dakota,
57201,Codington County,South Dakota,
57212,Kingsbury County,South Dakota,
57213,Deuel County,South Dakota,
57214,Kingsbury County,South Dakota,
57216,Grant County,South Dakota,
57217,Clark County,South Dakota,
57218,Deuel County,South Dakota,
57219,Day County,South Dakota,
57220,Brookings County,South Dakota,
57221,Hamlin County,South Dakota,
57223,Hamlin County,South Dakota,
57224,Roberts County,South Dakota,
57225,Clark County,South Dakota,
57226,Deuel County,South Dakota,
57227,Roberts County,South Dakota,
57231,Kingsbury County,South Dakota,
57232,Marshall County,South Dakota,
57233,Kingsbury County,South Dakota,
57234,Hamlin County,South Dakota,
57235,Codington County,South Dakota,
57236,Clark County,South Dakota,
57237,Deuel County,South Dakota,
57238,Deuel County,South Dakota,
57239,Day County,South Dakota,
57241,Hamlin County,South Dakota,
57242,Hamlin County,South Dakota,
57243,Codington County,South Dakota,
57245,Codington County,South Dakota,
57246,Grant County,South Dakota,
57247,Marshall County,South Dakota,
57248,Hamlin County,South Dakota,
57249,Kingsbury County,South Dakota,
57251,Grant County,South Dakota,
57252,Grant County,South Dakota,
57253,Grant County,South Dakota,
57255,Roberts County,South Dakota,
57256,Roberts County,South Dakota,
57257,Roberts County,South Dakota,
