Zip Code,County,State,Entitlement
37010,Montgomery County,Tennessee,
37011,Davidson County,Tennessee,
37012,DeKalb County,Tennessee,
37013,Davidson County,Tennessee,
37014,Williamson County,Tennessee,
37015,Cheatham County,Tennessee,
37016,Cannon County,Tennessee,
37018,Coffee County,Tennessee,
37019,Marshall County,Tennessee,
37020,Bedford County,Tennessee,
37022,Sumner County,Tennessee,
37023,Stewart County,Tennessee,
37024,Williamson County,Tennessee,
37025,Hickman County,Tennessee,
37026,Cannon County,Tennessee,
37027,Williamson County,Tennessee,
37028,Stewart County,Tennessee,
37029,Dickson County,Tennessee,
37030,Smith County,Tennessee,
37031,Sumner County,Tennessee,
37032,Robertson County,Tennessee,
37033,Hickman County,Tennessee,
37034,Marshall County,Tennessee,
37035,Cheatham County,Tennessee,
37036,Dickson County,Tennessee,
37037,Rutherford County,Tennessee,
37040,Montgomery County,Tennessee,
37041,Montgomery County,Tennessee,
37042,Montgomery County,Tennessee,
37043,Montgomery County,Tennessee,
37044,Montgomery County,Tennessee,
37046,Williamson County,Tennessee,
37047,Marshall County,Tennessee,
37048,Sumner County,Tennessee,
37049,Robertson County,Tennessee,
37050,Stewart County,Tennessee,
37051,Dickson County,Tennessee,
37052,Montgomery County,Tennessee,
37055,Dickson County,Tennessee,
37056,Dickson County,Tennessee,
37057,Smith County,Tennessee,
37058,Stewart County,Tennessee,
37059,DeKalb County,Tennessee,
37060,Rutherford County,Tennessee,
37061,Houston County,Tennessee,
37062,Williamson County,Tennessee,
37063,Rutherford County,Tennessee,
37064,Williamson County,Tennessee,
37065,Williamson County,Tennessee,
37066,Sumner County,Tennessee,
37067,Williamson County,Tennessee,
37068,Williamson County,Tennessee,
37069,Williamson County,Tennessee,
37070,Davidson County,Tennessee,
37071,Wilson County,Tennessee,
37072,Davidson County,Tennessee,
37073,Robertson County,Tennessee,
37074,Trousdale County,Tennessee,
37075,Sumner County,Tennessee,
37076,Davidson County,Tennessee,
37077,Sumner County,Tennessee,
37078,Humphreys County,Tennessee,
37079,Stewart County,Tennessee,
37080,Davidson County,Tennessee,
37082,Cheatham County,Tennessee,
37083,Macon County,Tennessee,
37085,Rutherford County,Tennessee,
37086,Rutherford County,Tennessee,
37087,Wilson County,Tennessee,
37088,Wilson County,Tennessee,
37089,Rutherford County,Tennessee,
37090,Wilson County,Tennessee,
37091,Marshall County,Tennessee,
37095,DeKalb County,Tennessee,
37096,Perry County,Tennessee,
37097,Perry County,Tennessee,
37098,Hickman County,Tennessee,
37101,Humphreys County,Tennessee,
37110,Warren County,Tennessee,
37111,Warren County,Tennessee,
37115,Davidson County,Tennessee,
37116,Davidson County,Tennessee,
37118,Rutherford County,Tennessee,
37119,Sumner County,Tennessee,
37121,Wilson County,Tennessee,
37122,Wilson County,Tennessee,
37127,Rutherford County,Tennessee,
37128,Rutherford County,Tennessee,
37129,Rutherford County,Tennessee,
37130,Rutherford County,Tennessee,
37131,Rutherford County,Tennessee,
37132,Rutherford County,Tennessee,
37133,Rutherford County,Tennessee,
37134,Humphreys County,Tennessee,
37135,Williamson County,Tennessee,
37136,Wilson County,Tennessee,
37137,Hickman County,Tennessee,
37138,Davidson County,Tennessee,
37140,Hickman County,Tennessee,
37141,Robertson County,Tennessee,
37142,Montgomery County,Tennessee,
37143,Cheatham County,Tennessee,
37144,Lincoln County,Tennessee,
37145,Smith County,Tennessee,
37146,Cheatham County,Tennessee,
37148,Sumner County,Tennessee,
37149,Cannon County,Tennessee,
37150,Macon County,Tennessee,
37151,Smith County,Tennessee,
37152,Robertson County,Tennessee,
37153,Rutherford County,Tennessee,
37160,Bedford County,Tennessee,
37161,Bedford County,Tennessee,
37162,Bedford County,Tennessee,
37165,Dickson County,Tennessee,
37166,DeKalb County,Tennessee,
37167,Rutherford County,Tennessee,
37171,Montgomery County,Tennessee,
37172,Robertson County,Tennessee,
37174,Williamson County,Tennessee,
37175,Houston County,Tennessee,
37178,Houston County,Tennessee,
37179,Williamson County,Tennessee,
37180,Bedford County,Tennessee,
37181,Dickson County,Tennessee,
37183,Bedford County,Tennessee,
37184,Wilson County,Tennessee,
37185,Humphreys County,Tennessee,
37186,Sumner County,Tennessee,
37187,Dickson County,Tennessee,
37188,Robertson County,Tennessee,
37189,Davidson County,Tennessee,
37190,Cannon County,Tennessee,
