Zip Code,County,State,Entitlement
73301,Travis County,Texas,
73344,Travis County,Texas,
73960,Sherman County,Texas,
75001,Dallas County,Texas,
75002,Collin County,Texas,
75006,Dallas County,Texas,
75007,Denton County,Texas,
75009,Collin County,Texas,
75010,Denton County,Texas,
75011,Dallas County,Texas,
75013,Collin County,Texas,
75014,Dallas County,Texas,
75015,Dallas County,Texas,
75016,Dallas County,Texas,
75017,Dallas County,Texas,
75019,Dallas County,Texas,
75020,Grayson County,Texas,
75021,Grayson County,Texas,
75022,Denton County,Texas,
75023,Collin County,Texas,
75024,Collin County,Texas,
75025,Collin County,Texas,
75026,Collin County,Texas,
75027,Denton County,Texas,
75028,Denton County,Texas,
75029,Denton County,Texas,
75030,Dallas County,Texas,
75032,Rockwall County,Texas,
75033,,Texas,
75034,Denton County,Texas,
75035,Collin County,Texas,
75036,Denton County,Texas,
75037,Dallas County,Texas,
75038,Dallas County,Texas,
75039,Dallas County,Texas,
75040,Dallas County,Texas,
75041,Dallas County,Texas,
75042,Dallas County,Texas,
75043,Dallas County,Texas,
75044,Dallas County,Texas,
75045,Dallas County,Texas,
75046,Dallas County,Texas,
75047,Dallas County,Texas,
75048,Dallas County,Texas,
75049,Dallas County,Texas,
75050,Dallas County,Texas,
75051,Dallas County,Texas,
75052,Dallas County,Texas,
75053,Dallas County,Texas,
75054,Tarrant County,Texas,
75056,Denton County,Texas,
75057,Denton County,Texas,
75058,Grayson County,Texas,
75059,,Texas,
75060,Dallas County,Texas,
75061,Dallas County,Texas,
75062,Dallas County,Texas,
75063,Dallas County,Texas,
75064,,Texas,
75065,Denton County,Texas,
75067,Denton County,Texas,
75068,Denton County,Texas,
75069,Collin County,Texas,
75070,Collin County,Texas,
75071,Collin County,Texas,
75072,Collin County,Texas,
75074,Collin County,Texas,
75075,Collin County,Texas,
75076,Grayson County,Texas,
75077,Denton County,Texas,
75078,Collin County,Texas,
75080,Dallas County,Texas,
75081,Dallas County,Texas,
75082,Collin County,Texas,
75083,Dallas County,Texas,
75085,Dallas County,Texas,
75086,Collin County,Texas,
75087,Rockwall County,Texas,
75088,Dallas County,Texas,
75089,Dallas County,Texas,
75090,Grayson County,Texas,
75091,Grayson County,Texas,
75092,Grayson County,Texas,
75093,Collin County,Texas,
75094,Collin County,Texas,
75097,Collin County,Texas,
75098,Collin County,Texas,
75099,Dallas County,Texas,
75101,Ellis County,Texas,
75102,Navarro County,Texas,
75103,Van Zandt County,Texas,
75104,Dallas County,Texas,
75105,Navarro County,Texas,
75106,Dallas County,Texas,
75109,Navarro County,Texas,
75110,Navarro County,Texas,
75114,Kaufman County,Texas,
75115,Dallas County,Texas,
75116,Dallas County,Texas,
75117,Van Zandt County,Texas,
75118,Kaufman County,Texas,
75119,Ellis County,Texas,
75120,Ellis County,Texas,
75121,Collin County,Texas,
75123,Dallas County,Texas,
75124,Henderson County,Texas,
75125,Ellis County,Texas,
75126,Kaufman County,Texas,
75127,Van Zandt County,Texas,
75132,Rockwall County,Texas,
75134,Dallas County,Texas,
75135,Hunt County,Texas,
75137,Dallas County,Texas,
75138,Dallas County,Texas,
75140,Van Zandt County,Texas,
75141,Dallas County,Texas,
75142,Kaufman County,Texas,
75143,Henderson County,Texas,
75144,Navarro County,Texas,
75146,Dallas County,Texas,
75147,Kaufman County,Texas,
75148,Henderson County,Texas,
75149,Dallas County,Texas,
75150,Dallas County,Texas,
75151,Navarro County,Texas,
75152,Ellis County,Texas,
75153,Navarro County,Texas,
75154,Ellis County,Texas,
75155,Navarro County,Texas,
75156,Henderson County,Texas,
75157,Kaufman County,Texas,
75158,Kaufman County,Texas,
75159,Dallas County,Texas,
75160,Kaufman County,Texas,
75161,Kaufman County,Texas,
75163,Henderson County,Texas,
75164,Collin County,Texas,
75165,Ellis County,Texas,
75166,Collin County,Texas,
75167,Ellis County,Texas,
75168,Ellis County,Texas,
75169,Van Zandt County,Texas,
75172,Dallas County,Texas,
75173,Collin County,Texas,
75180,Dallas County,Texas,
75181,Dallas County,Texas,
75182,Dallas County,Texas,
75185,Dallas County,Texas,
75187,Dallas County,Texas,
75189,Rockwall County,Texas,
75201,Dallas County,Texas,
75202,Dallas County,Texas,
75203,Dallas County,Texas,
75204,Dallas County,Texas,
75205,Dallas County,Texas,
75206,Dallas County,Texas,
75207,Dallas County,Texas,
75208,Dallas County,Texas,
75209,Dallas County,Texas,
75210,Dallas County,Texas,
75211,Dallas County,Texas,
75212,Dallas County,Texas,
75214,Dallas County,Texas,
75215,Dallas County,Texas,
75216,Dallas County,Texas,
75217,Dallas County,Texas,
75218,Dallas County,Texas,
75219,Dallas County,Texas,
75220,Dallas County,Texas,
75221,Dallas County,Texas,
75222,Dallas County,Texas,
75223,Dallas County,Texas,
75224,Dallas County,Texas,
75225,Dallas County,Texas,
75226,Dallas County,Texas,
75227,Dallas County,Texas,
75228,Dallas County,Texas,
75229,Dallas County,Texas,
75230,Dallas County,Texas,
75231,Dallas County,Texas,
75232,Dallas County,Texas,
75233,Dallas County,Texas,
75234,Dallas County,Texas,
75235,Dallas County,Texas,
75236,Dallas County,Texas,
75237,Dallas County,Texas,
75238,Dallas County,Texas,
75240,Dallas County,Texas,
75241,Dallas County,Texas,
75242,Dallas County,Texas,
75243,Dallas County,Texas,
75244,Dallas County,Texas,
75245,Dallas County,Texas,
75246,Dallas County,Texas,
75247,Dallas County,Texas,
75248,Dallas County,Texas,
75249,Dallas County,Texas,
75250,Dallas County,Texas,
75251,Dallas County,Texas,
75252,Collin County,Texas,
75253,Dallas County,Texas,
75254,Dallas County,Texas,
75258,Dallas County,Texas,
75260,Dallas County,Texas,
75261,Tarrant County,Texas,
75262,Dallas County,Texas,
75263,Dallas County,Texas,
75264,Dallas County,Texas,
75265,Dallas County,Texas,
75266,Dallas County,Texas,
75267,Dallas County,Texas,
75270,Dallas County,Texas,
75275,Dallas County,Texas,
75277,Dallas County,Texas,
75283,Dallas County,Texas,
75284,Dallas County,Texas,
75285,Dallas County,Texas,
75286,Dallas County,Texas,
75287,Denton County,Texas,
75301,Dallas County,Texas,
75303,Dallas County,Texas,
75310,Dallas County,Texas,
75312,Dallas County,Texas,
75313,Dallas County,Texas,
75315,Dallas County,Texas,
75320,Dallas County,Texas,
75323,Dallas County,Texas,
75326,Dallas County,Texas,
75334,Dallas County,Texas,
75336,Dallas County,Texas,
75339,Dallas County,Texas,
75340,Dallas County,Texas,
75342,Dallas County,Texas,
75343,Dallas County,Texas,
75344,Dallas County,Texas,
75353,Dallas County,Texas,
75354,Dallas County,Texas,
75355,Dallas County,Texas,
75356,Dallas County,Texas,
75357,Dallas County,Texas,
75358,Dallas County,Texas,
75359,Dallas County,Texas,
75360,Dallas County,Texas,
75363,Dallas County,Texas,
75364,Dallas County,Texas,
75367,Dallas County,Texas,
75368,Dallas County,Texas,
75370,Dallas County,Texas,
75371,Dallas County,Texas,
75372,Dallas County,Texas,
75373,Dallas County,Texas,
75374,Dallas County,Texas,
75376,Dallas County,Texas,
75378,Dallas County,Texas,
75379,Dallas County,Texas,
75380,Dallas County,Texas,
75381,Dallas County,Texas,
75382,Dallas County,Texas,
75386,Dallas County,Texas,
75387,Dallas County,Texas,
75388,Dallas County,Texas,
75389,Dallas County,Texas,
75390,Dallas County,Texas,
75391,Dallas County,Texas,
75392,Dallas County,Texas,
75393,Dallas County,Texas,
75394,Dallas County,Texas,
75395,Dallas County,Texas,
75396,Dallas County,Texas,
75397,Dallas County,Texas,
75398,Dallas County,Texas,
75401,Hunt County,Texas,
75402,Hunt County,Texas,
75403,Hunt County,Texas,
75404,Hunt County,Texas,
75407,Collin County,Texas,
75409,Collin County,Texas,
75410,Wood County,Texas,
75411,Lamar County,Texas,
75412,Red River County,Texas,
75413,Fannin County,Texas,
75414,Grayson County,Texas,
75415,Delta County,Texas,
75416,Lamar County,Texas,
75417,Red River County,Texas,
75418,Fannin County,Texas,
75420,Hopkins County,Texas,
75421,Lamar County,Texas,
