Zip Code,County,State,Entitlement
84001,Duchesne County,Utah,
84002,Duchesne County,Utah,
84003,Utah County,Utah,
84004,Utah County,Utah,
84005,Utah County,Utah,
84006,Salt Lake County,Utah,
84007,Duchesne County,Utah,
84008,Uintah County,Utah,
84009,Salt Lake County,Utah,
84010,Davis County,Utah,
84011,Davis County,Utah,
84013,Utah County,Utah,
84014,Davis County,Utah,
84015,Davis County,Utah,
84016,Davis County,Utah,
84017,Summit County,Utah,
84018,Morgan County,Utah,
84020,Salt Lake County,Utah,
84021,Duchesne County,Utah,
84022,Tooele County,Utah,
84023,Daggett County,Utah,
84024,Summit County,Utah,
84025,Davis County,Utah,
84026,Uintah County,Utah,
84027,Duchesne County,Utah,
84028,Rich County,Utah,
84029,Tooele County,Utah,
84031,Duchesne County,Utah,
84032,Wasatch County,Utah,
84033,Summit County,Utah,
84034,Tooele County,Utah,
84035,Uintah County,Utah,
84036,Summit County,Utah,
84037,Davis County,Utah,
84038,Rich County,Utah,
84039,Uintah County,Utah,
84040,Davis County,Utah,
84041,Davis County,Utah,
84042,Utah County,Utah,
84043,Utah County,Utah,
84044,Salt Lake County,Utah,
84045,Utah County,Utah,
84046,Daggett County,Utah,
84047,Salt Lake County,Utah,
84049,Wasatch County,Utah,
84050,Morgan County,Utah,
84051,Duchesne County,Utah,
84052,Duchesne County,Utah,
84053,Duchesne County,Utah,
84054,Davis County,Utah,
84055,Summit County,Utah,
84056,Davis County,Utah,
84057,Utah County,Utah,
84058,Utah County,Utah,
84059,Utah County,Utah,
84060,Summit County,Utah,
84061,Summit County,Utah,
84062,Utah County,Utah,
84063,Uintah County,Utah,
84064,Rich County,Utah,
84065,Salt Lake County,Utah,
84066,Duchesne County,Utah,
84067,Weber County,Utah,
84068,Summit County,Utah,
84069,Tooele County,Utah,
84070,Salt Lake County,Utah,
84071,Tooele County,Utah,
84072,Duchesne County,Utah,
84073,Duchesne County,Utah,
84074,Tooele County,Utah,
84075,Davis County,Utah,
84076,Uintah County,Utah,
84078,Uintah County,Utah,
84079,Uintah County,Utah,
84080,Tooele County,Utah,
84081,Salt Lake County,Utah,
84082,Wasatch County,Utah,
84083,Tooele County,Utah,
84084,Salt Lake County,Utah,
84085,Uintah County,Utah,
84086,Rich County,Utah,
84087,Davis County,Utah,
84088,Salt Lake County,Utah,
84089,Davis County,Utah,
84090,Salt Lake County,Utah,
84091,Salt Lake County,Utah,
84092,Salt Lake County,Utah,
84093,Salt Lake County,Utah,
84094,Salt Lake County,Utah,
84095,Salt Lake County,Utah,
84096,Salt Lake County,Utah,
84097,Utah County,Utah,
84098,Summit County,Utah,
84101,Salt Lake County,Utah,
84102,Salt Lake County,Utah,
84103,Salt Lake County,Utah,
84104,Salt Lake County,Utah,
84105,Salt Lake County,Utah,
84106,Salt Lake County,Utah,
84107,Salt Lake County,Utah,
84108,Salt Lake County,Utah,
84109,Salt Lake County,Utah,
84110,Salt Lake County,Utah,
84111,Salt Lake County,Utah,
84112,Salt Lake County,Utah,
84113,Salt Lake County,Utah,
84114,Salt Lake County,Utah,
84115,Salt Lake County,Utah,
84116,Salt Lake County,Utah,
84117,Salt Lake County,Utah,
84118,Salt Lake County,Utah,
84119,Salt Lake County,Utah,
84120,Salt Lake County,Utah,
84121,Salt Lake County,Utah,
84122,Salt Lake County,Utah,
84123,Salt Lake County,Utah,
84124,Salt Lake County,Utah,
84125,Salt Lake County,Utah,
84126,Salt Lake County,Utah,
84127,Salt Lake County,Utah,
84128,Salt Lake County,Utah,
84129,,Utah,
84130,Salt Lake County,Utah,
84131,Salt Lake County,Utah,
84132,Salt Lake County,Utah,
84133,Salt Lake County,Utah,
84134,Salt Lake County,Utah,
84136,Salt Lake County,Utah,
84138,Salt Lake County,Utah,
84139,Salt Lake County,Utah,
84141,Salt Lake County,Utah,
84143,Salt Lake County,Utah,
84144,Salt Lake County,Utah,
84145,Salt Lake County,Utah,
84147,Salt Lake County,Utah,
84148,Salt Lake County,Utah,
84150,Salt Lake County,Utah,
84151,Salt Lake County,Utah,
84152,Salt Lake County,Utah,
84157,Salt Lake County,Utah,
84158,Salt Lake County,Utah,
84165,Salt Lake County,Utah,
84170,Salt Lake County,Utah,
84171,Salt Lake County,Utah,
84180,Salt Lake County,Utah,
84184,Salt Lake County,Utah,
84189,Salt Lake County,Utah,
84190,Salt Lake County,Utah,
84199,Salt Lake County,Utah,
84201,Weber County,Utah,
84244,Weber County,Utah,
84301,Box Elder County,Utah,
84302,Box Elder County,Utah,
84304,Cache County,Utah,
84305,Cache County,Utah,
84306,Box Elder County,Utah,
84307,Box Elder County,Utah,
84308,Cache County,Utah,
84309,Box Elder County,Utah,
84310,Weber County,Utah,
84311,Box Elder County,Utah,
84312,Box Elder County,Utah,
84313,Box Elder County,Utah,
84314,Box Elder County,Utah,
84315,Weber County,Utah,
84316,Box Elder County,Utah,
84317,Weber County,Utah,
84318,Cache County,Utah,
84319,Cache County,Utah,
84320,Cache County,Utah,
84321,Cache County,Utah,
84322,Cache County,Utah,
84323,Cache County,Utah,
84324,Box Elder County,Utah,
84325,Cache County,Utah,
84326,Cache County,Utah,
84327,Cache County,Utah,
84328,Cache County,Utah,
84329,Box Elder County,Utah,
84330,Box Elder County,Utah,
84331,Box Elder County,Utah,
84332,Cache County,Utah,
84333,Cache County,Utah,
84334,Box Elder County,Utah,
84335,Cache County,Utah,
84336,Box Elder County,Utah,
84337,Box Elder County,Utah,
84338,Cache County,Utah,
84339,Cache County,Utah,
84340,Box Elder County,Utah,
84341,Cache County,Utah,
84401,Weber County,Utah,
84402,Weber County,Utah,
84403,Weber County,Utah,
84404,Weber County,Utah,
84405,Weber County,Utah,
84407,Weber County,Utah,
84408,Weber County,Utah,
84409,Weber County,Utah,
84412,Weber County,Utah,
84414,Weber County,Utah,
84415,Weber County,Utah,
84501,Carbon County,Utah,
84510,San Juan County,Utah,
84511,San Juan County,Utah,
84512,San Juan County,Utah,
84513,Emery County,Utah,
84515,Grand County,Utah,
84516,Emery County,Utah,
84518,Emery County,Utah,
84520,Carbon County,Utah,
84521,Emery County,Utah,
84522,Emery County,Utah,
84523,Emery County,Utah,
84525,Emery County,Utah,
84526,Carbon County,Utah,
84528,Emery County,Utah,
84529,Carbon County,Utah,
84530,San Juan County,Utah,
84531,San Juan County,Utah,
84532,Grand County,Utah,
84533,Kane County,Utah,
84534,San Juan County,Utah,
84535,San Juan County,Utah,
84536,San Juan County,Utah,
84537,Emery County,Utah,
84539,Carbon County,Utah,
84540,Grand County,Utah,
84542,Carbon County,Utah,
84601,Utah County,Utah,
84602,Utah County,Utah,
84603,Utah County,Utah,
84604,Utah County,Utah,
84605,Utah County,Utah,
84606,Utah County,Utah,
84620,Sevier County,Utah,
84621,Sanpete County,Utah,
84622,Sanpete County,Utah,
84623,Sanpete County,Utah,
84624,Millard County,Utah,
84626,Utah County,Utah,
84627,Sanpete County,Utah,
84628,Juab County,Utah,
84629,Sanpete County,Utah,
84630,Sanpete County,Utah,
84631,Millard County,Utah,
84632,Sanpete County,Utah,
84633,Utah County,Utah,
84634,Sanpete County,Utah,
84635,Millard County,Utah,
84636,Millard County,Utah,
84637,Millard County,Utah,
84638,Millard County,Utah,
84639,Juab County,Utah,
84640,Millard County,Utah,
84642,Sanpete County,Utah,
84643,Sanpete County,Utah,
84644,Millard County,Utah,
84645,Juab County,Utah,
84646,Sanpete County,Utah,
84647,Sanpete County,Utah,
84648,Juab County,Utah,
84649,Millard County,Utah,
84651,Utah County,Utah,
84652,Sevier County,Utah,
84653,Utah County,Utah,
84654,Sevier County,Utah,
84655,Utah County,Utah,
84656,Millard County,Utah,
84657,Sevier County,Utah,
84660,Utah County,Utah,
84662,Sanpete County,Utah,
84663,Utah County,Utah,
84664,Utah County,Utah,
84665,Sanpete County,Utah,
84667,Sanpete County,Utah,
84701,Sevier County,Utah,
84710,Kane County,Utah,
84711,Sevier County,Utah,
84712,Garfield County,Utah,
84713,Beaver County,Utah,
84714,Iron County,Utah,
84715,Wayne County,Utah,
84716,Garfield County,Utah,
84717,Garfield County,Utah,
84718,Garfield County,Utah,
84719,Iron County,Utah,
84720,Iron County,Utah,
84721,Iron County,Utah,
84722,Washington County,Utah,
84723,Piute County,Utah,
84724,Sevier County,Utah,
84725,Washington County,Utah,
84726,Garfield County,Utah,
84728,Millard County,Utah,
84729,Kane County,Utah,
84730,Sevier County,Utah,
84731,Beaver County,Utah,
84732,Piute County,Utah,
84733,Washington County,Utah,
84734,Wayne County,Utah,
84735,Garfield County,Utah,
84736,Garfield County,Utah,
84737,Washington County,Utah,
84738,Washington County,Utah,
84739,Sevier County,Utah,
84740,Piute County,Utah,
84741,Kane County,Utah,
84742,Iron County,Utah,
84743,Piute County,Utah,
84744,Sevier County,Utah,
84745,Washington County,Utah,
84746,Washington County,Utah,
84747,Wayne County,Utah,
84749,Wayne County,Utah,
84750,Piute County,Utah,
84751,Beaver County,Utah,
84752,Beaver County,Utah,
84753,Iron County,Utah,
