Zip Code,County,State,Entitlement
05001,Windsor County,Vermont,
05009,Windsor County,Vermont,
05030,Windsor County,Vermont,
05031,Windsor County,Vermont,
05032,Windsor County,Vermont,
05033,Orange County,Vermont,
05034,Windsor County,Vermont,
05035,Windsor County,Vermont,
05036,Orange County,Vermont,
05037,Windsor County,Vermont,
05038,Orange County,Vermont,
05039,Orange County,Vermont,
05040,Orange County,Vermont,
05041,Orange County,Vermont,
05042,Caledonia County,Vermont,
05043,Orange County,Vermont,
05045,Orange County,Vermont,
05046,Caledonia County,Vermont,
05047,Windsor County,Vermont,
05048,Windsor County,Vermont,
05049,Windsor County,Vermont,
05050,Caledonia County,Vermont,
05051,Orange County,Vermont,
05052,Windsor County,Vermont,
05053,Windsor County,Vermont,
05054,Orange County,Vermont,
05055,Windsor County,Vermont,
05056,Windsor County,Vermont,
05058,Orange County,Vermont,
05059,Windsor County,Vermont,
05060,Orange County,Vermont,
05061,Orange County,Vermont,
05062,Windsor County,Vermont,
05065,Windsor County,Vermont,
05067,Windsor County,Vermont,
05068,Windsor County,Vermont,
05069,Caledonia County,Vermont,
05070,Orange County,Vermont,
05071,Windsor County,Vermont,
05072,Orange County,Vermont,
05073,Windsor County,Vermont,
05074,Orange County,Vermont,
05075,Orange County,Vermont,
05076,Orange County,Vermont,
05077,Orange County,Vermont,
05079,Orange County,Vermont,
05081,Orange County,Vermont,
05083,Orange County,Vermont,
05084,Windsor County,Vermont,
05085,Orange County,Vermont,
05086,Orange County,Vermont,
05088,Windsor County,Vermont,
05089,Windsor County,Vermont,
05091,Windsor County,Vermont,
05101,Windham County,Vermont,
05141,Windham County,Vermont,
05142,Windsor County,Vermont,
05143,Windsor County,Vermont,
05144,Windsor County,Vermont,
05146,Windham County,Vermont,
05148,Windham County,Vermont,
05149,Windsor County,Vermont,
05150,Windsor County,Vermont,
05151,Windsor County,Vermont,
05152,Bennington County,Vermont,
05153,Windsor County,Vermont,
05154,Windham County,Vermont,
05155,Windham County,Vermont,
05156,Windsor County,Vermont,
05158,Windham County,Vermont,
05159,Windham County,Vermont,
05161,Windsor County,Vermont,
05201,Bennington County,Vermont,
05250,Bennington County,Vermont,
05251,Bennington County,Vermont,
05252,Bennington County,Vermont,
05253,Bennington County,Vermont,
05254,Bennington County,Vermont,
05255,Bennington County,Vermont,
05257,Bennington County,Vermont,
05260,Bennington County,Vermont,
05261,Bennington County,Vermont,
05262,Bennington County,Vermont,
05301,Windham County,Vermont,
05302,Windham County,Vermont,
05303,Windham County,Vermont,
05304,Windham County,Vermont,
05340,Bennington County,Vermont,
05341,Windham County,Vermont,
05342,Windham County,Vermont,
05343,Windham County,Vermont,
05344,Windham County,Vermont,
05345,Windham County,Vermont,
05346,Windham County,Vermont,
05350,Bennington County,Vermont,
05351,Windham County,Vermont,
05352,Bennington County,Vermont,
05353,Windham County,Vermont,
05354,Windham County,Vermont,
05355,Windham County,Vermont,
05356,Windham County,Vermont,
05357,Windham County,Vermont,
05358,Windham County,Vermont,
05359,Windham County,Vermont,
05360,Windham County,Vermont,
05361,Windham County,Vermont,
05362,Windham County,Vermont,
05363,Windham County,Vermont,
05401,Chittenden County,Vermont,
05402,Chittenden County,Vermont,
05403,Chittenden County,Vermont,
05404,Chittenden County,Vermont,
05405,Chittenden County,Vermont,
05406,Chittenden County,Vermont,
05407,Chittenden County,Vermont,
05408,Chittenden County,Vermont,
05439,Chittenden County,Vermont,
05440,Grand Isle County,Vermont,
05441,Franklin County,Vermont,
05442,Lamoille County,Vermont,
05443,Addison County,Vermont,
05444,Franklin County,Vermont,
05445,Chittenden County,Vermont,
05446,Chittenden County,Vermont,
05447,Franklin County,Vermont,
05448,Franklin County,Vermont,
05449,Chittenden County,Vermont,
05450,Franklin County,Vermont,
05451,Chittenden County,Vermont,
05452,Chittenden County,Vermont,
05453,Chittenden County,Vermont,
05454,Franklin County,Vermont,
05455,Franklin County,Vermont,
05456,Addison County,Vermont,
05457,Franklin County,Vermont,
05458,Grand Isle County,Vermont,
05459,Franklin County,Vermont,
05460,Franklin County,Vermont,
05461,Chittenden County,Vermont,
05462,Chittenden County,Vermont,
05463,Grand Isle County,Vermont,
05464,Lamoille County,Vermont,
05465,Chittenden County,Vermont,
05466,Chittenden County,Vermont,
05468,Chittenden County,Vermont,
05469,Addison County,Vermont,
05470,Franklin County,Vermont,
05471,Franklin County,Vermont,
05472,Addison County,Vermont,
05473,Addison County,Vermont,
05474,Grand Isle County,Vermont,
05476,Franklin County,Vermont,
05477,Chittenden County,Vermont,
05478,Franklin County,Vermont,
05479,Franklin County,Vermont,
05481,Franklin County,Vermont,
05482,Chittenden County,Vermont,
05483,Franklin County,Vermont,
05485,Franklin County,Vermont,
05486,Grand Isle County,Vermont,
05487,Addison County,Vermont,
05488,Franklin County,Vermont,
05489,Chittenden County,Vermont,
05490,Chittenden County,Vermont,
05491,Addison County,Vermont,
05492,Lamoille County,Vermont,
05494,Chittenden County,Vermont,
05495,Chittenden County,Vermont,
05601,Washington County,Vermont,
05602,Washington County,Vermont,
05603,Washington County,Vermont,
05604,Washington County,Vermont,
05609,Washington County,Vermont,
05620,Washington County,Vermont,
05633,Washington County,Vermont,
05640,Washington County,Vermont,
05641,Washington County,Vermont,
05647,Washington County,Vermont,
05648,Washington County,Vermont,
05649,Orange County,Vermont,
05650,Washington County,Vermont,
05651,Washington County,Vermont,
05652,Lamoille County,Vermont,
05653,Lamoille County,Vermont,
05654,Washington County,Vermont,
05655,Lamoille County,Vermont,
05656,Lamoille County,Vermont,
05657,Lamoille County,Vermont,
05658,Washington County,Vermont,
05660,Washington County,Vermont,
05661,Lamoille County,Vermont,
05662,Lamoille County,Vermont,
05663,Washington County,Vermont,
05664,Washington County,Vermont,
05665,Lamoille County,Vermont,
05666,Washington County,Vermont,
05667,Washington County,Vermont,
05669,Washington County,Vermont,
05670,Washington County,Vermont,
05671,Washington County,Vermont,
05672,Lamoille County,Vermont,
05673,Washington County,Vermont,
05674,Washington County,Vermont,
05675,Orange County,Vermont,
05676,Washington County,Vermont,
05677,Washington County,Vermont,
05678,Washington County,Vermont,
05679,Orange County,Vermont,
05680,Lamoille County,Vermont,
05681,Washington County,Vermont,
05682,Washington County,Vermont,
05701,Rutland County,Vermont,
05702,Rutland County,Vermont,
05730,Rutland County,Vermont,
05731,Rutland County,Vermont,
05732,Rutland County,Vermont,
05733,Rutland County,Vermont,
05734,Addison County,Vermont,
05735,Rutland County,Vermont,
05736,Rutland County,Vermont,
05737,Rutland County,Vermont,
05738,Rutland County,Vermont,
05739,Rutland County,Vermont,
05740,Addison County,Vermont,
05741,Rutland County,Vermont,
05742,Rutland County,Vermont,
05743,Rutland County,Vermont,
05744,Rutland County,Vermont,
05745,Rutland County,Vermont,
05746,Windsor County,Vermont,
05747,Addison County,Vermont,
05748,Addison County,Vermont,
05750,Rutland County,Vermont,
05751,Rutland County,Vermont,
05753,Addison County,Vermont,
05757,Rutland County,Vermont,
05758,Rutland County,Vermont,
05759,Rutland County,Vermont,
05760,Addison County,Vermont,
05761,Rutland County,Vermont,
05762,Rutland County,Vermont,
05763,Rutland County,Vermont,
