Zip Code,County,State,Entitlement
20101,Loudoun County,Virginia,
20102,Loudoun County,Virginia,
20103,Loudoun County,Virginia,
20104,Loudoun County,Virginia,
20105,Loudoun County,Virginia,
20106,Culpeper County,Virginia,
20107,Loudoun County,Virginia,
20108,Manassas City,Virginia,
20109,Prince William County,Virginia,
20110,Manassas city,Virginia,
20111,Prince William County,Virginia,
20112,Prince William County,Virginia,
20113,Manassas City,Virginia,
20115,Fauquier County,Virginia,
20116,Fauquier County,Virginia,
20117,Loudoun County,Virginia,
20118,Loudoun County,Virginia,
20119,Fauquier County,Virginia,
20120,Fairfax County,Virginia,
20121,Fairfax County,Virginia,
20122,Fairfax County,Virginia,
20124,Fairfax County,Virginia,
20128,Fauquier County,Virginia,
20129,Loudoun County,Virginia,
20130,Clarke County,Virginia,
20131,Loudoun County,Virginia,
20132,Loudoun County,Virginia,
20134,Loudoun County,Virginia,
20135,Clarke County,Virginia,
20136,Prince William County,Virginia,
20137,Fauquier County,Virginia,
20138,Fauquier County,Virginia,
20139,Fauquier County,Virginia,
20140,Fauquier County,Virginia,
20141,Loudoun County,Virginia,
20142,Loudoun County,Virginia,
20143,Prince William County,Virginia,
20144,Fauquier County,Virginia,
20146,Loudoun County,Virginia,
20147,Loudoun County,Virginia,
20148,Loudoun County,Virginia,
20149,Loudoun County,Virginia,
20151,Fairfax County,Virginia,
20152,Loudoun County,Virginia,
20153,Fairfax County,Virginia,
20155,Prince William County,Virginia,
20156,Prince William County,Virginia,
20158,Loudoun County,Virginia,
20159,Loudoun County,Virginia,
20160,Loudoun County,Virginia,
20163,Loudoun County,Virginia,
20164,Loudoun County,Virginia,
20165,Loudoun County,Virginia,
20166,Loudoun County,Virginia,
20167,Loudoun County,Virginia,
20168,Prince William County,Virginia,
20169,Prince William County,Virginia,
20170,Fairfax County,Virginia,
20171,Fairfax County,Virginia,
20172,Fairfax County,Virginia,
20175,Loudoun County,Virginia,
20176,Loudoun County,Virginia,
20177,Loudoun County,Virginia,
20178,Loudoun County,Virginia,
20180,Loudoun County,Virginia,
20181,Prince William County,Virginia,
20182,Prince William County,Virginia,
20184,Fauquier County,Virginia,
20185,Fauquier County,Virginia,
20186,Fauquier County,Virginia,
20187,Fauquier County,Virginia,
20188,Fauquier County,Virginia,
20189,Loudoun County,Virginia,
20190,Fairfax County,Virginia,
20191,Fairfax County,Virginia,
20192,Fairfax County,Virginia,
20193,Fairfax County,Virginia,
20194,Fairfax County,Virginia,
20195,Fairfax County,Virginia,
20196,Fairfax County,Virginia,
20197,Loudoun County,Virginia,
20198,Fauquier County,Virginia,
20199,Loudoun County,Virginia,
