Zip Code,County,State,Entitlement
20001,District of Columbia,Washington DC,
20002,District of Columbia,Washington DC,
20003,District of Columbia,Washington DC,
20004,District of Columbia,Washington DC,
20005,District of Columbia,Washington DC,
20006,District of Columbia,Washington DC,
20007,District of Columbia,Washington DC,
20008,District of Columbia,Washington DC,
20009,District of Columbia,Washington DC,
20010,District of Columbia,Washington DC,
20011,District of Columbia,Washington DC,
20012,District of Columbia,Washington DC,
20013,District of Columbia,Washington DC,
20015,District of Columbia,Washington DC,
20016,District of Columbia,Washington DC,
20017,District of Columbia,Washington DC,
20018,District of Columbia,Washington DC,
20019,District of Columbia,Washington DC,
20020,District of Columbia,Washington DC,
20022,District of Columbia,Washington DC,
20023,District of Columbia,Washington DC,
20024,District of Columbia,Washington DC,
20026,District of Columbia,Washington DC,
20027,District of Columbia,Washington DC,
20029,District of Columbia,Washington DC,
20030,District of Columbia,Washington DC,
20032,District of Columbia,Washington DC,
20033,District of Columbia,Washington DC,
20035,District of Columbia,Washington DC,
20036,District of Columbia,Washington DC,
20037,District of Columbia,Washington DC,
20038,District of Columbia,Washington DC,
20039,District of Columbia,Washington DC,
20040,District of Columbia,Washington DC,
20041,District of Columbia,Washington DC,
20042,District of Columbia,Washington DC,
20043,District of Columbia,Washington DC,
20044,District of Columbia,Washington DC,
20045,District of Columbia,Washington DC,
20046,District of Columbia,Washington DC,
20047,District of Columbia,Washington DC,
20049,District of Columbia,Washington DC,
20050,District of Columbia,Washington DC,
20051,District of Columbia,Washington DC,
20052,District of Columbia,Washington DC,
20053,District of Columbia,Washington DC,
20055,District of Columbia,Washington DC,
20056,District of Columbia,Washington DC,
20057,District of Columbia,Washington DC,
20058,District of Columbia,Washington DC,
20059,District of Columbia,Washington DC,
20060,District of Columbia,Washington DC,
20061,District of Columbia,Washington DC,
20062,District of Columbia,Washington DC,
20063,District of Columbia,Washington DC,
20064,District of Columbia,Washington DC,
20065,District of Columbia,Washington DC,
20066,District of Columbia,Washington DC,
20067,District of Columbia,Washington DC,
20068,District of Columbia,Washington DC,
20069,District of Columbia,Washington DC,
20070,District of Columbia,Washington DC,
20071,District of Columbia,Washington DC,
20073,District of Columbia,Washington DC,
20074,District of Columbia,Washington DC,
20075,District of Columbia,Washington DC,
