Zip Code,County,State,Entitlement
98001,King County,Washington,
98002,King County,Washington,
98003,King County,Washington,
98004,King County,Washington,
98005,King County,Washington,
98006,King County,Washington,
98007,King County,Washington,
98008,King County,Washington,
98009,King County,Washington,
98010,King County,Washington,
98011,King County,Washington,
98012,Snohomish County,Washington,
98013,King County,Washington,
98014,King County,Washington,
98015,King County,Washington,
98019,King County,Washington,
98020,Snohomish County,Washington,
98021,Snohomish County,Washington,
98022,King County,Washington,
98023,King County,Washington,
98024,King County,Washington,
98025,King County,Washington,
98026,Snohomish County,Washington,
98027,King County,Washington,
98028,King County,Washington,
98029,King County,Washington,
98030,King County,Washington,
98031,King County,Washington,
98032,King County,Washington,
98033,King County,Washington,
98034,King County,Washington,
98035,King County,Washington,
98036,Snohomish County,Washington,
98037,Snohomish County,Washington,
98038,King County,Washington,
98039,King County,Washington,
98040,King County,Washington,
98041,King County,Washington,
98042,King County,Washington,
98043,Snohomish County,Washington,
98045,King County,Washington,
98046,Snohomish County,Washington,
98047,King County,Washington,
98050,King County,Washington,
98051,King County,Washington,
98052,King County,Washington,
98053,King County,Washington,
98054,King County,Washington,
98055,King County,Washington,
98056,King County,Washington,
98057,King County,Washington,
98058,King County,Washington,
98059,King County,Washington,
98061,Kitsap County,Washington,
98062,King County,Washington,
98063,King County,Washington,
98064,King County,Washington,
98065,King County,Washington,
98068,Kittitas County,Washington,
98070,King County,Washington,
98071,King County,Washington,
98072,King County,Washington,
98073,King County,Washington,
98074,King County,Washington,
98075,King County,Washington,
98077,King County,Washington,
98082,,Washington,
98083,King County,Washington,
98087,Snohomish County,Washington,
98089,King County,Washington,
98092,King County,Washington,
98093,King County,Washington,
98101,King County,Washington,
98102,King County,Washington,
98103,King County,Washington,
98104,King County,Washington,
98105,King County,Washington,
98106,King County,Washington,
98107,King County,Washington,
98108,King County,Washington,
98109,King County,Washington,
98110,Kitsap County,Washington,
98111,King County,Washington,
98112,King County,Washington,
98113,King County,Washington,
98114,King County,Washington,
98115,King County,Washington,
98116,King County,Washington,
98117,King County,Washington,
98118,King County,Washington,
98119,King County,Washington,
98121,King County,Washington,
98122,King County,Washington,
98124,King County,Washington,
98125,King County,Washington,
98126,King County,Washington,
98127,King County,Washington,
98129,King County,Washington,
98131,King County,Washington,
98132,King County,Washington,
98133,King County,Washington,
98134,King County,Washington,
98136,King County,Washington,
98138,King County,Washington,
98139,King County,Washington,
98141,King County,Washington,
98144,King County,Washington,
98145,King County,Washington,
98146,King County,Washington,
98148,King County,Washington,
98151,King County,Washington,
98154,King County,Washington,
98155,King County,Washington,
98158,King County,Washington,
98160,King County,Washington,
98161,King County,Washington,
98164,King County,Washington,
98165,King County,Washington,
98166,King County,Washington,
98168,King County,Washington,
98170,King County,Washington,
98171,King County,Washington,
98174,King County,Washington,
98175,King County,Washington,
98177,King County,Washington,
98178,King County,Washington,
98181,King County,Washington,
98184,King County,Washington,
98185,King County,Washington,
98188,King County,Washington,
98189,,Washington,
98190,King County,Washington,
98191,King County,Washington,
98194,King County,Washington,
98195,King County,Washington,
98198,King County,Washington,
98199,King County,Washington,
98201,Snohomish County,Washington,
98203,Snohomish County,Washington,
98204,Snohomish County,Washington,
98205,Snohomish County,Washington,
