Zip Code,County,State,Entitlement
24701,Mercer County,West Virginia,
24712,Mercer County,West Virginia,
24714,Mercer County,West Virginia,
24715,Mercer County,West Virginia,
24716,Wyoming County,West Virginia,
24719,Wyoming County,West Virginia,
24724,Mercer County,West Virginia,
24726,Wyoming County,West Virginia,
24729,Mercer County,West Virginia,
24731,Mercer County,West Virginia,
24732,Mercer County,West Virginia,
24733,Mercer County,West Virginia,
24736,Mercer County,West Virginia,
24737,Mercer County,West Virginia,
24738,Mercer County,West Virginia,
24739,Mercer County,West Virginia,
24740,Mercer County,West Virginia,
24747,Mercer County,West Virginia,
24751,Mercer County,West Virginia,
24801,McDowell County,West Virginia,
24808,McDowell County,West Virginia,
24811,McDowell County,West Virginia,
24813,McDowell County,West Virginia,
24815,McDowell County,West Virginia,
24816,McDowell County,West Virginia,
24817,McDowell County,West Virginia,
24818,Wyoming County,West Virginia,
24822,Wyoming County,West Virginia,
24823,Wyoming County,West Virginia,
24826,McDowell County,West Virginia,
24827,Wyoming County,West Virginia,
24828,McDowell County,West Virginia,
24829,McDowell County,West Virginia,
24830,McDowell County,West Virginia,
24831,McDowell County,West Virginia,
24834,Wyoming County,West Virginia,
24836,McDowell County,West Virginia,
24839,Wyoming County,West Virginia,
24842,McDowell County,West Virginia,
24843,McDowell County,West Virginia,
24844,McDowell County,West Virginia,
24845,Wyoming County,West Virginia,
24846,Mingo County,West Virginia,
24847,Wyoming County,West Virginia,
24848,McDowell County,West Virginia,
24849,Wyoming County,West Virginia,
24850,McDowell County,West Virginia,
24851,Mingo County,West Virginia,
24853,McDowell County,West Virginia,
24854,Wyoming County,West Virginia,
24855,McDowell County,West Virginia,
24857,Wyoming County,West Virginia,
24859,Wyoming County,West Virginia,
24860,Wyoming County,West Virginia,
24861,McDowell County,West Virginia,
24862,McDowell County,West Virginia,
24866,McDowell County,West Virginia,
24867,Wyoming County,West Virginia,
24868,McDowell County,West Virginia,
24869,Wyoming County,West Virginia,
24870,Wyoming County,West Virginia,
24871,McDowell County,West Virginia,
24872,McDowell County,West Virginia,
24873,McDowell County,West Virginia,
24874,Wyoming County,West Virginia,
24878,McDowell County,West Virginia,
24879,McDowell County,West Virginia,
24880,Wyoming County,West Virginia,
24881,McDowell County,West Virginia,
24882,Wyoming County,West Virginia,
24884,McDowell County,West Virginia,
24887,McDowell County,West Virginia,
24888,McDowell County,West Virginia,
24892,McDowell County,West Virginia,
24894,McDowell County,West Virginia,
24895,McDowell County,West Virginia,
24898,Wyoming County,West Virginia,
