Zip Code,County,State,Entitlement
53001,Sheboygan County,Wisconsin,
53002,Washington County,Wisconsin,
53003,Dodge County,Wisconsin,
53004,Ozaukee County,Wisconsin,
53005,Waukesha County,Wisconsin,
53006,Dodge County,Wisconsin,
53007,Waukesha County,Wisconsin,
53008,Waukesha County,Wisconsin,
53010,Fond du Lac County,Wisconsin,
53011,Sheboygan County,Wisconsin,
53012,Ozaukee County,Wisconsin,
53013,Sheboygan County,Wisconsin,
53014,Calumet County,Wisconsin,
53015,Manitowoc County,Wisconsin,
53016,Dodge County,Wisconsin,
53017,Washington County,Wisconsin,
53018,Waukesha County,Wisconsin,
53019,Fond du Lac County,Wisconsin,
53020,Sheboygan County,Wisconsin,
53021,Ozaukee County,Wisconsin,
53022,Washington County,Wisconsin,
53023,Sheboygan County,Wisconsin,
53024,Ozaukee County,Wisconsin,
53026,Sheboygan County,Wisconsin,
53027,Washington County,Wisconsin,
53029,Waukesha County,Wisconsin,
53031,Sheboygan County,Wisconsin,
53032,Dodge County,Wisconsin,
53033,Washington County,Wisconsin,
53034,Dodge County,Wisconsin,
53035,Dodge County,Wisconsin,
53036,Jefferson County,Wisconsin,
53037,Washington County,Wisconsin,
53038,Jefferson County,Wisconsin,
53039,Dodge County,Wisconsin,
53040,Washington County,Wisconsin,
53042,Manitowoc County,Wisconsin,
53044,Sheboygan County,Wisconsin,
53045,Waukesha County,Wisconsin,
53046,Waukesha County,Wisconsin,
53047,Dodge County,Wisconsin,
53048,Dodge County,Wisconsin,
53049,Fond du Lac County,Wisconsin,
53050,Dodge County,Wisconsin,
53051,Waukesha County,Wisconsin,
53052,Waukesha County,Wisconsin,
53056,Waukesha County,Wisconsin,
53057,Fond du Lac County,Wisconsin,
53058,Waukesha County,Wisconsin,
53059,Dodge County,Wisconsin,
53060,Washington County,Wisconsin,
53061,Calumet County,Wisconsin,
53062,Calumet County,Wisconsin,
53063,Manitowoc County,Wisconsin,
53064,Waukesha County,Wisconsin,
53065,Fond du Lac County,Wisconsin,
53066,Waukesha County,Wisconsin,
53069,Waukesha County,Wisconsin,
53070,Sheboygan County,Wisconsin,
53072,Waukesha County,Wisconsin,
53073,Sheboygan County,Wisconsin,
53074,Ozaukee County,Wisconsin,
53075,Sheboygan County,Wisconsin,
53076,Washington County,Wisconsin,
53078,Dodge County,Wisconsin,
53079,Fond du Lac County,Wisconsin,
53080,Ozaukee County,Wisconsin,
53081,Sheboygan County,Wisconsin,
53082,Sheboygan County,Wisconsin,
53083,Sheboygan County,Wisconsin,
53085,Sheboygan County,Wisconsin,
53086,Washington County,Wisconsin,
53088,Calumet County,Wisconsin,
53089,Waukesha County,Wisconsin,
53090,Washington County,Wisconsin,
53091,Dodge County,Wisconsin,
53092,Ozaukee County,Wisconsin,
53093,Sheboygan County,Wisconsin,
53094,Jefferson County,Wisconsin,
53095,Washington County,Wisconsin,
53097,Ozaukee County,Wisconsin,
53098,Dodge County,Wisconsin,
53099,Dodge County,Wisconsin,
53101,Kenosha County,Wisconsin,
53102,Kenosha County,Wisconsin,
53103,Waukesha County,Wisconsin,
53104,Kenosha County,Wisconsin,
53105,Racine County,Wisconsin,
53108,Racine County,Wisconsin,
53109,Kenosha County,Wisconsin,
53110,Milwaukee County,Wisconsin,
53114,Walworth County,Wisconsin,
53115,Walworth County,Wisconsin,
53118,Waukesha County,Wisconsin,
53119,Waukesha County,Wisconsin,
53120,Walworth County,Wisconsin,
53121,Walworth County,Wisconsin,
53122,Waukesha County,Wisconsin,
53125,Walworth County,Wisconsin,
53126,Racine County,Wisconsin,
53127,Waukesha County,Wisconsin,
53128,Walworth County,Wisconsin,
53129,Milwaukee County,Wisconsin,
53130,Milwaukee County,Wisconsin,
53132,Milwaukee County,Wisconsin,
53137,Jefferson County,Wisconsin,
53138,Walworth County,Wisconsin,
53139,Racine County,Wisconsin,
53140,Kenosha County,Wisconsin,
53141,Kenosha County,Wisconsin,
53142,Kenosha County,Wisconsin,
53143,Kenosha County,Wisconsin,
53144,Kenosha County,Wisconsin,
53146,Waukesha County,Wisconsin,
53147,Walworth County,Wisconsin,
53148,Walworth County,Wisconsin,
53149,Waukesha County,Wisconsin,
53150,Waukesha County,Wisconsin,
53151,Waukesha County,Wisconsin,
53152,Kenosha County,Wisconsin,
53153,Waukesha County,Wisconsin,
53154,Milwaukee County,Wisconsin,
53156,Jefferson County,Wisconsin,
53157,Walworth County,Wisconsin,
53158,Kenosha County,Wisconsin,
53159,Kenosha County,Wisconsin,
53167,Racine County,Wisconsin,
53168,Kenosha County,Wisconsin,
53170,Kenosha County,Wisconsin,
53171,Kenosha County,Wisconsin,
53172,Milwaukee County,Wisconsin,
53176,Walworth County,Wisconsin,
53177,Racine County,Wisconsin,
53178,Jefferson County,Wisconsin,
53179,Kenosha County,Wisconsin,
53181,Kenosha County,Wisconsin,
53182,Racine County,Wisconsin,
53183,Waukesha County,Wisconsin,
53184,Walworth County,Wisconsin,
53185,Racine County,Wisconsin,
53186,Waukesha County,Wisconsin,
53187,Waukesha County,Wisconsin,
53188,Waukesha County,Wisconsin,
53189,Waukesha County,Wisconsin,
53190,Walworth County,Wisconsin,
53191,Walworth County,Wisconsin,
53192,Kenosha County,Wisconsin,
53194,Kenosha County,Wisconsin,
53195,Walworth County,Wisconsin,
53199,Kenosha County,Wisconsin,
53201,Milwaukee County,Wisconsin,
53202,Milwaukee County,Wisconsin,
53203,Milwaukee County,Wisconsin,
53204,Milwaukee County,Wisconsin,
53205,Milwaukee County,Wisconsin,
53206,Milwaukee County,Wisconsin,
53207,Milwaukee County,Wisconsin,
53208,Milwaukee County,Wisconsin,
53209,Milwaukee County,Wisconsin,
53210,Milwaukee County,Wisconsin,
53211,Milwaukee County,Wisconsin,
53212,Milwaukee County,Wisconsin,
53213,Milwaukee County,Wisconsin,
53214,Milwaukee County,Wisconsin,
53215,Milwaukee County,Wisconsin,
53216,Milwaukee County,Wisconsin,
53217,Milwaukee County,Wisconsin,
53218,Milwaukee County,Wisconsin,
53219,Milwaukee County,Wisconsin,
53220,Milwaukee County,Wisconsin,
53221,Milwaukee County,Wisconsin,
53222,Milwaukee County,Wisconsin,
