Zip Code,County,State,Entitlement
82001,Laramie County,Wyoming,
82002,Laramie County,Wyoming,
82003,Laramie County,Wyoming,
82005,Laramie County,Wyoming,
82006,Laramie County,Wyoming,
82007,Laramie County,Wyoming,
82008,Laramie County,Wyoming,
82009,Laramie County,Wyoming,
82010,Laramie County,Wyoming,
82050,Laramie County,Wyoming,
82051,Albany County,Wyoming,
82052,Albany County,Wyoming,
82053,Laramie County,Wyoming,
82054,Laramie County,Wyoming,
82055,Albany County,Wyoming,
82058,Albany County,Wyoming,
82059,Laramie County,Wyoming,
82060,Laramie County,Wyoming,
82061,Laramie County,Wyoming,
82063,Albany County,Wyoming,
82070,Albany County,Wyoming,
82071,Albany County,Wyoming,
82072,Albany County,Wyoming,
82073,Albany County,Wyoming,
82081,Laramie County,Wyoming,
82082,Laramie County,Wyoming,
82083,Albany County,Wyoming,
82084,Albany County,Wyoming,
82190,Park County,Wyoming,
82201,Platte County,Wyoming,
82210,Platte County,Wyoming,
82212,Goshen County,Wyoming,
82213,Platte County,Wyoming,
82214,Platte County,Wyoming,
82215,Platte County,Wyoming,
82217,Goshen County,Wyoming,
82218,Goshen County,Wyoming,
82219,Goshen County,Wyoming,
82221,Goshen County,Wyoming,
82222,Niobrara County,Wyoming,
82223,Goshen County,Wyoming,
82224,Niobrara County,Wyoming,
82225,Niobrara County,Wyoming,
82227,Niobrara County,Wyoming,
82229,Converse County,Wyoming,
82240,Goshen County,Wyoming,
82242,Niobrara County,Wyoming,
82243,Goshen County,Wyoming,
82244,Goshen County,Wyoming,
82301,Carbon County,Wyoming,
82310,Fremont County,Wyoming,
82321,Carbon County,Wyoming,
82322,Sweetwater County,Wyoming,
82323,Carbon County,Wyoming,
82324,Carbon County,Wyoming,
82325,Carbon County,Wyoming,
82327,Carbon County,Wyoming,
82329,Carbon County,Wyoming,
82331,Carbon County,Wyoming,
82332,Carbon County,Wyoming,
82334,Carbon County,Wyoming,
82335,Carbon County,Wyoming,
82336,Sweetwater County,Wyoming,
82401,Washakie County,Wyoming,
82410,Big Horn County,Wyoming,
82411,Big Horn County,Wyoming,
82412,Big Horn County,Wyoming,
82414,Park County,Wyoming,
82420,Big Horn County,Wyoming,
82421,Big Horn County,Wyoming,
82422,Big Horn County,Wyoming,
82423,Big Horn County,Wyoming,
82426,Big Horn County,Wyoming,
82428,Big Horn County,Wyoming,
82430,Hot Springs County,Wyoming,
82431,Big Horn County,Wyoming,
82432,Big Horn County,Wyoming,
82433,Park County,Wyoming,
82434,Big Horn County,Wyoming,
82435,Park County,Wyoming,
82440,Park County,Wyoming,
82441,Big Horn County,Wyoming,
82442,Washakie County,Wyoming,
82443,Hot Springs County,Wyoming,
82450,Park County,Wyoming,
82501,Fremont County,Wyoming,
82510,Fremont County,Wyoming,
82512,Fremont County,Wyoming,
82513,Fremont County,Wyoming,
82514,Fremont County,Wyoming,
82515,Fremont County,Wyoming,
82516,Fremont County,Wyoming,
82520,Fremont County,Wyoming,
82523,Fremont County,Wyoming,
82524,Fremont County,Wyoming,
82601,Natrona County,Wyoming,
82602,Natrona County,Wyoming,
82604,Natrona County,Wyoming,
82605,Natrona County,Wyoming,
82609,Natrona County,Wyoming,
82615,Carbon County,Wyoming,
82620,Natrona County,Wyoming,
